     distance         timeN            Tn          Mass     Mass_cons    Moment_kin    Moment_the    Moment_mag    Moment_vis        Moment      Mom_cons    Energy_kin    Energy_the    Energy_int    Energy_mag    Energy_vis        Energy    Energ_gain    Energ_cons 
  1.000000000E+005   1.584439536E-009   1.000000000E+001   4.729689530E-014   0.000000000E+000   9.459378976E-008   8.294440979E-012   3.982855437E-010   0.000000000E+000   9.500036975E-008   0.000000000E+000   9.459378894E-002   4.147220489E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -9.783072927E-018  -1.014797793E-016 
  1.666011096E+005   2.639693848E-009   1.000000000E+001   4.729689530E-014   0.000000000E+000   9.459378976E-008   8.294440979E-012   3.982855437E-010   0.000000000E+000   9.500036975E-008   0.000000000E+000   9.459378894E-002   4.147220489E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -2.281434316E-017   5.125538596E-017 
  2.332022191E+005   3.694948159E-009   1.000000000E+001   4.729689530E-014   0.000000000E+000   9.459378976E-008   8.294440979E-012   3.982855437E-010   0.000000000E+000   9.500036975E-008   0.000000000E+000   9.459378894E-002   4.147220489E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -3.584561340E-017   6.003630959E-017 
  3.127527277E+005   4.955377868E-009   1.000000000E+001   4.729689530E-014   0.000000000E+000   9.459378976E-008   8.294440979E-012   3.982855437E-010   0.000000000E+000   9.500036975E-008   1.393140873E-016   9.459378894E-002   4.147220489E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -5.141058194E-017   1.864894317E-016 
  4.044746696E+005   6.408656579E-009   1.000000000E+001   4.729689530E-014   0.000000000E+000   9.459378976E-008   8.294440979E-012   3.982855437E-010   0.000000000E+000   9.500036975E-008   1.393140873E-016   9.459378894E-002   4.147220489E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -6.935703087E-017   2.882394665E-016 
  5.529858887E+005   8.761727050E-009   1.000000000E+001   4.729689530E-014   0.000000000E+000   9.459378976E-008   8.294440979E-012   3.982855437E-010   0.000000000E+000   9.500036975E-008   1.393140873E-016   9.459378894E-002   4.147220489E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -9.841495261E-017   2.747302350E-016 
  7.847153254E+005   1.243333986E-008   1.000000000E+001   4.729689530E-014   0.000000000E+000   9.459378976E-008   8.294440979E-012   3.982855437E-010   0.000000000E+000   9.500036975E-008   2.786281745E-016   9.459378894E-002   4.147220489E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -1.437554722E-016   3.802301595E-016 
  1.164934074E+006   1.845767604E-008   1.000000000E+001   4.729689530E-014   0.000000000E+000   9.459378976E-008   8.294440979E-012   3.982855437E-010   0.000000000E+000   9.500036975E-008   4.179422618E-016   9.459378894E-002   4.147220489E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -2.181496272E-016   7.601737980E-016 
  1.738485486E+006   2.754525137E-008   1.000000000E+001   4.729689530E-014   0.000000000E+000   9.459378976E-008   8.294440979E-012   3.982855437E-010   0.000000000E+000   9.500036975E-008   5.572563490E-016   9.459378894E-002   4.147220489E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -3.303715330E-016   1.179593042E-015 
  2.312036897E+006   3.663282669E-008   1.000000000E+001   4.729689530E-014   0.000000000E+000   9.459378976E-008   8.294440979E-012   3.982855437E-010   0.000000000E+000   9.500036975E-008   8.358845235E-016   9.459378894E-002   4.147220489E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -4.425934388E-016   1.311103802E-015 
  3.307779233E+006   5.240976194E-008   1.000000000E+001   4.729689530E-014   0.000000000E+000   9.459378976E-008   8.294440979E-012   3.982855437E-010   0.000000000E+000   9.500036975E-008   9.751986108E-016   9.459378894E-002   4.147220489E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -6.374218369E-016   1.881325898E-015 
  4.303521569E+006   6.818669719E-008   1.000000000E+001   4.729689530E-014   1.334313215E-016   9.459378976E-008   8.294440979E-012   3.982855437E-010   0.000000000E+000   9.500036975E-008   1.253826785E-015   9.459378894E-002   4.147220489E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -8.322502351E-016   2.307593752E-015 
  5.299263905E+006   8.396363244E-008   1.000000000E+001   4.729689530E-014   1.334313215E-016   9.459378976E-008   8.294440979E-012   3.982855437E-010   0.000000000E+000   9.500036975E-008   1.393140873E-015   9.459378894E-002   4.147220489E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -1.027078633E-015   2.877815846E-015 
  6.950434837E+006   1.101254375E-007   9.999999999E+000   4.729689530E-014   2.668626430E-016   9.459378976E-008   8.294440979E-012   3.982855437E-010   0.000000000E+000   9.500036975E-008   1.950397222E-015   9.459378894E-002   4.147220489E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -1.350149147E-015   3.845233848E-015 
  9.433311382E+006   1.494651151E-007   9.999999999E+000   4.729689530E-014   2.668626430E-016   9.459378976E-008   8.294440978E-012   3.982855437E-010   0.000000000E+000   9.500036975E-008   2.646967658E-015   9.459378894E-002   4.147220489E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -1.835952396E-015   5.283939421E-015 
  1.341587274E+007   2.125663919E-007   9.999999999E+000   4.729689530E-014   2.668626430E-016   9.459378976E-008   8.294440978E-012   3.982855437E-010   0.000000000E+000   9.500036975E-008   3.900794443E-015   9.459378894E-002   4.147220489E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -2.615186165E-015   7.565655807E-015 
  2.139569420E+007   3.390018379E-007   9.999999998E+000   4.729689530E-014   2.668626430E-016   9.459378976E-008   8.294440978E-012   3.982855437E-010   0.000000000E+000   9.500036975E-008   5.990505752E-015   9.459378894E-002   4.147220488E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -4.176529685E-015   1.181134756E-014 
  2.937551565E+007   4.654372840E-007   9.999999998E+000   4.729689530E-014   4.002939645E-016   9.459378976E-008   8.294440977E-012   3.982855437E-010   0.000000000E+000   9.500036975E-008   8.358845235E-015   9.459378894E-002   4.147220488E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -5.737873212E-015   1.634494772E-014 
  4.188662424E+007   6.636682349E-007   9.999999997E+000   4.729689530E-014   5.337252860E-016   9.459378976E-008   8.294440976E-012   3.982855437E-010   0.000000000E+000   9.500036975E-008   1.184169742E-014   9.459378894E-002   4.147220488E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -8.185815015E-015   2.305425233E-014 
  5.439773283E+007   8.618991857E-007   9.999999996E+000   4.729689530E-014   5.337252860E-016   9.459378976E-008   8.294440975E-012   3.982855437E-010   0.000000000E+000   9.500036975E-008   1.546386369E-014   9.459378894E-002   4.147220487E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -1.063375684E-014   3.033937372E-014 
  6.690884142E+007   1.060130137E-006   9.999999995E+000   4.729689530E-014   6.671566075E-016   9.459378976E-008   8.294440975E-012   3.982855437E-010   0.000000000E+000   9.500036975E-008   1.894671587E-014   9.459378894E-002   4.147220487E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -1.308169867E-014   3.719263222E-014 
  8.296991929E+007   1.314608204E-006   9.999999993E+000   4.729689530E-014  -4.269802288E-015   9.459378976E-008   8.294440974E-012   3.982855437E-010   0.000000000E+000   9.500036975E-008   1.295621012E-014   9.459378894E-002   4.147220486E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -1.622423273E-014   3.065085582E-014 
  1.131910438E+008   1.793443650E-006   9.999999991E+000   4.729689530E-014  -1.481087669E-014   9.459378976E-008   8.294440972E-012   3.982855437E-010   0.000000000E+000   9.500036975E-008   1.393140873E-016   9.459378894E-002   4.147220485E-005   1.765537127E-004   1.592345604E-003   0.000000000E+000   9.640416046E-002  -2.213734236E-014   1.595536573E-014 
