     distance         timeN         timeI            nH         op_H2            Vn            Vi            Tn            Ti            Te        Vsound       Vmagnet          rhoN          rhoI        rhoNEG      DensityN      DensityI    DensityNEG           muN           muI         muNEG       -dVn/dz       -dVi/dz        Tgrain       Teff_gr    Nlayers_gr      n(grain)      MDens_gr MDens_gr_char        Rgrain     -DissH2_t     -DissH2_n     -DissH2_i     -DissH2_e       F_gr_H2     E_gr_H2_K         x(H2)          x(H)         x(H+)     sum(neut)     sum(ions)     sum(nega)        grad_V 
  1.000000000E+005   1.584439536E-009   1.585232152E-009   1.000022131E+004   3.000000000E+000   2.000000000E+006   1.999000000E+006   1.000000000E+001   1.000000003E+001   1.000000000E+001   2.417800059E+004   4.158155504E+006   2.364803410E-020   2.392733394E-026   3.898288158E-025   6.007599153E+003   4.785016294E-004   3.522072000E-004   3.936353524E-024   5.000470734E-023   1.106816714E-021  -7.309526827E-016   9.974921454E-014   1.500000000E+001   1.024088325E+001   6.947939084E+001   4.632798246E-007   1.914592049E-022   4.565678543E-023   3.259062228E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284573551E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016294E-004   3.522072000E-004  -7.309526827E-016 
  1.666011096E+005   2.639693848E-009   2.641014355E-009   1.000022131E+004   3.000000000E+000   2.000000000E+006   1.999000000E+006   1.000000000E+001   1.000000006E+001   1.000000000E+001   2.417800059E+004   4.158155504E+006   2.364803410E-020   2.392733394E-026   3.898288158E-025   6.007599153E+003   4.785016294E-004   3.522072000E-004   3.936353524E-024   5.000470734E-023   1.106816714E-021  -7.309526825E-016   9.974921455E-014   1.500000000E+001   1.024088325E+001   6.947939084E+001   4.632798246E-007   1.914592049E-022   4.565678543E-023   3.259062228E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284573551E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016294E-004   3.522072000E-004  -7.309526825E-016 
  2.332022191E+005   3.694948159E-009   3.696796557E-009   1.000022131E+004   3.000000000E+000   2.000000000E+006   1.999000000E+006   1.000000000E+001   1.000000008E+001   1.000000000E+001   2.417800059E+004   4.158155504E+006   2.364803410E-020   2.392733394E-026   3.898288158E-025   6.007599153E+003   4.785016294E-004   3.522072000E-004   3.936353524E-024   5.000470734E-023   1.106816714E-021  -7.309526823E-016   9.974921455E-014   1.500000000E+001   1.024088325E+001   6.947939084E+001   4.632798246E-007   1.914592049E-022   4.565678542E-023   3.259062228E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284573551E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016294E-004   3.522072000E-004  -7.309526823E-016 
  3.127527277E+005   4.955377868E-009   4.957856797E-009   1.000022131E+004   3.000000000E+000   2.000000000E+006   1.999000000E+006   1.000000000E+001   1.000000010E+001   9.999999999E+000   2.417800059E+004   4.158155504E+006   2.364803410E-020   2.392733394E-026   3.898288158E-025   6.007599153E+003   4.785016294E-004   3.522072000E-004   3.936353524E-024   5.000470734E-023   1.106816714E-021  -7.309526820E-016   9.974921455E-014   1.500000000E+001   1.024088324E+001   6.947939084E+001   4.632798246E-007   1.914592049E-022   4.565678542E-023   3.259062228E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284573551E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016294E-004   3.522072000E-004  -7.309526820E-016 
  4.044746696E+005   6.408656579E-009   6.411862510E-009   1.000022131E+004   3.000000000E+000   2.000000000E+006   1.999000000E+006   1.000000000E+001   1.000000013E+001   9.999999999E+000   2.417800059E+004   4.158155504E+006   2.364803410E-020   2.392733394E-026   3.898288158E-025   6.007599153E+003   4.785016294E-004   3.522072000E-004   3.936353524E-024   5.000470734E-023   1.106816714E-021  -7.309526817E-016   9.974921456E-014   1.500000000E+001   1.024088324E+001   6.947939084E+001   4.632798246E-007   1.914592049E-022   4.565678542E-023   3.259062228E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284573551E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016294E-004   3.522072000E-004  -7.309526817E-016 
  5.529858887E+005   8.761727050E-009   8.766110105E-009   1.000022131E+004   3.000000000E+000   2.000000000E+006   1.999000000E+006   1.000000000E+001   1.000000018E+001   9.999999999E+000   2.417800059E+004   4.158155504E+006   2.364803410E-020   2.392733394E-026   3.898288158E-025   6.007599153E+003   4.785016294E-004   3.522072000E-004   3.936353524E-024   5.000470734E-023   1.106816714E-021  -7.309526812E-016   9.974921457E-014   1.500000000E+001   1.024088324E+001   6.947939084E+001   4.632798246E-007   1.914592049E-022   4.565678542E-023   3.259062228E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284573551E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016294E-004   3.522072000E-004  -7.309526812E-016 
  7.847153254E+005   1.243333986E-008   1.243955964E-008   1.000022131E+004   3.000000000E+000   2.000000000E+006   1.999000000E+006   1.000000000E+001   1.000000026E+001   9.999999998E+000   2.417800059E+004   4.158155504E+006   2.364803410E-020   2.392733394E-026   3.898288158E-025   6.007599153E+003   4.785016294E-004   3.522072000E-004   3.936353524E-024   5.000470734E-023   1.106816714E-021  -7.309526804E-016   9.974921458E-014   1.500000000E+001   1.024088324E+001   6.947939084E+001   4.632798246E-007   1.914592049E-022   4.565678542E-023   3.259062228E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284573551E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016294E-004   3.522072000E-004  -7.309526804E-016 
  1.164934074E+006   1.845767604E-008   1.846690950E-008   1.000022131E+004   3.000000000E+000   2.000000000E+006   1.999000000E+006   1.000000000E+001   1.000000039E+001   9.999999998E+000   2.417800059E+004   4.158155505E+006   2.364803410E-020   2.392733394E-026   3.898288158E-025   6.007599153E+003   4.785016294E-004   3.522072000E-004   3.936353524E-024   5.000470734E-023   1.106816714E-021  -7.309526792E-016   9.974921460E-014   1.500000000E+001   1.024088324E+001   6.947939084E+001   4.632798246E-007   1.914592049E-022   4.565678542E-023   3.259062228E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284573551E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016294E-004   3.522072000E-004  -7.309526792E-016 
  1.738485486E+006   2.754525137E-008   2.755903088E-008   1.000022131E+004   3.000000000E+000   2.000000000E+006   1.999000000E+006   1.000000000E+001   1.000000057E+001   9.999999996E+000   2.417800059E+004   4.158155505E+006   2.364803410E-020   2.392733394E-026   3.898288158E-025   6.007599153E+003   4.785016294E-004   3.522072000E-004   3.936353524E-024   5.000470734E-023   1.106816714E-021  -7.309526773E-016   9.974921463E-014   1.500000000E+001   1.024088324E+001   6.947939084E+001   4.632798246E-007   1.914592049E-022   4.565678542E-023   3.259062228E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284573550E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016294E-004   3.522072000E-004  -7.309526773E-016 
  2.312036897E+006   3.663282669E-008   3.665115227E-008   1.000022131E+004   3.000000000E+000   2.000000000E+006   1.999000000E+006   1.000000000E+001   1.000000076E+001   9.999999995E+000   2.417800059E+004   4.158155505E+006   2.364803410E-020   2.392733394E-026   3.898288158E-025   6.007599153E+003   4.785016294E-004   3.522072000E-004   3.936353524E-024   5.000470734E-023   1.106816714E-021  -7.309526755E-016   9.974921466E-014   1.500000000E+001   1.024088324E+001   6.947939084E+001   4.632798246E-007   1.914592049E-022   4.565678542E-023   3.259062228E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284573550E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016294E-004   3.522072000E-004  -7.309526755E-016 
