     distance         timeN            Tn            nH          N(H)         N(H2)         N(He)          N(C)         N(CH)        N(CH2)        N(CH3)        N(CH4)          N(O)         N(O2)         N(OH)        N(H2O)         N(CO)        N(CO2)         N(C2)        N(C2H)       N(C2H2)         N(C3)        N(C3H)       N(C3H2)      N(CH3OH)       N(H2CO)      N(HCO2H)          N(N)         N(NH)        N(NH2)        N(NH3)         N(CN)        N(HCN)        N(HNC)         N(N2)         N(NO)          N(S)         N(SH)        N(H2S)         N(CS)         N(SO)        N(SO2)        N(OCS)         N(Si)        N(SiH)       N(SiH2)       N(SiH3)       N(SiH4)        N(SiO)       N(SiO2)         N(Mg)         N(Fe)     N(C54H18)          N(G)       N(H2O*)        N(O2*)        N(CO*)       N(CO2*)       N(CH4*)       N(NH3*)        N(N2*)     N(CH3OH*)      N(H2CO*)     N(HCO2H*)       N(OCS*)       N(H2S*)        N(Fe*)      N(SiH4*)       N(SiO*)      N(SiO2*)        N(O**)       N(Si**)       N(Mg**)       N(Fe**)        N(C**)         N(H+)        N(H2+)        N(H3+)        N(He+)         N(C+)        N(CH+)       N(CH2+)       N(CH3+)       N(CH4+)       N(CH5+)         N(O+)        N(O2+)        N(OH+)       N(H2O+)       N(H3O+)        N(CO+)       N(HCO+)      N(HCO2+)        N(C2+)       N(C2H+)      N(C2H2+)      N(C2H3+)        N(C3+)       N(C3H+)      N(C3H2+)      N(C3H3+)         N(N+)        N(NH+)       N(NH2+)       N(NH3+)       N(NH4+)        N(CN+)       N(C2N+)       N(HCN+)      N(H2CN+)      N(H2NC+)        N(N2+)       N(N2H+)        N(NO+)       N(HNO+)         N(S+)        N(SH+)       N(H2S+)       N(H3S+)        N(CS+)       N(HCS+)        N(SO+)       N(HSO+)      N(HSO2+)      N(HOCS+)        N(Si+)       N(SiH+)      N(SiH2+)      N(SiH3+)      N(SiH4+)      N(SiH5+)       N(SiO+)      N(SiOH+)        N(Fe+)    N(C54H18+)         N(G+)    N(C54H18-)         N(G-) 
  1.000000000E+005   1.584439536E-009   1.000000000E+001   1.000022131E+004   2.213000000E+004   5.000000000E+008   9.998000000E+007   2.128000000E+002   3.566000000E-001   1.879000000E+000   7.424000000E-002   1.376000000E+001   2.172000000E+004   9.797000000E+003   2.446000000E+001   4.051000000E+002   8.217000000E+004   1.376000000E+001   4.438000000E-001   2.743000000E-001   2.939000000E-002   6.680000000E-007   1.680000000E-005   3.980000000E-004   9.998003127E-008   9.998010420E-008   9.998012168E-008   5.935000000E+004   4.787000000E-002   5.157000000E-002   1.770000000E-002   5.481000000E+001   7.069000000E+001   7.742000000E+001   2.159000000E+003   1.689000000E+001   1.449000000E+004   7.073000000E+001   4.620000000E+001   5.294000000E+001   1.134000000E+000   1.442000000E+000   9.999000000E-004   8.645000000E-009   2.200000000E-012   3.873000000E-013   1.000000000E-015   2.563000000E-015   1.438000000E-006   5.157000000E-008   9.998000000E-008   1.460000000E+001   1.074000000E+002   3.527000000E-002   1.030000000E+005   1.000053859E-007   8.268000000E+003   1.340000000E+004   1.550000000E+003   1.550000000E+004   9.998597487E-008   1.860000000E+003   6.199000000E+003   7.239000000E+003   2.070000000E+002   3.719000000E+003   9.998002876E-008   9.998000000E-008   9.998000000E-008   9.998000000E-008   1.400000000E+005   3.369000000E+004   3.699000000E+004   3.229000000E+004   1.630000000E+005   1.353000000E+000   4.569000000E-004   2.227000000E+000   1.841000000E-001   5.287000000E-001   4.726000000E-006   8.506000000E-006   4.913000000E-002   1.431000000E-006   1.976000000E-003   7.563000000E-006   3.942000000E-001   8.657000001E-005   1.165000000E-004   6.628000000E-001   3.153000000E-006   8.005000000E+000   2.033000000E-003   3.605000000E-009   4.330000000E-009   2.544000000E-004   3.744000000E-004   9.674000000E-010   4.182000000E-008   6.719000000E-008   9.208000000E-006   5.442000000E-003   5.090999684E-010   7.274000000E-009   2.129000000E-006   3.071000000E-005   8.223000000E-008   1.330000000E-002   2.879000000E-006   4.171000000E-001   3.086000000E-007   3.628000004E-007   4.252000000E-002   1.157000000E-001   9.129000000E-004   2.838000000E+001   2.829000000E+000   2.816000000E-002   8.086000000E-002   4.143000000E-006   4.045000000E-002   2.062000000E+000   8.591000000E-004   3.089000000E-004   2.441000000E-006   3.454000000E-010   2.641000000E-012   4.540000000E-013   2.849000000E-014   9.999998749E-016   1.000000125E-015   4.160000000E-014   1.199000000E-009   3.939000000E-001   3.002000000E-002   3.245000000E-004   3.521000000E+001   1.072000000E-002 
  1.666011096E+005   2.639693848E-009   1.000000000E+001   1.000022131E+004   3.686882555E+004   8.330055478E+008   1.665677893E+008   3.545271611E+002   5.940995567E-001   3.130434849E+000   1.236846637E-001   2.292431268E+001   3.618576100E+004   1.632191070E+004   4.075063140E+001   6.749010948E+002   1.368961317E+005   2.292431268E+001   7.393757242E-001   4.569868435E-001   4.896406610E-002   1.112895412E-006   2.798898641E-005   6.630724160E-004   1.665678761E-007   1.665680786E-007   1.665681271E-007   9.887775852E+004   7.975195115E-002   8.591619220E-002   2.948839639E-002   9.131406815E+001   1.177703243E+002   1.289825790E+002   3.596917955E+003   2.813892740E+001   2.414050078E+004   1.178369648E+002   7.696971262E+001   8.819862740E+001   1.889256582E+000   2.402388000E+000   1.665844495E-003   1.440266592E-008   3.665224410E-012   6.452460973E-013   1.666011096E-015   4.269986438E-015   2.395723955E-006   8.591619220E-008   1.665677893E-007   2.432376200E+001   1.789295917E+002   5.876021134E-002   1.715991428E+005   1.666382503E-007   1.377457974E+004   2.232454868E+004   2.582317198E+003   2.582317198E+004   1.665843732E-007   3.098780638E+003   1.032760278E+004   1.206025432E+004   3.448642968E+002   6.195895265E+003   1.665678692E-007   1.665677893E-007   1.665677893E-007   1.665677893E-007   2.332415534E+005   5.612791381E+004   6.162575043E+004   5.379549828E+004   2.715598086E+005   2.254113012E+000   7.612004697E-004   3.710206710E+000   3.067126427E-001   8.808200662E-001   7.873568438E-006   1.417109038E-005   8.185112513E-002   2.384061878E-006   3.292037925E-003   1.260004192E-005   6.567415739E-001   1.442265806E-004   1.940902927E-004   1.104232154E+000   5.252932984E-006   1.333641882E+001   3.387000557E-003   6.005970000E-009   7.213828044E-009   4.238332227E-004   6.237545542E-004   1.611699134E-009   6.967258401E-008   1.119392855E-007   1.534063017E-005   9.066432382E-003   8.481661611E-010   1.211856471E-008   3.546937623E-006   5.116320075E-005   1.369960924E-007   2.215794757E-002   4.796445944E-006   6.948932280E-001   5.141310241E-007   6.044288267E-007   7.083879178E-002   1.927574838E-001   1.520901529E-003   4.728139489E+001   4.713145389E+000   4.691487245E-002   1.347136572E-001   6.902283969E-006   6.739014882E-002   3.435314879E+000   1.431270132E-003   5.146308274E-004   4.066733084E-006   5.754402324E-010   4.399935303E-012   7.563690374E-013   4.746465611E-014   1.666010748E-015   1.666011443E-015   6.930606158E-014   1.997547304E-009   6.562417706E-001   5.001365309E-002   5.406206005E-004   5.866025068E+001   1.785963894E-002 
  2.332022191E+005   3.694948159E-009   1.000000000E+001   1.000022131E+004   5.160765109E+004   1.166011096E+009   2.331555787E+008   4.962543223E+002   8.315991134E-001   4.381869697E+000   1.731293275E-001   3.208862535E+001   5.065152199E+004   2.284682141E+004   5.704126280E+001   9.447021897E+002   1.916222635E+005   3.208862535E+001   1.034951448E+000   6.396736870E-001   6.853813220E-002   1.557790824E-006   3.917797281E-005   9.281448321E-004   2.331557487E-007   2.331561454E-007   2.331562404E-007   1.384055170E+005   1.116339023E-001   1.202623844E-001   4.127679279E-002   1.278181363E+002   1.648506487E+002   1.805451580E+002   5.034835911E+003   3.938785481E+001   3.379100155E+004   1.649439296E+002   1.077394252E+002   1.234572548E+002   2.644513165E+000   3.362776000E+000   2.331788989E-003   2.016033184E-008   5.130448821E-012   9.031921947E-013   2.332022191E-015   5.976972876E-015   3.353447911E-006   1.202623844E-007   2.331555787E-007   3.404752399E+001   2.504591833E+002   8.225042268E-002   2.401982857E+005   2.332936357E-007   1.928115948E+004   3.124909736E+004   3.614634396E+003   3.614634396E+004   2.331880720E-007   4.337561276E+003   1.445620556E+004   1.688150864E+004   4.827285936E+002   8.672790529E+003   2.331557351E-007   2.331555787E-007   2.331555787E-007   2.331555787E-007   3.264831068E+005   7.856582762E+004   8.626150085E+004   7.530099655E+004   3.801196172E+005   3.155226025E+000   1.065500939E-003   5.193413420E+000   4.293252854E-001   1.232940132E+000   1.102113688E-005   1.983618076E-005   1.145722503E-001   3.337123756E-006   4.608075850E-003   1.763708383E-005   9.192831478E-001   2.018831611E-004   2.716805853E-004   1.545664308E+000   7.352865969E-006   1.866783764E+001   4.741001115E-003   8.406940000E-009   1.009765609E-008   5.932664454E-004   8.731091084E-004   2.255998268E-009   9.752516802E-008   1.566885710E-007   2.147326034E-005   1.269086476E-002   1.187232326E-009   1.696312942E-008   4.964875245E-006   7.161640149E-005   1.917621848E-007   3.101589514E-002   6.713891889E-006   9.726864560E-001   7.196620482E-007   8.460576534E-007   9.915758357E-002   2.698149675E-001   2.128903058E-003   6.618278979E+001   6.597290779E+000   6.566974490E-002   1.885673144E-001   9.661567938E-006   9.433029763E-002   4.808629758E+000   2.003440264E-003   7.203616549E-004   5.692466169E-006   8.054804648E-010   6.158870607E-012   1.058738075E-012   6.643931223E-014   2.332021511E-015   2.332022871E-015   9.701212316E-014   2.796094607E-009   9.185835411E-001   7.000730618E-002   7.567412010E-004   8.211050135E+001   2.499927789E-002 
  3.127527277E+005   4.955377868E-009   1.000000000E+001   1.000022131E+004   6.921217864E+004   1.563763639E+009   3.126901772E+008   6.655378045E+002   1.115276227E+000   5.876623754E+000   2.321876250E-001   4.303477533E+001   6.792989246E+004   3.064038473E+004   7.649931720E+001   1.266961300E+003   2.569889164E+005   4.303477533E+001   1.387996606E+000   8.578807321E-001   9.191802667E-002   2.089188221E-006   5.254245825E-005   1.244755856E-003   3.126904830E-007   3.126911964E-007   3.126913674E-007   1.856187439E+005   1.497147308E-001   1.612865817E-001   5.535723281E-002   1.714197701E+002   2.210849032E+002   2.421331618E+002   6.752331391E+003   5.282393571E+001   4.531787024E+004   2.212100043E+002   1.444917602E+002   1.655712940E+002   3.546615932E+000   4.509894333E+000   3.127214524E-003   2.703747331E-008   6.880560009E-012   1.211291314E-012   3.127527277E-015   8.015852411E-015   4.497384224E-006   1.612865817E-007   3.126901772E-007   4.566189824E+001   3.358964296E+002   1.103078871E-001   3.221353095E+005   3.129384878E-007   2.585839553E+004   4.190886551E+004   4.847667279E+003   4.847667279E+004   3.127486199E-007   5.817200735E+003   1.938754159E+004   2.264016996E+004   6.473981463E+002   1.163127394E+004   3.126904584E-007   3.126901772E-007   3.126901772E-007   3.126901772E-007   4.378538188E+005   1.053663940E+005   1.156872340E+005   1.009878558E+005   5.097869462E+005   4.231544406E+000   1.428967213E-003   6.965003246E+000   5.757777717E-001   1.653523671E+000   1.478069391E-005   2.660274702E-005   1.536554151E-001   4.475491533E-006   6.179993899E-003   2.365348880E-005   1.232871253E+000   2.707500364E-004   3.643569278E-004   2.072925079E+000   9.861093504E-006   2.503585585E+001   6.358262954E-003   1.127473584E-008   1.354219311E-008   7.956429393E-004   1.170946213E-003   3.025569888E-009   1.307931907E-007   2.101385577E-007   2.879827117E-005   1.702000344E-002   1.592223828E-009   2.274963341E-008   6.658505573E-006   9.604636268E-005   2.571765680E-007   4.159611278E-002   9.004151031E-006   1.304491627E+000   9.651549177E-007   1.134666900E-006   1.329824598E-001   3.618549060E-001   2.855119651E-003   8.875922412E+001   8.847774667E+000   8.807116812E-002   2.528918556E-001   1.295734551E-005   1.265084784E-001   6.448961245E+000   2.686858684E-003   9.660931759E-004   7.634294083E-006   1.080247921E-009   8.259799539E-012   1.419897384E-012   8.910325212E-014   3.127526053E-015   3.127528500E-015   1.301051347E-013   3.749905205E-009   1.231932994E+000   9.388836886E-002   1.014882601E-003   1.101202354E+002   3.352709241E-002 
  4.044746696E+005   6.408656579E-009   1.000000000E+001   1.000022131E+004   8.951024438E+004   2.022373348E+009   4.043937747E+008   8.607220969E+002   1.442356672E+000   7.600079042E+000   3.002819947E-001   5.565571454E+001   8.785189824E+004   3.962638338E+004   9.893450419E+001   1.638526887E+003   3.323568360E+005   5.565571454E+001   1.795058584E+000   1.109474019E+000   1.188751054E-001   2.701890793E-006   6.795174449E-005   1.609809185E-003   4.043942862E-007   4.043954794E-007   4.043957654E-007   2.400557164E+005   1.936220243E-001   2.085875871E-001   7.159201652E-002   2.216925664E+002   2.859231439E+002   3.131442892E+002   8.732608117E+003   6.831577170E+001   5.860837963E+004   2.860849338E+002   1.868672974E+002   2.141288901E+002   4.586742753E+000   5.832524736E+000   4.044342221E-003   3.496683519E-008   8.898442731E-012   1.566530395E-012   4.044746697E-015   1.036668578E-014   5.816345749E-006   2.085875871E-007   4.043937747E-007   5.905330176E+001   4.344057952E+002   1.426582160E-001   4.166089097E+005   4.048090879E-007   3.344196568E+004   5.419960573E+004   6.269357379E+003   6.269357379E+004   4.044915234E-007   7.523228855E+003   2.507338477E+004   2.927992133E+004   8.372625661E+002   1.504241296E+004   4.043942451E-007   4.043937747E-007   4.043937747E-007   4.043937747E-007   5.662645375E+005   1.362675162E+005   1.496151803E+005   1.306048708E+005   6.592937115E+005   5.472542280E+000   1.848044766E-003   9.007650892E+000   7.446378667E-001   2.138457578E+000   1.911547289E-005   3.440461540E-005   1.987184052E-001   5.788032522E-006   7.992419471E-003   3.059041926E-005   1.594439148E+000   3.501537216E-004   4.712129902E-004   2.680858110E+000   1.275308633E-005   3.237819730E+001   8.222970033E-003   1.458131184E-008   1.751375320E-008   1.028983559E-003   1.514353163E-003   3.912887954E-009   1.691513068E-007   2.717665305E-007   3.724402758E-005   2.201151152E-002   2.059180027E-009   2.942148747E-008   8.611265716E-006   1.242141710E-004   3.325995208E-007   5.379513106E-002   1.164482574E-005   1.687063847E+000   1.248208830E-006   1.467434109E-006   1.719826295E-001   4.679771927E-001   3.692449259E-003   1.147899112E+002   1.144258840E+001   1.139000670E-001   3.270582178E-001   1.675738556E-005   1.636100039E-001   8.340267687E+000   3.474841887E-003   1.249422254E-003   9.873226685E-006   1.397055509E-009   1.068217602E-011   1.836315000E-012   1.152348334E-013   4.044744650E-015   4.044748742E-015   1.682614626E-013   4.849651289E-009   1.593225724E+000   1.214232958E-001   1.312520303E-003   1.424155312E+002   4.335968458E-002 
  5.529858887E+005   8.761727050E-009   1.000000000E+001   1.000022131E+004   1.223757772E+005   2.764929443E+009   5.528752915E+008   1.176753971E+003   1.971947679E+000   1.039060485E+001   4.105367238E-001   7.609085828E+001   1.201085350E+005   5.417602751E+004   1.352603484E+002   2.240145835E+003   4.543885047E+005   7.609085828E+001   2.454151374E+000   1.516840293E+000   1.625225527E-001   3.693945736E-006   9.290162930E-005   2.200883837E-003   5.528762476E-007   5.528784779E-007   5.528790124E-007   3.281971249E+005   2.647143449E-001   2.851748228E-001   9.787850230E-002   3.030915656E+002   3.909057247E+002   4.281216750E+002   1.193896534E+004   9.339931660E+001   8.012765527E+004   3.911269191E+002   2.554794806E+002   2.927507295E+002   6.270859978E+000   7.974056515E+000   5.529305901E-003   4.780563008E-008   1.216568955E-011   2.141714347E-012   5.529858888E-015   1.417302833E-014   7.951937079E-006   2.851748228E-007   5.528752915E-007   8.073593975E+001   5.939068444E+002   1.950381229E-001   5.695754653E+005   5.536515765E-007   4.572087328E+004   7.410010908E+004   8.571281274E+003   8.571281274E+004   5.530579992E-007   1.028553753E+004   3.427959524E+004   4.003064848E+004   1.144680790E+003   2.056554520E+004   5.528761709E-007   5.528752915E-007   5.528752915E-007   5.528752915E-007   7.741802441E+005   1.863009459E+005   2.045494802E+005   1.785591435E+005   9.013669985E+005   7.481899074E+000   2.526592526E-003   1.231499574E+001   1.018047021E+000   2.923636393E+000   2.613411310E-005   4.703697969E-005   2.716819671E-001   7.913228067E-006   1.092700116E-002   4.182232276E-005   2.179870373E+000   4.787198840E-004   6.442285605E-004   3.665190470E+000   1.743564507E-005   4.426652039E+001   1.124220312E-002   1.993514129E-008   2.394428898E-008   1.406796101E-003   2.070379167E-003   5.349585487E-009   2.312586986E-007   3.715512186E-007   5.091894063E-005   3.009349206E-002   2.815250194E-009   4.022419354E-008   1.177306957E-005   1.698219664E-004   4.547202962E-007   7.354712319E-002   1.592046374E-005   2.306504142E+000   1.706514452E-006   2.006232818E-006   2.351295999E-001   6.398046732E-001   5.048208178E-003   1.569373952E+002   1.564397079E+001   1.557208263E-001   4.471443896E-001   2.291020537E-005   2.236827920E-001   1.140256902E+001   4.750701770E-003   1.708173410E-003   1.349838554E-005   1.910013259E-009   1.460435732E-011   2.510555935E-012   1.575456797E-013   5.529855062E-015   5.529862711E-015   2.300421297E-013   6.630300805E-009   2.178211415E+000   1.660063638E-001   1.794439208E-003   1.947063314E+002   5.928008726E-002 
  7.847153254E+005   1.243333986E-008   1.000000000E+001   1.000022131E+004   1.736575015E+005   3.923576627E+009   7.845583823E+008   1.669874212E+003   2.798294850E+000   1.474480096E+001   5.825726576E-001   1.079768288E+002   1.704401687E+005   7.687856043E+004   1.919413686E+002   3.178881783E+003   6.448005829E+005   1.079768288E+002   3.482566614E+000   2.152474138E+000   2.306278341E-001   5.241898374E-006   1.318321747E-004   3.123166995E-003   7.845603076E-007   7.845647987E-007   7.845658752E-007   4.657285456E+005   3.756432263E-001   4.046776933E-001   1.388946126E-001   4.301024698E+002   5.547152635E+002   6.075266049E+002   1.694200388E+004   1.325384185E+002   1.137052506E+005   5.550291496E+002   3.625384803E+002   4.154282933E+002   8.898671790E+000   1.131559499E+001   7.846368539E-003   6.783863988E-008   1.726373716E-011   3.039202455E-012   7.847153255E-015   2.011225379E-014   1.128420638E-005   4.046776933E-007   7.845583823E-007   1.145684375E+002   8.427842595E+002   2.767690953E-001   8.082567851E+005   7.861215924E-007   6.488026310E+004   1.051518536E+005   1.216308754E+004   1.216308754E+005   7.849263019E-007   1.459570505E+004   4.864450302E+004   5.680554240E+004   1.624360724E+003   2.918356295E+004   7.845601531E-007   7.845583823E-007   7.845583823E-007   7.845583823E-007   1.098601456E+006   2.643705931E+005   2.902661989E+005   2.533845786E+005   1.279085980E+006   1.061719835E+001   3.585364324E-003   1.747561030E+001   1.444660914E+000   4.148789925E+000   3.708564628E-005   6.674788557E-005   3.855306394E-001   1.122927631E-005   1.550597483E-002   5.934802005E-005   3.093347813E+000   6.793280575E-004   9.141933544E-004   5.201093177E+000   2.474207421E-005   6.281646180E+001   1.595326257E-002   2.828898749E-008   3.397817359E-008   1.996315788E-003   2.937974178E-003   7.591336058E-009   3.281679489E-007   5.272502271E-007   7.225658716E-005   4.270420801E-002   3.994983778E-009   5.708019277E-008   1.670658928E-005   2.409860764E-004   6.452714120E-007   1.043671383E-001   2.259195422E-005   3.273047622E+000   2.421631494E-006   2.846947228E-006   3.336609564E-001   9.079156315E-001   7.163666205E-003   2.227022093E+002   2.219959656E+001   2.209758356E-001   6.345208121E-001   3.251075593E-005   3.174173491E-001   1.618083001E+001   6.741489360E-003   2.423985640E-003   1.915490109E-005   2.710406734E-009   2.072433174E-011   3.562607577E-012   2.235653962E-013   7.847145551E-015   7.847160955E-015   3.264415755E-013   9.408736751E-009   3.090993667E+000   2.355715407E-001   2.546401230E-003   2.762982661E+002   8.412148288E-002 
  1.164934074E+006   1.845767604E-008   1.000000000E+001   1.000022131E+004   2.577999106E+005   5.824670370E+009   1.164701087E+009   2.478979710E+003   4.154154908E+000   2.188911125E+001   8.648470566E-001   1.602949286E+002   2.530236809E+005   1.141285912E+005   2.849428745E+002   4.719147934E+003   9.572263287E+005   1.602949286E+002   5.169977421E+000   3.195414165E+000   3.423741244E-001   7.781759615E-006   1.957089244E-004   4.636437615E-003   1.164705330E-006   1.164715228E-006   1.164717600E-006   6.913883730E+005   5.576539413E-001   6.007565020E-001   2.061933312E-001   6.385003660E+002   8.234918970E+002   9.018919602E+002   2.515092666E+004   1.967573651E+002   1.687989473E+005   8.239578706E+002   5.381995422E+002   6.167160988E+002   1.321035240E+001   1.679834935E+001   1.164817581E-002   1.007085507E-007   2.562854963E-011   4.511789669E-012   1.164934074E-014   2.985726032E-014   1.675175199E-005   6.007565020E-007   1.164701087E-006   1.700803748E+002   1.251139196E+003   4.108722479E-001   1.199882096E+006   1.168146139E-006   9.631674925E+004   1.561011659E+005   1.805647815E+004   1.805647815E+005   1.165511920E-006   2.166777378E+004   7.221426325E+004   8.432957762E+004   2.411413533E+003   4.332389822E+004   1.164704990E-006   1.164701087E-006   1.164701087E-006   1.164701087E-006   1.630907704E+006   3.924662896E+005   4.309091140E+005   3.761572125E+005   1.898842541E+006   1.576155802E+001   5.322583789E-003   2.594308183E+001   2.144643630E+000   6.159006450E+000   5.505478435E-005   9.908929234E-005   5.723321106E-001   1.667020660E-005   2.301909730E-002   8.810396401E-005   4.592170120E+000   1.008483429E-003   1.357148197E-003   7.721183043E+000   3.673037136E-005   9.325297263E+001   2.368310973E-002   4.199587339E-008   5.044164542E-008   2.963592285E-003   4.361513173E-003   1.126957223E-008   4.871754295E-007   7.827192044E-007   1.072671295E-004   6.339571231E-002   5.930675087E-009   8.473730455E-008   2.480144644E-005   3.577512542E-004   9.579252890E-007   1.549362319E-001   3.353845201E-005   4.858940023E+000   3.594986553E-006   4.226380881E-006   4.953299683E-001   1.347828724E+000   1.063468316E-002   3.306082902E+002   3.295598496E+001   3.280454353E-001   9.419656923E-001   4.826321870E-005   4.712158330E-001   2.402094061E+001   1.000794863E-002   3.598481355E-003   2.843604075E-005   4.023682292E-009   3.076590890E-011   5.288800696E-012   3.318897177E-013   1.164932377E-014   1.164935771E-014   4.846125750E-013   1.396755955E-008   4.588675318E+000   3.497132090E-001   3.780211069E-003   4.101732875E+002   1.248809327E-001 
  1.738485486E+006   2.754525137E-008   1.000000000E+001   1.000022131E+004   3.847268380E+005   8.692427428E+009   1.738137789E+009   3.699497114E+003   6.199439242E+000   3.266614228E+001   1.290651625E+000   2.392156028E+002   3.775990475E+005   1.703194230E+005   4.252335498E+002   7.042604702E+003   1.428513524E+006   2.392156028E+002   7.715398585E+000   4.768665687E+000   5.109408842E-001   1.161308304E-005   2.920655616E-004   6.919172233E-003   1.738147238E-006   1.738169281E-006   1.738174565E-006   1.031791136E+006   8.322130020E-001   8.965369650E-001   3.077119310E-001   9.528638947E+002   1.228935390E+003   1.345935463E+003   3.753390164E+004   2.936301985E+002   2.519065469E+005   1.229630784E+003   8.031802944E+002   9.203542161E+002   1.971442541E+001   2.506896070E+001   1.738311637E-002   1.502920702E-007   3.824668068E-011   6.733154286E-012   1.738485486E-014   4.455738300E-014   2.499942128E-005   8.965369650E-007   1.738137789E-006   2.538188809E+002   1.867133412E+003   6.131638308E-001   1.790640050E+006   1.745810259E-006   1.437379800E+005   2.329570551E+005   2.694652503E+004   2.694652503E+005   1.739943593E-006   3.233583003E+004   1.077687153E+005   1.258489643E+005   3.598664955E+003   6.465427521E+004   1.738146480E-006   1.738137789E-006   1.738137789E-006   1.738137789E-006   2.433879680E+006   5.856957601E+005   6.430657811E+005   5.613569633E+005   2.833731342E+006   2.352170862E+001   7.943140194E-003   3.871607177E+001   3.200551779E+000   9.191372763E+000   8.216082407E-005   1.478755754E-004   8.541179191E-001   2.487772730E-005   3.435247320E-002   1.314816573E-004   6.853109784E+000   1.505006887E-003   2.025335592E-003   1.152268180E+001   5.481444736E-005   1.391657631E+002   3.534340992E-002   6.267240181E-008   7.527642155E-008   4.422707076E-003   6.508889658E-003   1.681810859E-008   7.270346295E-007   1.168088398E-006   1.600797435E-004   9.460838013E-002   8.850620066E-009   1.264574342E-007   3.701235599E-005   5.338888926E-004   1.429556615E-006   2.312185696E-001   5.005099716E-005   7.251222961E+000   5.364966209E-006   6.307225475E-006   7.392040285E-001   2.011427707E+000   1.587063400E-002   4.933821808E+002   4.918175439E+001   4.895575128E-001   1.405739364E+000   7.202545369E-005   7.032173789E-001   3.584757071E+001   1.493532881E-002   5.370181665E-003   4.243643071E-005   6.004728867E-009   4.591340168E-011   7.892724105E-012   4.952945149E-013   1.738481705E-014   1.738489265E-014   7.232099625E-013   2.084444097E-008   6.847894328E+000   5.218933428E-001   5.641385397E-003   6.121207395E+002   1.863656441E-001 
  2.312036897E+006   3.663282669E-008   1.000000000E+001   1.000022131E+004   5.116537654E+005   1.156018449E+010   2.311574490E+009   4.920014517E+003   8.244723576E+000   4.344317330E+001   1.716456193E+000   3.181362771E+002   5.021744141E+005   2.265102548E+005   5.655242251E+002   9.366061471E+003   1.899800718E+006   3.181362771E+002   1.026081975E+001   6.341917209E+000   6.795076441E-001   1.544440647E-005   3.884221987E-004   9.201906851E-003   2.311591203E-006   2.311630190E-006   2.311639535E-006   1.372193899E+006   1.106772063E+000   1.192317428E+000   4.092305310E-001   1.267227423E+003   1.634378883E+003   1.789978966E+003   4.991687661E+004   3.905030319E+002   3.350141464E+005   1.635303697E+003   1.068161047E+003   1.223992333E+003   2.621849841E+001   3.333957206E+001   2.311805694E-002   1.998755898E-007   5.086481174E-011   8.954518903E-012   2.312036899E-014   5.925750568E-014   3.324709058E-005   1.192317428E-006   2.311574490E-006   3.375573870E+002   2.483127628E+003   8.154554137E-001   2.381398004E+006   2.325144576E-006   1.911592107E+005   3.098129442E+005   3.583657191E+004   3.583657191E+005   2.314768367E-006   4.300388629E+004   1.433231673E+005   1.673683510E+005   4.785916377E+003   8.598465221E+004   2.311589862E-006   2.311574490E-006   2.311574490E-006   2.311574490E-006   3.236851656E+006   7.789252307E+005   8.552224483E+005   7.465567141E+005   3.768620143E+006   3.128185922E+001   1.056369660E-002   5.148906170E+001   4.256459928E+000   1.222373908E+001   1.092668638E-004   1.966618585E-004   1.135903728E+000   3.308524800E-005   4.568584909E-002   1.748593505E-004   9.114049449E+000   2.001530345E-003   2.693522988E-003   1.532418055E+001   7.289852337E-005   1.850785536E+002   4.700371012E-002   8.334893023E-008   1.001111977E-007   5.881821867E-003   8.656266143E-003   2.236664495E-008   9.668938293E-007   1.553457591E-006   2.128923575E-004   1.258210479E-001   1.177056297E-008   1.681775639E-007   4.922326554E-005   7.100265311E-004   1.901187940E-006   3.075009073E-001   6.656354232E-005   9.643505898E+000   7.134945865E-006   8.388070099E-006   9.830780887E-001   2.675026690E+000   2.110658483E-002   6.561560714E+002   6.540752382E+001   6.510695903E-001   1.869513035E+000   9.578768868E-005   9.352189249E-001   4.767420082E+001   1.986270898E-002   7.141881976E-003   5.643682066E-005   7.985775443E-009   6.106089446E-011   1.049664751E-011   6.586993120E-013   2.312030211E-014   2.312043582E-014   9.618073501E-013   2.772132240E-008   9.107113338E+000   6.940734765E-001   7.502559724E-003   8.140681915E+002   2.478503554E-001 
