    V   J   Energy(K)   log(N/g)
    0     0   0.000000E+000   4.672154E+001 
    0     1   1.705020E+002   4.563296E+001 
    0     2   5.098500E+002   4.160020E+001 
    0     3   1.015153E+003   4.062667E+001 
    0     4   1.681678E+003   3.974734E+001 
    0     5   2.503870E+003   3.874708E+001 
    0     6   3.474434E+003   3.742666E+001 
    0     7   4.586377E+003   3.579494E+001 
    0     8   5.829758E+003   3.427807E+001 
    1     0   5.987124E+003   3.342463E+001 
    1     1   6.149208E+003   3.329954E+001 
    1     2   6.471607E+003   3.319341E+001 
    1     3   6.951587E+003   3.297511E+001 
    0     9   7.196995E+003   3.328040E+001 
    1     4   7.584601E+003   3.275844E+001 
    1     5   8.365297E+003   3.248873E+001 
    0    10   8.677322E+003   3.264655E+001 
    1     6   9.286624E+003   3.221676E+001 
    0    11   1.026179E+004   3.208922E+001 
    1     7   1.034152E+004   3.193654E+001 
    1     8   1.152183E+004   3.164569E+001 
    2     0   1.163573E+004   3.156361E+001 
    2     1   1.178951E+004   3.152153E+001 
    0    12   1.194031E+004   3.164222E+001 
    2     2   1.209524E+004   3.145275E+001 
    2     3   1.255050E+004   3.134454E+001 
    1     9   1.281752E+004   3.136825E+001 
    2     4   1.315072E+004   3.120835E+001 
    0    13   1.370318E+004   3.116948E+001 
    2     5   1.389070E+004   3.105873E+001 
    1    10   1.422111E+004   3.105973E+001 
    2     6   1.476414E+004   3.087372E+001 
    0    14   1.554025E+004   3.078837E+001 
    1    11   1.572229E+004   3.077203E+001 
    2     7   1.576338E+004   3.069334E+001 
    2     8   1.688055E+004   3.047884E+001 
    3     0   1.695284E+004   3.047256E+001 
    3     1   1.709837E+004   3.043383E+001 
    1    12   1.731122E+004   3.045375E+001 
    3     2   1.738779E+004   3.037376E+001 
    0    15   1.744391E+004   3.031648E+001 
    3     3   1.781869E+004   3.030237E+001 
    2     9   1.810741E+004   3.027116E+001 
    3     4   1.838652E+004   3.019127E+001 
    1    13   1.897972E+004   3.014447E+001 
    3     5   1.908649E+004   3.008273E+001 
    0    16   1.940345E+004   3.000354E+001 
    2    10   1.943491E+004   3.004023E+001 
    3     6   1.991225E+004   2.993234E+001 
    1    14   2.071785E+004   2.980325E+001 
    2    11   2.085383E+004   2.977149E+001 
    3     7   2.085653E+004   2.979288E+001 
    0    17   2.141168E+004   2.943497E+001 
    3     8   2.191171E+004   2.961272E+001 
    4     0   2.194278E+004   2.960664E+001 
    4     1   2.208004E+004   2.959250E+001 
    4     2   2.235326E+004   2.953573E+001 
    2    12   2.235535E+004   2.952940E+001 
    1    15   2.251712E+004   2.943501E+001 
    4     3   2.275983E+004   2.946797E+001 
    3     9   2.306999E+004   2.939697E+001 
    4     4   2.329564E+004   2.936720E+001 
    0    18   2.345990E+004   2.920903E+001 
    2    13   2.393080E+004   2.925328E+001 
    4     5   2.395581E+004   2.927712E+001 
    3    10   2.432262E+004   2.917054E+001 
    1    16   2.436840E+004   2.913498E+001 
    4     6   2.473404E+004   2.909982E+001 
    0    19   2.553963E+004   2.861296E+001 
    2    14   2.557053E+004   2.898470E+001 
    4     7   2.562381E+004   2.894836E+001 
    3    11   2.565988E+004   2.894872E+001 
    1    17   2.626369E+004   2.871093E+001 
    5     0   2.660677E+004   2.881428E+001 
    4     8   2.661704E+004   2.875451E+001 
    5     1   2.673596E+004   2.880938E+001 
    5     2   2.699289E+004   2.874396E+001 
    3    12   2.707418E+004   2.870108E+001 
    2    15   2.726625E+004   2.864816E+001 
    5     3   2.737523E+004   2.865947E+001 
    0    20   2.764451E+004   2.845808E+001 
    4     9   2.770677E+004   2.856803E+001 
    5     4   2.787879E+004   2.853619E+001 
    1    18   2.819486E+004   2.842456E+001 
    5     5   2.849899E+004   2.843541E+001 
    3    13   2.855661E+004   2.842818E+001 
    4    10   2.888376E+004   2.829658E+001 
    2    16   2.900940E+004   2.834158E+001 
    5     6   2.922954E+004   2.820523E+001 
    0    21   2.976661E+004   2.782382E+001 
    5     7   3.006431E+004   2.802572E+001 
