     distance         timeN            Tn            nH          n(H)         n(H2)         n(He)          n(C)         n(CH)        n(CH2)        n(CH3)        n(CH4)          n(O)         n(O2)         n(OH)        n(H2O)         n(CO)        n(CO2)         n(C2)        n(C2H)       n(C2H2)         n(C3)        n(C3H)       n(C3H2)      n(CH3OH)       n(H2CO)      n(HCO2H)          n(N)         n(NH)        n(NH2)        n(NH3)         n(CN)        n(HCN)        n(HNC)         n(N2)         n(NO)          n(S)         n(SH)        n(H2S)         n(CS)         n(SO)        n(SO2)        n(OCS)         n(Si)        n(SiH)       n(SiH2)       n(SiH3)       n(SiH4)        n(SiO)       n(SiO2)         n(Mg)         n(Fe)     n(C54H18)          n(G)       n(H2O*)        n(O2*)        n(CO*)       n(CO2*)       n(CH4*)       n(NH3*)        n(N2*)     n(CH3OH*)      n(H2CO*)     n(HCO2H*)       n(OCS*)       n(H2S*)        n(Fe*)      n(SiH4*)       n(SiO*)      n(SiO2*)        n(O**)       n(Si**)       n(Mg**)       n(Fe**)        n(C**)         n(H+)        n(H2+)        n(H3+)        n(He+)         n(C+)        n(CH+)       n(CH2+)       n(CH3+)       n(CH4+)       n(CH5+)         n(O+)        n(O2+)        n(OH+)       n(H2O+)       n(H3O+)        n(CO+)       n(HCO+)      n(HCO2+)        n(C2+)       n(C2H+)      n(C2H2+)      n(C2H3+)        n(C3+)       n(C3H+)      n(C3H2+)      n(C3H3+)         n(N+)        n(NH+)       n(NH2+)       n(NH3+)       n(NH4+)        n(CN+)       n(C2N+)       n(HCN+)      n(H2CN+)      n(H2NC+)        n(N2+)       n(N2H+)        n(NO+)       n(HNO+)         n(S+)        n(SH+)       n(H2S+)       n(H3S+)        n(CS+)       n(HCS+)        n(SO+)       n(HSO+)      n(HSO2+)      n(HOCS+)        n(Si+)       n(SiH+)      n(SiH2+)      n(SiH3+)      n(SiH4+)      n(SiH5+)       n(SiO+)      n(SiOH+)        n(Fe+)    n(C54H18+)         n(G+)    n(C54H18-)         n(G-) 
  1.000000000E+005   1.056293024E-009   1.000000000E+001   1.000022131E+004   2.213000000E-001   5.000000000E+003   9.998000000E+002   2.128000000E-003   3.566000000E-006   1.879000000E-005   7.425000000E-007   1.376000000E-004   2.172000000E-001   9.797000000E-002   2.446000000E-004   4.051000000E-003   8.218000000E-001   1.376000000E-004   4.438000000E-006   2.743000000E-006   2.939000000E-007   6.680000000E-012   1.680000000E-010   3.980000000E-009   9.998004169E-013   9.998013894E-013   9.998016225E-013   5.935000000E-001   4.787000000E-007   5.157000000E-007   1.770000000E-007   5.481000000E-004   7.069000000E-004   7.742000000E-004   2.159000000E-002   1.689000000E-004   1.449000000E-001   7.073000000E-004   4.620000000E-004   5.294000000E-004   1.134000000E-005   1.442000000E-005   9.999000000E-009   8.645000000E-014   2.200000000E-017   3.873000000E-018   1.000000000E-020   2.563000000E-020   1.438000000E-011   5.157000000E-013   9.998000000E-013   1.460000000E-004   1.074000000E-003   3.526000000E-007   1.030000000E+000   1.000138434E-012   8.268000000E-002   1.340000000E-001   1.550000000E-002   1.550000000E-001   9.998796543E-013   1.860000000E-002   6.199000000E-002   7.239000000E-002   2.070000000E-003   3.719000000E-002   9.998003834E-013   9.998000000E-013   9.998000000E-013   9.998000000E-013   1.400000000E+000   3.369000000E-001   3.699000000E-001   3.229000000E-001   1.630000000E+000   1.353000000E-005   4.569000000E-009   2.227000000E-005   1.841000000E-006   5.287000000E-006   4.727000000E-011   8.506000000E-011   4.913000000E-007   1.431000000E-011   1.976000000E-008   7.563000000E-011   3.942000000E-006   8.657000001E-010   1.165000000E-009   6.628000000E-006   3.153000000E-011   8.005000000E-005   2.033000000E-008   3.605000000E-014   4.330000000E-014   2.544000000E-009   3.744000000E-009   9.675000000E-015   4.182000000E-013   6.719000000E-013   9.209000000E-011   5.442000000E-008   5.090999579E-015   7.275000000E-014   2.129000000E-011   3.071000000E-010   8.223000000E-013   1.330000000E-007   2.879000000E-011   4.171000000E-006   3.086000000E-012   3.628000006E-012   4.252000000E-007   1.157000000E-006   9.129000000E-009   2.838000000E-004   2.829000000E-005   2.816000000E-007   8.086000000E-007   4.143000000E-011   4.045000000E-007   2.062000000E-005   8.591000000E-009   3.089000000E-009   2.441000000E-011   3.454000000E-015   2.641000000E-017   4.540000000E-018   2.849000000E-019   9.999998332E-021   1.000000167E-020   4.160000000E-019   1.199000000E-014   3.939000000E-006   3.002000000E-007   3.245000000E-009   3.521000000E-004   1.071000000E-007 
  1.999333047E+005   2.111881551E-009   1.000000000E+001   1.000022131E+004   2.213000000E-001   5.000000000E+003   9.998000000E+002   2.128000000E-003   3.566000000E-006   1.879000000E-005   7.425000000E-007   1.376000000E-004   2.172000000E-001   9.797000000E-002   2.446000000E-004   4.051000000E-003   8.218000000E-001   1.376000000E-004   4.438000000E-006   2.743000000E-006   2.939000000E-007   6.680000000E-012   1.680000000E-010   3.980000000E-009   9.998008335E-013   9.998027778E-013   9.998032439E-013   5.935000000E-001   4.787000000E-007   5.157000000E-007   1.770000000E-007   5.481000000E-004   7.069000000E-004   7.742000000E-004   2.159000000E-002   1.689000000E-004   1.449000000E-001   7.073000000E-004   4.620000000E-004   5.294000000E-004   1.134000000E-005   1.442000000E-005   9.999000000E-009   8.645000000E-014   2.200000000E-017   3.873000000E-018   1.000000000E-020   2.563000000E-020   1.438000000E-011   5.157000000E-013   9.998000000E-013   1.460000000E-004   1.074000000E-003   3.526000000E-007   1.030000000E+000   1.000476642E-012   8.268000000E-002   1.340000000E-001   1.550000000E-002   1.550000000E-001   9.999592555E-013   1.860000000E-002   6.199000000E-002   7.239000000E-002   2.070000000E-003   3.719000000E-002   9.998007665E-013   9.998000000E-013   9.998000000E-013   9.998000000E-013   1.400000000E+000   3.369000000E-001   3.699000000E-001   3.229000000E-001   1.630000000E+000   1.353000000E-005   4.569000001E-009   2.227000000E-005   1.841000000E-006   5.287000000E-006   4.727000000E-011   8.506000000E-011   4.913000000E-007   1.431000000E-011   1.976000000E-008   7.563000000E-011   3.942000000E-006   8.657000001E-010   1.165000000E-009   6.628000000E-006   3.153000000E-011   8.005000000E-005   2.033000000E-008   3.605000000E-014   4.330000000E-014   2.544000000E-009   3.744000000E-009   9.675000000E-015   4.181999999E-013   6.719000000E-013   9.209000000E-011   5.442000000E-008   5.090999159E-015   7.275000000E-014   2.129000000E-011   3.071000000E-010   8.223000000E-013   1.330000000E-007   2.879000000E-011   4.171000000E-006   3.086000000E-012   3.628000012E-012   4.252000000E-007   1.157000000E-006   9.129000000E-009   2.838000000E-004   2.829000000E-005   2.816000000E-007   8.086000000E-007   4.143000000E-011   4.045000000E-007   2.062000000E-005   8.591000000E-009   3.089000000E-009   2.441000000E-011   3.454000000E-015   2.641000000E-017   4.540000000E-018   2.849000000E-019   9.999996666E-021   1.000000333E-020   4.160000000E-019   1.199000000E-014   3.939000000E-006   3.002000000E-007   3.245000000E-009   3.521000000E-004   1.071000000E-007 
  2.998666095E+005   3.167470078E-009   1.000000000E+001   1.000022131E+004   2.213000000E-001   5.000000000E+003   9.998000000E+002   2.128000000E-003   3.566000000E-006   1.879000000E-005   7.425000000E-007   1.376000000E-004   2.172000000E-001   9.797000000E-002   2.446000000E-004   4.051000000E-003   8.218000000E-001   1.376000000E-004   4.438000000E-006   2.743000000E-006   2.939000000E-007   6.680000000E-012   1.680000000E-010   3.980000000E-009   9.998012501E-013   9.998041663E-013   9.998048653E-013   5.935000000E-001   4.787000000E-007   5.157000000E-007   1.770000000E-007   5.481000000E-004   7.069000000E-004   7.742000000E-004   2.159000000E-002   1.689000000E-004   1.449000000E-001   7.073000000E-004   4.620000000E-004   5.294000000E-004   1.134000000E-005   1.442000000E-005   9.999000000E-009   8.645000000E-014   2.200000000E-017   3.873000000E-018   1.000000000E-020   2.563000000E-020   1.438000000E-011   5.157000000E-013   9.998000000E-013   1.460000000E-004   1.074000000E-003   3.526000000E-007   1.030000000E+000   1.000814850E-012   8.268000000E-002   1.340000000E-001   1.550000000E-002   1.550000000E-001   1.000038857E-012   1.860000000E-002   6.199000000E-002   7.239000000E-002   2.070000000E-003   3.719000000E-002   9.998011496E-013   9.998000000E-013   9.998000000E-013   9.998000000E-013   1.400000000E+000   3.369000000E-001   3.699000000E-001   3.229000000E-001   1.630000000E+000   1.353000000E-005   4.569000001E-009   2.227000000E-005   1.841000000E-006   5.287000000E-006   4.727000000E-011   8.506000000E-011   4.913000000E-007   1.431000000E-011   1.976000000E-008   7.563000000E-011   3.942000000E-006   8.657000002E-010   1.165000000E-009   6.628000000E-006   3.153000000E-011   8.005000000E-005   2.033000000E-008   3.605000001E-014   4.330000000E-014   2.544000000E-009   3.744000000E-009   9.675000000E-015   4.181999999E-013   6.719000000E-013   9.209000000E-011   5.442000000E-008   5.090998738E-015   7.275000000E-014   2.129000000E-011   3.071000000E-010   8.223000000E-013   1.330000000E-007   2.879000000E-011   4.171000000E-006   3.086000000E-012   3.628000018E-012   4.252000000E-007   1.157000000E-006   9.129000000E-009   2.838000000E-004   2.829000000E-005   2.816000000E-007   8.086000000E-007   4.143000000E-011   4.045000000E-007   2.062000000E-005   8.591000000E-009   3.089000000E-009   2.441000000E-011   3.454000000E-015   2.641000000E-017   4.540000000E-018   2.849000000E-019   9.999994999E-021   1.000000500E-020   4.160000001E-019   1.199000000E-014   3.939000000E-006   3.002000000E-007   3.244999999E-009   3.521000000E-004   1.071000000E-007 
  4.726667173E+005   4.992745563E-009   1.000000000E+001   1.000022131E+004   2.213000000E-001   5.000000000E+003   9.998000000E+002   2.128000000E-003   3.566000000E-006   1.879000000E-005   7.425000000E-007   1.376000000E-004   2.172000000E-001   9.797000000E-002   2.446000000E-004   4.051000000E-003   8.218000000E-001   1.376000000E-004   4.438000000E-006   2.743000000E-006   2.939000000E-007   6.680000000E-012   1.680000000E-010   3.980000000E-009   9.998019705E-013   9.998065672E-013   9.998076689E-013   5.935000000E-001   4.787000000E-007   5.157000000E-007   1.770000000E-007   5.481000000E-004   7.069000000E-004   7.742000000E-004   2.159000000E-002   1.689000000E-004   1.449000000E-001   7.073000000E-004   4.620000000E-004   5.294000000E-004   1.134000000E-005   1.442000000E-005   9.999000000E-009   8.645000000E-014   2.200000000E-017   3.873000000E-018   1.000000000E-020   2.563000000E-020   1.438000000E-011   5.157000000E-013   9.998000000E-013   1.460000000E-004   1.074000000E-003   3.526000000E-007   1.030000000E+000   1.001399664E-012   8.268000000E-002   1.340000000E-001   1.550000000E-002   1.550000000E-001   1.000176499E-012   1.860000000E-002   6.199000000E-002   7.239000000E-002   2.070000000E-003   3.719000000E-002   9.998018121E-013   9.998000000E-013   9.998000000E-013   9.998000000E-013   1.400000000E+000   3.369000000E-001   3.699000000E-001   3.229000000E-001   1.630000000E+000   1.353000000E-005   4.569000002E-009   2.227000000E-005   1.841000000E-006   5.287000000E-006   4.726999999E-011   8.506000001E-011   4.913000000E-007   1.431000000E-011   1.976000000E-008   7.562999999E-011   3.942000000E-006   8.657000003E-010   1.165000000E-009   6.628000000E-006   3.153000000E-011   8.005000000E-005   2.033000000E-008   3.605000001E-014   4.330000000E-014   2.544000000E-009   3.744000000E-009   9.675000000E-015   4.181999999E-013   6.719000000E-013   9.209000000E-011   5.442000000E-008   5.090998011E-015   7.275000000E-014   2.129000000E-011   3.071000000E-010   8.222999999E-013   1.330000000E-007   2.879000001E-011   4.171000000E-006   3.086000000E-012   3.628000028E-012   4.252000000E-007   1.157000000E-006   9.129000000E-009   2.838000000E-004   2.829000000E-005   2.816000000E-007   8.086000000E-007   4.143000000E-011   4.045000000E-007   2.062000000E-005   8.591000000E-009   3.089000000E-009   2.441000000E-011   3.454000000E-015   2.641000000E-017   4.540000000E-018   2.849000000E-019   9.999992118E-021   1.000000788E-020   4.160000001E-019   1.199000000E-014   3.939000000E-006   3.002000000E-007   3.244999999E-009   3.521000000E-004   1.071000000E-007 
  6.103205819E+005   6.446773731E-009   1.000000000E+001   1.000022131E+004   2.213000000E-001   5.000000000E+003   9.998000000E+002   2.128000000E-003   3.566000000E-006   1.879000000E-005   7.425000000E-007   1.376000000E-004   2.172000000E-001   9.797000000E-002   2.446000000E-004   4.051000000E-003   8.218000000E-001   1.376000000E-004   4.438000000E-006   2.743000000E-006   2.939000000E-007   6.680000000E-012   1.680000000E-010   3.980000000E-009   9.998025443E-013   9.998084797E-013   9.998099023E-013   5.935000000E-001   4.787000000E-007   5.157000000E-007   1.770000000E-007   5.481000000E-004   7.069000000E-004   7.742000000E-004   2.159000000E-002   1.689000000E-004   1.449000000E-001   7.073000000E-004   4.620000000E-004   5.294000000E-004   1.134000000E-005   1.442000000E-005   9.999000000E-009   8.645000000E-014   2.200000000E-017   3.873000000E-018   1.000000000E-020   2.563000000E-020   1.438000000E-011   5.157000000E-013   9.998000000E-013   1.460000000E-004   1.074000000E-003   3.526000000E-007   1.030000000E+000   1.001865531E-012   8.268000000E-002   1.340000000E-001   1.550000000E-002   1.550000000E-001   1.000286147E-012   1.860000000E-002   6.199000000E-002   7.239000000E-002   2.070000000E-003   3.719000000E-002   9.998023399E-013   9.998000000E-013   9.998000000E-013   9.998000000E-013   1.400000000E+000   3.369000000E-001   3.699000000E-001   3.229000000E-001   1.630000000E+000   1.353000000E-005   4.569000003E-009   2.227000000E-005   1.841000000E-006   5.287000000E-006   4.726999999E-011   8.506000001E-011   4.913000000E-007   1.431000000E-011   1.976000000E-008   7.562999999E-011   3.942000000E-006   8.657000004E-010   1.165000000E-009   6.628000000E-006   3.153000000E-011   8.005000000E-005   2.033000000E-008   3.605000001E-014   4.330000000E-014   2.544000000E-009   3.744000000E-009   9.675000000E-015   4.181999998E-013   6.719000000E-013   9.209000000E-011   5.442000000E-008   5.090997431E-015   7.275000000E-014   2.129000000E-011   3.071000000E-010   8.222999999E-013   1.330000000E-007   2.879000001E-011   4.171000000E-006   3.086000000E-012   3.628000036E-012   4.252000000E-007   1.157000000E-006   9.129000000E-009   2.838000000E-004   2.829000000E-005   2.816000000E-007   8.086000000E-007   4.143000000E-011   4.045000000E-007   2.062000000E-005   8.591000000E-009   3.089000000E-009   2.441000000E-011   3.454000000E-015   2.641000000E-017   4.540000000E-018   2.849000000E-019   9.999989822E-021   1.000001017E-020   4.160000001E-019   1.199000000E-014   3.939000000E-006   3.002000000E-007   3.244999999E-009   3.521000000E-004   1.071000000E-007 
  8.335294894E+005   8.804513851E-009   1.000000000E+001   1.000022131E+004   2.213000000E-001   5.000000000E+003   9.998000000E+002   2.128000000E-003   3.566000000E-006   1.879000000E-005   7.425000000E-007   1.376000000E-004   2.172000000E-001   9.797000000E-002   2.446000000E-004   4.051000000E-003   8.218000000E-001   1.376000000E-004   4.438000000E-006   2.743000000E-006   2.939000000E-007   6.680000000E-012   1.680000000E-010   3.980000000E-009   9.998034748E-013   9.998115809E-013   9.998135238E-013   5.935000000E-001   4.787000000E-007   5.157000000E-007   1.770000000E-007   5.481000000E-004   7.069000000E-004   7.742000000E-004   2.159000000E-002   1.689000000E-004   1.449000000E-001   7.073000000E-004   4.620000000E-004   5.294000000E-004   1.134000000E-005   1.442000000E-005   9.999000000E-009   8.645000000E-014   2.200000000E-017   3.873000000E-018   1.000000000E-020   2.563000000E-020   1.438000000E-011   5.157000000E-013   9.998000000E-013   1.460000000E-004   1.074000000E-003   3.526000000E-007   1.030000000E+000   1.002620946E-012   8.268000000E-002   1.340000000E-001   1.550000000E-002   1.550000000E-001   1.000463942E-012   1.860000000E-002   6.199000000E-002   7.239000000E-002   2.070000000E-003   3.719000000E-002   9.998031956E-013   9.998000000E-013   9.998000000E-013   9.998000000E-013   1.400000000E+000   3.369000000E-001   3.699000000E-001   3.229000000E-001   1.630000000E+000   1.353000000E-005   4.569000004E-009   2.227000000E-005   1.841000000E-006   5.287000000E-006   4.726999999E-011   8.506000001E-011   4.913000000E-007   1.431000000E-011   1.976000000E-008   7.562999999E-011   3.942000000E-006   8.657000006E-010   1.165000001E-009   6.628000000E-006   3.153000000E-011   8.005000000E-005   2.033000000E-008   3.605000002E-014   4.330000001E-014   2.544000000E-009   3.744000000E-009   9.675000000E-015   4.181999998E-013   6.719000000E-013   9.209000000E-011   5.442000000E-008   5.090996492E-015   7.275000000E-014   2.129000000E-011   3.071000000E-010   8.222999999E-013   1.330000000E-007   2.879000001E-011   4.171000000E-006   3.086000000E-012   3.628000049E-012   4.252000000E-007   1.157000000E-006   9.129000000E-009   2.838000000E-004   2.829000000E-005   2.816000000E-007   8.086000000E-007   4.143000001E-011   4.045000000E-007   2.062000000E-005   8.591000000E-009   3.089000000E-009   2.441000000E-011   3.454000000E-015   2.641000000E-017   4.540000000E-018   2.849000000E-019   9.999986100E-021   1.000001390E-020   4.160000002E-019   1.199000000E-014   3.939000000E-006   3.002000000E-007   3.244999998E-009   3.521000000E-004   1.071000000E-007 
  1.182039924E+006   1.248580526E-008   1.000000000E+001   1.000022131E+004   2.213000000E-001   5.000000000E+003   9.998000000E+002   2.128000000E-003   3.566000000E-006   1.879000000E-005   7.425000000E-007   1.376000000E-004   2.172000000E-001   9.797000000E-002   2.446000000E-004   4.051000000E-003   8.218000000E-001   1.376000000E-004   4.438000000E-006   2.743000000E-006   2.939000000E-007   6.680000000E-012   1.680000000E-010   3.980000000E-009   9.998049277E-013   9.998164231E-013   9.998191783E-013   5.935000000E-001   4.787000000E-007   5.157000000E-007   1.770000000E-007   5.481000000E-004   7.069000000E-004   7.742000000E-004   2.159000000E-002   1.689000000E-004   1.449000000E-001   7.073000000E-004   4.620000000E-004   5.294000000E-004   1.134000000E-005   1.442000000E-005   9.999000001E-009   8.645000000E-014   2.200000000E-017   3.873000000E-018   1.000000000E-020   2.563000000E-020   1.438000000E-011   5.157000000E-013   9.998000000E-013   1.460000000E-004   1.074000000E-003   3.526000000E-007   1.030000000E+000   1.003800423E-012   8.268000000E-002   1.340000000E-001   1.550000000E-002   1.550000000E-001   1.000741546E-012   1.860000000E-002   6.199000000E-002   7.239000000E-002   2.070000000E-003   3.719000000E-002   9.998045317E-013   9.998000000E-013   9.998000000E-013   9.998000000E-013   1.400000000E+000   3.369000000E-001   3.699000000E-001   3.229000000E-001   1.630000000E+000   1.353000000E-005   4.569000005E-009   2.227000000E-005   1.841000000E-006   5.287000000E-006   4.726999999E-011   8.506000002E-011   4.913000000E-007   1.431000000E-011   1.976000000E-008   7.562999999E-011   3.942000000E-006   8.657000009E-010   1.165000001E-009   6.628000000E-006   3.153000000E-011   8.005000000E-005   2.033000000E-008   3.605000003E-014   4.330000001E-014   2.544000000E-009   3.744000000E-009   9.675000000E-015   4.181999997E-013   6.719000000E-013   9.209000000E-011   5.442000000E-008   5.090995025E-015   7.275000000E-014   2.129000000E-011   3.071000000E-010   8.222999999E-013   1.330000000E-007   2.879000001E-011   4.171000000E-006   3.086000000E-012   3.628000069E-012   4.252000000E-007   1.157000000E-006   9.129000000E-009   2.838000000E-004   2.829000000E-005   2.816000000E-007   8.086000000E-007   4.143000001E-011   4.045000000E-007   2.062000000E-005   8.591000000E-009   3.089000000E-009   2.441000000E-011   3.454000000E-015   2.641000000E-017   4.540000000E-018   2.849000000E-019   9.999980289E-021   1.000001971E-020   4.160000003E-019   1.199000000E-014   3.939000000E-006   3.002000000E-007   3.244999998E-009   3.521000000E-004   1.071000000E-007 
  1.716190191E+006   1.812799727E-008   1.000000000E+001   1.000022131E+004   2.213000000E-001   5.000000000E+003   9.998000000E+002   2.128000000E-003   3.566000000E-006   1.879000000E-005   7.425000000E-007   1.376000000E-004   2.172000000E-001   9.797000000E-002   2.446000000E-004   4.051000000E-003   8.218000000E-001   1.376000000E-004   4.438000000E-006   2.743000000E-006   2.939000000E-007   6.680000000E-012   1.680000000E-010   3.980000000E-009   9.998071545E-013   9.998238445E-013   9.998278448E-013   5.935000000E-001   4.787000000E-007   5.157000000E-007   1.770000001E-007   5.481000000E-004   7.069000000E-004   7.742000000E-004   2.159000000E-002   1.689000000E-004   1.449000000E-001   7.073000000E-004   4.620000000E-004   5.294000000E-004   1.134000000E-005   1.442000000E-005   9.999000001E-009   8.645000000E-014   2.200000000E-017   3.873000000E-018   1.000000001E-020   2.563000000E-020   1.438000000E-011   5.157000000E-013   9.998000000E-013   1.460000000E-004   1.074000000E-003   3.526000000E-007   1.030000000E+000   1.005608168E-012   8.268000000E-002   1.340000000E-001   1.550000000E-002   1.550000000E-001   1.001167020E-012   1.860000000E-002   6.199000000E-002   7.239000000E-002   2.070000000E-003   3.719000000E-002   9.998065796E-013   9.998000000E-013   9.998000000E-013   9.998000000E-013   1.400000000E+000   3.369000000E-001   3.699000000E-001   3.229000000E-001   1.630000000E+000   1.353000000E-005   4.569000007E-009   2.227000000E-005   1.841000000E-006   5.287000000E-006   4.726999998E-011   8.506000002E-011   4.913000000E-007   1.431000000E-011   1.976000000E-008   7.562999998E-011   3.942000000E-006   8.657000013E-010   1.165000001E-009   6.628000000E-006   3.153000000E-011   8.005000000E-005   2.033000000E-008   3.605000004E-014   4.330000001E-014   2.544000000E-009   3.744000000E-009   9.675000000E-015   4.181999995E-013   6.719000000E-013   9.209000000E-011   5.442000000E-008   5.090992777E-015   7.275000000E-014   2.129000000E-011   3.071000000E-010   8.222999998E-013   1.330000000E-007   2.879000002E-011   4.171000000E-006   3.086000000E-012   3.628000101E-012   4.252000000E-007   1.157000000E-006   9.129000000E-009   2.838000000E-004   2.829000000E-005   2.816000000E-007   8.086000000E-007   4.143000001E-011   4.045000000E-007   2.062000000E-005   8.591000000E-009   3.089000000E-009   2.441000000E-011   3.454000000E-015   2.641000000E-017   4.540000000E-018   2.849000000E-019   9.999971381E-021   1.000002861E-020   4.160000004E-019   1.199000000E-014   3.939000000E-006   3.002000000E-007   3.244999997E-009   3.521000000E-004   1.071000000E-007 
  2.607445025E+006   2.754225990E-008   1.000000000E+001   1.000022131E+004   2.213000000E-001   5.000000000E+003   9.998000000E+002   2.128000000E-003   3.566000000E-006   1.879000000E-005   7.425000000E-007   1.376000000E-004   2.172000000E-001   9.797000000E-002   2.446000000E-004   4.051000000E-003   8.218000000E-001   1.376000000E-004   4.438000000E-006   2.743000000E-006   2.939000000E-007   6.680000000E-012   1.680000000E-010   3.980000000E-009   9.998108700E-013   9.998362274E-013   9.998423052E-013   5.935000000E-001   4.787000000E-007   5.157000000E-007   1.770000001E-007   5.481000000E-004   7.069000000E-004   7.742000000E-004   2.159000000E-002   1.689000000E-004   1.449000000E-001   7.073000000E-004   4.620000000E-004   5.294000000E-004   1.134000000E-005   1.442000000E-005   9.999000001E-009   8.645000000E-014   2.200000000E-017   3.873000000E-018   1.000000001E-020   2.563000000E-020   1.438000000E-011   5.157000000E-013   9.998000000E-013   1.460000000E-004   1.074000000E-003   3.526000000E-007   1.030000000E+000   1.008624475E-012   8.268000000E-002   1.340000000E-001   1.550000000E-002   1.550000000E-001   1.001876943E-012   1.860000000E-002   6.199000000E-002   7.239000000E-002   2.070000000E-003   3.719000000E-002   9.998099965E-013   9.998000000E-013   9.998000000E-013   9.998000000E-013   1.400000000E+000   3.369000000E-001   3.699000000E-001   3.229000000E-001   1.630000000E+000   1.353000000E-005   4.569000011E-009   2.227000000E-005   1.841000000E-006   5.287000000E-006   4.726999997E-011   8.506000003E-011   4.913000000E-007   1.431000000E-011   1.976000000E-008   7.562999997E-011   3.942000000E-006   8.657000019E-010   1.165000002E-009   6.628000000E-006   3.153000000E-011   8.005000000E-005   2.033000000E-008   3.605000006E-014   4.330000002E-014   2.544000000E-009   3.744000000E-009   9.675000000E-015   4.181999993E-013   6.719000000E-013   9.209000000E-011   5.442000000E-008   5.090989027E-015   7.275000000E-014   2.129000000E-011   3.071000000E-010   8.222999997E-013   1.330000000E-007   2.879000003E-011   4.171000000E-006   3.086000000E-012   3.628000153E-012   4.252000000E-007   1.157000000E-006   9.129000000E-009   2.838000000E-004   2.829000000E-005   2.816000000E-007   8.086000000E-007   4.143000002E-011   4.045000000E-007   2.062000000E-005   8.591000000E-009   3.089000000E-009   2.441000000E-011   3.454000000E-015   2.641000000E-017   4.540000000E-018   2.849000000E-019   9.999956519E-021   1.000004347E-020   4.160000006E-019   1.199000000E-014   3.939000000E-006   3.002000000E-007   3.244999995E-009   3.521000000E-004   1.071000000E-007 
  3.498699858E+006   3.695652254E-008   1.000000000E+001   1.000022131E+004   2.213000000E-001   5.000000000E+003   9.998000000E+002   2.128000000E-003   3.566000000E-006   1.879000000E-005   7.425000000E-007   1.376000000E-004   2.172000000E-001   9.797000000E-002   2.446000000E-004   4.051000000E-003   8.218000000E-001   1.376000000E-004   4.438000000E-006   2.743000000E-006   2.939000000E-007   6.680000000E-012   1.680000000E-010   3.980000000E-009   9.998145855E-013   9.998486103E-013   9.998567656E-013   5.935000000E-001   4.787000000E-007   5.157000000E-007   1.770000001E-007   5.481000000E-004   7.069000000E-004   7.742000000E-004   2.159000000E-002   1.689000000E-004   1.449000000E-001   7.073000000E-004   4.620000000E-004   5.294000000E-004   1.134000000E-005   1.442000000E-005   9.999000002E-009   8.645000000E-014   2.200000000E-017   3.873000000E-018   1.000000001E-020   2.563000000E-020   1.438000000E-011   5.157000000E-013   9.998000000E-013   1.460000000E-004   1.074000000E-003   3.526000000E-007   1.030000000E+000   1.011640783E-012   8.268000000E-002   1.340000000E-001   1.550000000E-002   1.550000000E-001   1.002586866E-012   1.860000000E-002   6.199000000E-002   7.239000000E-002   2.070000000E-003   3.719000000E-002   9.998134134E-013   9.998000000E-013   9.998000000E-013   9.998000000E-013   1.400000000E+000   3.369000000E-001   3.699000000E-001   3.229000000E-001   1.630000000E+000   1.353000000E-005   4.569000015E-009   2.227000000E-005   1.841000000E-006   5.287000000E-006   4.726999996E-011   8.506000005E-011   4.913000000E-007   1.431000000E-011   1.976000000E-008   7.562999996E-011   3.942000000E-006   8.657000026E-010   1.165000003E-009   6.628000000E-006   3.153000000E-011   8.005000000E-005   2.033000000E-008   3.605000008E-014   4.330000003E-014   2.544000000E-009   3.744000000E-009   9.675000000E-015   4.181999990E-013   6.719000000E-013   9.209000000E-011   5.442000000E-008   5.090985276E-015   7.275000000E-014   2.129000000E-011   3.071000000E-010   8.222999996E-013   1.330000000E-007   2.879000004E-011   4.171000000E-006   3.086000000E-012   3.628000206E-012   4.252000000E-007   1.157000000E-006   9.129000000E-009   2.838000000E-004   2.829000000E-005   2.816000000E-007   8.086000000E-007   4.143000002E-011   4.045000000E-007   2.062000000E-005   8.591000000E-009   3.089000000E-009   2.441000000E-011   3.454000000E-015   2.641000000E-017   4.540000000E-018   2.849000000E-019   9.999941656E-021   1.000005833E-020   4.160000008E-019   1.199000000E-014   3.939000000E-006   3.002000000E-007   3.244999994E-009   3.521000000E-004   1.071000000E-007 
