    V   J   Energy(K)   log(N/g)
    0     0   0.000000E+000   5.233052E+001 
    0     1   1.705020E+002   5.080748E+001 
    0     2   5.098500E+002   3.215485E+001 
    0     3   1.015153E+003   3.172930E+001 
    0     4   1.681678E+003   3.118733E+001 
    0     5   2.503870E+003   2.981450E+001 
    0     6   3.474434E+003   2.857279E+001 
    0     7   4.586377E+003   2.753103E+001 
    0     8   5.829758E+003   2.659855E+001 
    1     0   5.987124E+003   2.340174E+001 
    1     1   6.149208E+003   2.334720E+001 
    1     2   6.471607E+003   2.322903E+001 
    1     3   6.951587E+003   2.317580E+001 
    0     9   7.196995E+003   2.577696E+001 
    1     4   7.584601E+003   2.308160E+001 
    1     5   8.365297E+003   2.307300E+001 
    0    10   8.677322E+003   2.500664E+001 
    1     6   9.286624E+003   2.312073E+001 
    0    11   1.026179E+004   2.432474E+001 
    1     7   1.034152E+004   2.324494E+001 
    1     8   1.152183E+004   2.335246E+001 
    2     0   1.163573E+004   2.212309E+001 
    2     1   1.178951E+004   2.214533E+001 
    0    12   1.194031E+004   2.367089E+001 
    2     2   1.209524E+004   2.201261E+001 
    2     3   1.255050E+004   2.196987E+001 
    1     9   1.281752E+004   2.339602E+001 
    2     4   1.315072E+004   2.183020E+001 
    0    13   1.370318E+004   2.311502E+001 
    2     5   1.389070E+004   2.176401E+001 
    1    10   1.422111E+004   2.331964E+001 
    2     6   1.476414E+004   2.169426E+001 
    0    14   1.554025E+004   2.256242E+001 
    1    11   1.572229E+004   2.313426E+001 
    2     7   1.576338E+004   2.169229E+001 
    2     8   1.688055E+004   2.172508E+001 
    3     0   1.695284E+004   2.122044E+001 
    3     1   1.709837E+004   2.123376E+001 
    1    12   1.731122E+004   2.283838E+001 
    3     2   1.738779E+004   2.110817E+001 
    0    15   1.744391E+004   2.212077E+001 
    3     3   1.781869E+004   2.108973E+001 
    2     9   1.810741E+004   2.179092E+001 
    3     4   1.838652E+004   2.092034E+001 
    1    13   1.897972E+004   2.248676E+001 
    3     5   1.908649E+004   2.085354E+001 
    0    16   1.940345E+004   2.164015E+001 
    2    10   1.943491E+004   2.183530E+001 
    3     6   1.991225E+004   2.075230E+001 
    1    14   2.071785E+004   2.206340E+001 
    2    11   2.085383E+004   2.179085E+001 
    3     7   2.085653E+004   2.069263E+001 
    0    17   2.141168E+004   2.128198E+001 
    3     8   2.191171E+004   2.067087E+001 
    4     0   2.194278E+004   2.043589E+001 
    4     1   2.208004E+004   2.043738E+001 
    4     2   2.235326E+004   2.033246E+001 
    2    12   2.235535E+004   2.172170E+001 
    1    15   2.251712E+004   2.165953E+001 
    4     3   2.275983E+004   2.038750E+001 
    3     9   2.306999E+004   2.068556E+001 
    4     4   2.329564E+004   2.014675E+001 
    0    18   2.345990E+004   2.083250E+001 
    2    13   2.393080E+004   2.146440E+001 
    4     5   2.395581E+004   2.013611E+001 
    3    10   2.432262E+004   2.066177E+001 
    1    16   2.436840E+004   2.119347E+001 
    4     6   2.473404E+004   1.998406E+001 
    0    19   2.553963E+004   2.052719E+001 
    2    14   2.557053E+004   2.124405E+001 
    4     7   2.562381E+004   1.989662E+001 
    3    11   2.565988E+004   2.068012E+001 
    1    17   2.626369E+004   2.080959E+001 
    5     0   2.660677E+004   1.977587E+001 
    4     8   2.661704E+004   1.982637E+001 
    5     1   2.673596E+004   1.975795E+001 
    5     2   2.699289E+004   1.963728E+001 
    3    12   2.707418E+004   2.065055E+001 
    2    15   2.726625E+004   2.080027E+001 
    5     3   2.737523E+004   1.958243E+001 
    0    20   2.764451E+004   2.007200E+001 
    4     9   2.770677E+004   1.980476E+001 
    5     4   2.787879E+004   1.944218E+001 
    1    18   2.819486E+004   2.032271E+001 
    5     5   2.849899E+004   1.939680E+001 
    3    13   2.855661E+004   2.054658E+001 
    4    10   2.888376E+004   1.973400E+001 
    2    16   2.900940E+004   2.050211E+001 
    5     6   2.922954E+004   1.926734E+001 
    0    21   2.976661E+004   1.979522E+001 
    5     7   3.006431E+004   1.914252E+001 
    3    14   3.009785E+004   2.036419E+001 
    4    11   3.013990E+004   1.976912E+001 
    1    19   3.015462E+004   2.002710E+001 
    2    17   3.079235E+004   1.981778E+001 
    6     0   3.094320E+004   1.913489E+001 
    5     8   3.099552E+004   1.910122E+001 
    6     1   3.106412E+004   1.910320E+001 
    6     2   3.130464E+004   1.889726E+001 
    4    12   3.146651E+004   1.970899E+001 
    6     3   3.166233E+004   1.887285E+001 
    3    15   3.169026E+004   2.011419E+001 
    0    22   3.190031E+004   1.928016E+001 
    5     9   3.201575E+004   1.904195E+001 
    6     4   3.213322E+004   1.871073E+001 
    1    20   3.213454E+004   1.940921E+001 
    2    18   3.260639E+004   1.954933E+001 
    6     5   3.271272E+004   1.929816E+001 
    4    13   3.285516E+004   1.961503E+001 
    5    10   3.311646E+004   1.903531E+001 
    3    16   3.332489E+004   1.970102E+001 
    6     6   3.339496E+004   1.856725E+001 
    0    23   3.403759E+004   1.900608E+001 
    1    21   3.412953E+004   1.917016E+001 
    6     7   3.417363E+004   1.855612E+001 
    5    11   3.428978E+004   1.900242E+001 
    4    14   3.429681E+004   1.946261E+001 
    2    19   3.444505E+004   1.807865E+001 
    7     0   3.494622E+004   1.872756E+001 
    3    17   3.499413E+004   1.931115E+001 
    6     8   3.504117E+004   1.854709E+001 
    7     1   3.505878E+004   1.836149E+001 
    7     2   3.528236E+004   1.832736E+001 
    5    12   3.552731E+004   1.900140E+001 
    7     3   3.561473E+004   1.829750E+001 
    4    15   3.578419E+004   1.934050E+001 
    6     9   3.599047E+004   1.854212E+001 
    7     4   3.605189E+004   1.826232E+001 
    1    22   3.613139E+004   1.841294E+001 
    0    24   3.617459E+004   1.837792E+001 
    2    20   3.629979E+004   1.865054E+001 
    7     5   3.658964E+004   1.823229E+001 
    3    18   3.668984E+004   1.885394E+001 
    5    13   3.682003E+004   1.881651E+001 
    6    10   3.701302E+004   1.849443E+001 
    7     6   3.722192E+004   1.819193E+001 
    4    16   3.730808E+004   1.891036E+001 
    7     7   3.794263E+004   1.818166E+001 
    6    11   3.810113E+004   1.849129E+001 
    1    23   3.813447E+004   1.821525E+001 
    5    14   3.815979E+004   1.876791E+001 
    2    21   3.816475E+004   1.843512E+001 
    0    25   3.830484E+004   1.802525E+001 
    3    19   3.840503E+004   1.796139E+001 
    8     0   3.860553E+004   1.805790E+001 
    8     1   3.870915E+004   1.804715E+001 
    7     8   3.874438E+004   1.791046E+001 
    4    17   3.886111E+004   1.875365E+001 
    8     2   3.891514E+004   1.802751E+001 
    8     3   3.922109E+004   1.795619E+001 
