     distance         timeN            Tn      C+(158m)   C+(2324.7A)   C+(2323.5A)   C+(2328.1A)   C+(2326.9A)   C+(2325.4A)    Si+(34.8m)     C(609.8m)     C(370.4m)      C(9850A)      C(9824A)    Si(129.7m)     Si(68.5m)      O(63.2m)     O(145.3m)      O(6300A)      O(6363A)     S+(6731A)     S+(6716A)    N+(205.3m)    N+(121.8m)     N+(6527A)     N+(6548A)     N+(6583A)      N(5200A)      N(5197A)      S(25.2m) 
  1.000000000E+005   3.168879072E-009   1.000000000E+001   6.719538092E-026   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   4.210107478E-048   4.182529411E-022   6.693927931E-023   1.996694346E-034   6.736258393E-035   9.013335420E-035   2.258431484E-043   6.914371941E-028   9.001691073E-033   1.944597954E-042   6.226065280E-043   0.000000000E+000   0.000000000E+000   1.186251205E-031   9.183102796E-037   2.889902814E-049   5.438357511E-046   1.601311576E-045   0.000000000E+000   0.000000000E+000   1.602611504E-042 
  1.446122821E+005   4.582588343E-009   1.000000000E+001   1.271501674E-025   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   7.966557741E-048   7.914373050E-022   1.266655595E-022   3.028113299E-034   1.021596203E-034   1.705544467E-034   4.273507134E-043   1.308369017E-027   1.703341070E-032   3.616963344E-042   1.158051712E-042   0.000000000E+000   0.000000000E+000   2.244678672E-031   1.737668624E-036   4.179154409E-049   7.864532905E-046   2.315693213E-045   0.000000000E+000   0.000000000E+000   3.032534633E-042 
  1.892245642E+005   5.996297614E-009   1.000000000E+001   1.871049552E-025   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.172300843E-047   1.164621669E-021   1.863918398E-022   3.356292057E-034   1.132314046E-034   2.509755391E-034   6.288582480E-043   1.925300840E-027   2.506513033E-032   7.786171865E-042   2.492917069E-042   0.000000000E+000   0.000000000E+000   3.303106140E-031   2.557026969E-036   4.179154409E-049   7.864532905E-046   2.315693213E-045   0.000000000E+000   0.000000000E+000   4.462457763E-042 
  2.338368463E+005   7.410006885E-009   1.000000000E+001   2.470597445E-025   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.547945955E-047   1.537806033E-021   2.461181200E-022   4.293945651E-034   1.448650741E-034   3.313966316E-034   8.303657523E-043   2.542232663E-027   3.309684996E-032   1.182045273E-041   3.784582318E-042   0.000000000E+000   0.000000000E+000   4.361533607E-031   3.376385313E-036   4.179154409E-049   7.864532905E-046   2.315693213E-045   0.000000000E+000   0.000000000E+000   5.892380893E-042 
  2.784491284E+005   8.823716156E-009   1.000000000E+001   3.070145351E-025   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.923591109E-047   1.910990397E-021   3.058444003E-022   6.122370159E-034   2.065507295E-034   4.118177241E-034   1.031873257E-042   3.159164487E-027   4.112856959E-032   1.249036094E-041   3.999068414E-042   0.000000000E+000   0.000000000E+000   5.419961074E-031   4.195743657E-036   4.179154409E-049   7.864532905E-046   2.315693213E-045   0.000000000E+000   0.000000000E+000   7.322304022E-042 
  3.811894392E+005   1.207943236E-008   1.000000000E+001   4.450880379E-025   1.213798697E-066   6.527124075E-067   1.435561770E-066   1.997176382E-066   1.908476763E-038   2.788687117E-047   2.770419140E-021   4.433916475E-022   8.605655920E-034   2.903294740E-034   5.970243005E-034   1.495937045E-042   4.579933931E-027   5.962530036E-032   2.447084550E-041   7.834888504E-042   0.000000000E+000   0.000000000E+000   7.857477422E-031   6.082693324E-036   4.208506166E-049   7.919768447E-046   2.331957189E-045   0.000000000E+000   0.000000000E+000   1.061536010E-041 
  5.439343744E+005   1.723662256E-008   1.000000000E+001   6.638022372E-025   3.136506432E-066   1.686636071E-066   3.709551459E-066   5.160787029E-066   4.931583516E-038   4.159035721E-047   4.131790097E-021   6.612722210E-022   8.605655920E-034   2.903294740E-034   8.903992384E-034   2.231033469E-042   6.830491959E-027   8.892489297E-032   4.344843248E-041   1.391098743E-041   0.000000000E+000   0.000000000E+000   1.171860493E-030   9.071700256E-036   4.255000572E-049   8.007263847E-046   2.357720003E-045   0.000000000E+000   0.000000000E+000   1.583169821E-041 
  9.875017328E+005   3.129273575E-008   1.000000000E+001   1.259915994E-024   3.136506432E-066   1.686636071E-066   3.709551459E-066   5.160787029E-066   4.931583516E-038   7.893974560E-047   7.842257141E-021   1.255113807E-021   2.258989439E-033   7.621164752E-034   1.690003515E-033   4.234566143E-042   1.296447135E-026   1.687820195E-031   4.673016268E-041   1.496170675E-041   0.000000000E+000   0.000000000E+000   2.224225118E-030   1.721834951E-035   4.255000572E-049   8.007263847E-046   2.357720003E-045   0.000000000E+000   0.000000000E+000   3.004902122E-041 
  1.299610865E+006   4.118309671E-008   1.000000000E+001   1.679362060E-024   3.136506432E-066   1.686636071E-066   3.709551459E-066   5.160787029E-066   4.931583516E-038   1.052200753E-046   1.045306839E-020   1.672961014E-021   3.341366059E-033   1.127278454E-033   2.252632373E-033   5.644320111E-042   1.728054860E-026   2.249722192E-031   6.547416604E-041   2.096301866E-041   0.000000000E+000   0.000000000E+000   2.964704783E-030   2.295060995E-035   4.180792686E-048   7.867615894E-045   2.316600992E-044   0.000000000E+000   0.000000000E+000   4.005281492E-041 
  1.907877412E+006   6.045832803E-008   1.000000000E+001   2.496816742E-024   3.136506432E-066   1.686636071E-066   3.709551459E-066   5.160787029E-066   4.931583516E-038   1.564376222E-046   1.554125383E-020   2.487299500E-021   3.533132750E-033   1.191974885E-033   3.349134456E-033   8.391776063E-042   2.569211089E-026   3.344807701E-031   9.750392155E-041   3.121806127E-041   0.000000000E+000   0.000000000E+000   4.407818625E-030   3.412215828E-035   1.149944712E-047   2.164021029E-044   6.371909013E-044   0.000000000E+000   0.000000000E+000   5.954911420E-041 
