     distance         timeN            Tn          Mass     Mass_cons    Moment_kin    Moment_the    Moment_mag    Moment_vis        Moment      Mom_cons    Energy_kin    Energy_the    Energy_int    Energy_mag    Energy_vis        Energy    Energ_gain    Energ_cons 
  1.000000000E+005   1.056293024E-009   1.000000000E+001   7.094535710E-014   0.000000000E+000   2.128360701E-007   8.294441117E-012   9.953818716E-009   0.000000000E+000   2.227981832E-007   0.000000000E+000   3.192541032E-001   6.220830837E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -9.705876173E-018  -2.558998644E-017 
  1.999333047E+005   2.111881551E-009   1.000000000E+001   7.094535710E-014   0.000000000E+000   2.128360701E-007   8.294441117E-012   9.953818716E-009   0.000000000E+000   2.227981832E-007   0.000000000E+000   3.192541032E-001   6.220830837E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -2.910468180E-017   6.962186438E-017 
  2.998666095E+005   3.167470078E-009   1.000000000E+001   7.094535710E-014   0.000000000E+000   2.128360701E-007   8.294441117E-012   9.953818716E-009   0.000000000E+000   2.227981832E-007   0.000000000E+000   3.192541032E-001   6.220830837E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -4.850348743E-017   1.847602612E-017 
  4.726667173E+005   4.992745563E-009   1.000000000E+001   7.094535710E-014   0.000000000E+000   2.128360701E-007   8.294441117E-012   9.953818716E-009   0.000000000E+000   2.227981832E-007   0.000000000E+000   3.192541032E-001   6.220830837E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -8.204701643E-017   7.639466685E-017 
  6.103205819E+005   6.446773731E-009   1.000000000E+001   7.094535710E-014   0.000000000E+000   2.128360701E-007   8.294441117E-012   9.953818716E-009   0.000000000E+000   2.227981832E-007   1.188060837E-016   3.192541032E-001   6.220830837E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -1.087680437E-016   1.523011454E-016 
  8.335294894E+005   8.804513851E-009   1.000000000E+001   7.094535710E-014   0.000000000E+000   2.128360701E-007   8.294441117E-012   9.953818716E-009   0.000000000E+000   2.227981832E-007   1.188060837E-016   3.192541032E-001   6.220830837E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -1.520968041E-016   1.844205761E-016 
  1.182039924E+006   1.248580526E-008   1.000000000E+001   7.094535710E-014   0.000000000E+000   2.128360701E-007   8.294441117E-012   9.953818716E-009   0.000000000E+000   2.227981832E-007   2.376121674E-016   3.192541032E-001   6.220830837E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -2.197487865E-016   2.987684083E-016 
  1.716190191E+006   1.812799727E-008   1.000000000E+001   7.094535710E-014   0.000000000E+000   2.128360701E-007   8.294441117E-012   9.953818716E-009   0.000000000E+000   2.227981832E-007   2.376121674E-016   3.192541032E-001   6.220830837E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -3.234367136E-016   4.644635138E-016 
  2.607445024E+006   2.754225990E-008   1.000000000E+001   7.094535710E-014   0.000000000E+000   2.128360701E-007   8.294441117E-012   9.953818716E-009   0.000000000E+000   2.227981832E-007   4.752243347E-016   3.192541032E-001   6.220830837E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -4.964448947E-016   8.864656660E-016 
  3.498699857E+006   3.695652253E-008   1.000000000E+001   7.094535710E-014   0.000000000E+000   2.128360701E-007   8.294441117E-012   9.953818716E-009   0.000000000E+000   2.227981832E-007   5.940304184E-016   3.192541032E-001   6.220830837E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -6.694530759E-016   1.162110129E-015 
  4.389954690E+006   4.637078516E-008   1.000000000E+001   7.094535710E-014   0.000000000E+000   2.128360701E-007   8.294441117E-012   9.953818716E-009   0.000000000E+000   2.227981832E-007   8.316425858E-016   3.192541032E-001   6.220830837E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -8.424612571E-016   1.437754592E-015 
  5.820379422E+006   6.148026181E-008   1.000000000E+001   7.094535710E-014   0.000000000E+000   2.128360701E-007   8.294441117E-012   9.953818716E-009   0.000000000E+000   2.227981832E-007   1.069254753E-015   3.192541032E-001   6.220830837E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -1.120131764E-015   2.022882802E-015 
  8.302574397E+006   8.769951418E-008   1.000000000E+001   7.094535710E-014   1.779083931E-016   2.128360701E-007   8.294441117E-012   9.953818716E-009   0.000000000E+000   2.227981832E-007   1.544479088E-015   3.192541032E-001   6.220830837E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -1.601969307E-015   2.801503731E-015 
  1.209533138E+007   1.277621416E-007   9.999999999E+000   7.094535710E-014   1.779083931E-016   2.128360701E-007   8.294441116E-012   9.953818716E-009   0.000000000E+000   2.227981832E-007   2.494927757E-015   3.192541032E-001   6.220830837E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -2.338209903E-015   4.226598576E-015 
  1.588808837E+007   1.678247691E-007   9.999999999E+000   7.094535710E-014   1.779083931E-016   2.128360701E-007   8.294441116E-012   9.953818716E-009   0.000000000E+000   2.227981832E-007   2.732539925E-015   3.192541032E-001   6.220830837E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -3.074450500E-015   4.627189594E-015 
  2.309765336E+007   2.439789012E-007   9.999999999E+000   7.094535710E-014   1.779083931E-016   2.128360701E-007   8.294441116E-012   9.953818716E-009   0.000000000E+000   2.227981832E-007   2.970152092E-015   3.192541032E-001   6.220830837E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -4.473953411E-015   5.328066834E-015 
  3.030721835E+007   3.201330332E-007   9.999999998E+000   7.094535710E-014   1.779083931E-016   2.128360701E-007   8.294441116E-012   9.953818716E-009   0.000000000E+000   2.227981832E-007   3.682988594E-015   3.192541032E-001   6.220830836E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -5.873456326E-015   6.468017131E-015 
  4.262774062E+007   4.502738505E-007   9.999999998E+000   7.094535710E-014   3.558167863E-016   2.128360701E-007   8.294441115E-012   9.953818716E-009   0.000000000E+000   2.227981832E-007   4.871049431E-015   3.192541032E-001   6.220830836E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -8.265085630E-015   8.797480742E-015 
  5.494826289E+007   5.804146678E-007   9.999999997E+000   7.094535710E-014   5.337251794E-016   2.128360701E-007   8.294441115E-012   9.953818716E-009   0.000000000E+000   2.227981832E-007   5.702692017E-015   3.192541032E-001   6.220830836E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -1.065671495E-014   1.010244050E-014 
  6.846901538E+007   7.232334331E-007   9.999999996E+000   7.094535710E-014   5.337251794E-016   2.128360701E-007   8.294441114E-012   9.953818716E-009   0.000000000E+000   2.227981832E-007   6.534334603E-015   3.192541032E-001   6.220830835E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -1.328132999E-014   1.152491116E-014 
  9.425217995E+007   9.955792020E-007   9.999999995E+000   7.094535710E-014   7.116335726E-016   2.128360701E-007   8.294441113E-012   9.953818716E-009   0.000000000E+000   2.227981832E-007   7.960007607E-015   3.192541032E-001   6.220830834E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -1.828629420E-014   1.413572454E-014 
  1.200353445E+008   1.267924971E-006   9.999999994E+000   7.094535710E-014   8.895419657E-016   2.128360701E-007   8.294441112E-012   9.953818716E-009   0.000000000E+000   2.227981832E-007   9.742098862E-015   3.192541032E-001   6.220830834E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -2.329125846E-014   1.718561086E-014 
  1.716707257E+008   1.813345900E-006   9.999999991E+000   7.094535710E-014   1.067450359E-015   2.128360701E-007   8.294441110E-012   9.953818716E-009   0.000000000E+000   2.227981832E-007   1.306866921E-014   3.192541032E-001   6.220830832E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -3.331459132E-014   2.310368463E-014 
  2.233061068E+008   2.358766828E-006   9.999999988E+000   7.094535710E-014   1.423267145E-015   2.128360701E-007   8.294441107E-012   9.953818716E-009   0.000000000E+000   2.227981832E-007   1.592001521E-014   3.192541032E-001   6.220830830E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -4.333792437E-014   2.843632714E-014 
  3.059027032E+008   3.231228915E-006   9.999999984E+000   7.094535710E-014  -3.380259470E-015   2.128360701E-007   8.294441104E-012   9.953818716E-009   0.000000000E+000   2.227981832E-007   1.069254753E-014   3.192541032E-001   6.220830827E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -5.937137272E-014   2.407004874E-014 
  4.324808807E+008   4.568265374E-006   9.999999977E+000   7.094535710E-014  -1.494430502E-014   2.128360701E-007   8.294441098E-012   9.953818716E-009   0.000000000E+000   2.227981832E-007  -5.108661598E-015   3.192541032E-001   6.220830823E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -8.394241849E-014   6.560896356E-015 
  6.454488122E+008   6.817830778E-006   9.999999966E+000   7.094535710E-014  -2.793161772E-014   2.128360701E-007   8.294441089E-012   9.953818716E-009   0.000000000E+000   2.227981832E-007  -1.912777947E-014   3.192541032E-001   6.220830816E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -1.252832343E-013  -5.839980604E-015 
  8.704022852E+008   9.193998621E-006   9.999999954E+000   7.094535710E-014  -3.896193810E-014   2.128360701E-007   8.294441079E-012   9.953818716E-009   0.000000000E+000   2.227981832E-007  -2.803823575E-014   3.192541032E-001   6.220830809E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -1.689506579E-013  -1.091015781E-014 
  1.233731343E+009   1.303181812E-005   9.999999935E+000   7.094535710E-014  -6.511447189E-014   2.128360701E-007   8.294441063E-012   9.953818716E-009   0.000000000E+000   2.227981832E-007  -5.916542967E-014   3.192541032E-001   6.220830797E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -2.394792229E-013  -4.128372157E-014 
  1.812617116E+009   1.914654815E-005   9.999999904E+000   7.094535710E-014  -6.155630403E-014   2.128360701E-007   8.294441038E-012   9.953818716E-009   0.000000000E+000   2.227981832E-007  -5.690811408E-014   3.192541032E-001   6.220830778E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -3.518511601E-013  -3.649970703E-014 
  2.444256461E+009   2.581851049E-005   9.999999871E+000   7.094535710E-014  -5.248297598E-014   2.128360701E-007   8.294441010E-012   9.953818716E-009   0.000000000E+000   2.227981832E-007  -4.799765781E-014   3.192541032E-001   6.220830757E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -4.744635239E-013  -2.417463093E-014 
  3.444258825E+009   3.638146570E-005   9.999999818E+000   7.094535710E-014  -5.159343401E-014   2.128360701E-007   8.294440966E-012   9.953818717E-009   0.000000000E+000   2.227981832E-007  -4.300780229E-014   3.192541032E-001   6.220830725E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -6.685817218E-013  -9.673887947E-015 
  5.159600819E+009   5.450050352E-005   9.999999728E+000   7.094535710E-014  -7.134126565E-014   2.128360701E-007   8.294440892E-012   9.953818717E-009   0.000000000E+000   2.227981832E-007  -6.047229660E-014   3.192541032E-001   6.220830668E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -1.001560201E-012  -1.324604418E-014 
  6.682152787E+009   7.058311376E-005   9.999999648E+000   7.094535710E-014  -8.699720425E-014   2.128360701E-007   8.294440825E-012   9.953818717E-009   0.000000000E+000   2.227981832E-007  -7.365977188E-014   3.192541032E-001   6.220830618E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -1.297114878E-012  -1.328113069E-014 
  9.178514074E+009   9.695200388E-005   9.999999516E+000   7.094535710E-014  -1.199102570E-013   2.128360701E-007   8.294440716E-012   9.953818717E-009   0.000000000E+000   2.227981832E-007  -1.039553232E-013   3.192541032E-001   6.220830537E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -1.781703796E-012  -2.273259907E-014 
  1.189455065E+010   1.256413088E-004   9.999999373E+000   7.094535710E-014  -1.387685467E-013   2.128360701E-007   8.294440597E-012   9.953818717E-009   0.000000000E+000   2.227981832E-007  -1.230831027E-013   3.192541032E-001   6.220830448E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -2.308936180E-012  -2.328499427E-014 
  1.631036881E+010   1.722852879E-004   9.999999140E+000   7.094535710E-014  -1.654548056E-013   2.128360701E-007   8.294440404E-012   9.953818717E-009   0.000000000E+000   2.227981832E-007  -1.508837263E-013   3.192541032E-001   6.220830303E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -3.166128408E-012  -2.179249389E-014 
  2.072618696E+010   2.189292671E-004   9.999998908E+000   7.094535710E-014  -1.989015835E-013   2.128360701E-007   8.294440211E-012   9.953818717E-009   0.000000000E+000   2.227981832E-007  -1.856939088E-013   3.192541032E-001   6.220830158E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -4.023322050E-012  -2.615803197E-014 
  2.782460851E+010   2.939093987E-004   9.999998533E+000   7.094535710E-014  -2.608137043E-013   2.128360701E-007   8.294439901E-012   9.953818717E-009   0.000000000E+000   2.227981832E-007  -2.456909811E-013   3.192541033E-001   6.220829925E-005   2.648305691E-004   5.970300466E-002   0.000000000E+000   3.792841468E-001  -5.401262595E-012  -3.461313230E-014 
  4.292844226E+010   4.534501409E-004   9.999997737E+000   7.094535710E-014  -3.812576865E-013   2.128360701E-007   8.294439241E-012   9.953818718E-009   0.000000000E+000   2.227981832E-007  -3.672296047E-013   3.192541033E-001   6.220829430E-005   2.648305691E-004   5.970300467E-002   0.000000000E+000   3.792841468E-001  -8.333220152E-012  -4.960774559E-014 
  5.803227600E+010   6.129908832E-004   9.999996941E+000   7.094535710E-014  -5.057935617E-013   2.128360701E-007   8.294438581E-012   9.953818718E-009   0.000000000E+000   2.227981832E-007  -4.891246465E-013   3.192541033E-001   6.220828935E-005   2.648305691E-004   5.970300467E-002   0.000000000E+000   3.792841468E-001  -1.126519408E-011  -6.215744300E-014 
  7.313610975E+010   7.725316254E-004   9.999996145E+000   7.094535710E-014  -6.434946580E-013   2.128360701E-007   8.294437921E-012   9.953818719E-009   0.000000000E+000   2.227981832E-007  -6.215934298E-013   3.192541033E-001   6.220828440E-005   2.648305691E-004   5.970300467E-002   0.000000000E+000   3.792841468E-001  -1.419718430E-011  -8.265339859E-014 
