     distance         timeN         timeI            nH         op_H2            Vn            Vi            Tn            Ti            Te        Vsound       Vmagnet          rhoN          rhoI        rhoNEG      DensityN      DensityI    DensityNEG           muN           muI         muNEG       -dVn/dz       -dVi/dz        Tgrain       Teff_gr    Nlayers_gr      n(grain)      MDens_gr MDens_gr_char        Rgrain     -DissH2_t     -DissH2_n     -DissH2_i     -DissH2_e       F_gr_H2     E_gr_H2_K         x(H2)          x(H)         x(H+)     sum(neut)     sum(ions)     sum(nega)        grad_V 
  1.000000000E+005   7.041953494E-010   7.043518721E-010   1.000022131E+004   3.000000000E+000   4.500000000E+006   4.499000000E+006   1.000000000E+001   1.000000001E+001   1.000000000E+001   2.417800060E+004   2.078707726E+007   2.364803408E-020   2.392733402E-026   3.898288158E-025   6.007599153E+003   4.785016324E-004   3.522072000E-004   3.936353521E-024   5.000470720E-023   1.106816714E-021   1.749123332E-017   7.126789489E-015   1.500000000E+001   1.024088325E+001   6.949870033E+001   4.631511071E-007   1.914592049E-022   4.564755909E-023   3.259604770E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284644253E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016324E-004   3.522072000E-004   1.749123332E-017 
  1.700992612E+005   1.197831087E-009   1.198097330E-009   1.000022131E+004   3.000000000E+000   4.500000000E+006   4.499000000E+006   1.000000000E+001   1.000000002E+001   1.000000000E+001   2.417800060E+004   2.078707726E+007   2.364803408E-020   2.392733402E-026   3.898288158E-025   6.007599153E+003   4.785016324E-004   3.522072000E-004   3.936353521E-024   5.000470720E-023   1.106816714E-021   1.749123334E-017   7.126789489E-015   1.500000000E+001   1.024088325E+001   6.949870033E+001   4.631511071E-007   1.914592049E-022   4.564755909E-023   3.259604770E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284644253E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016324E-004   3.522072000E-004   1.749123334E-017 
  3.200418002E+005   2.253719473E-009   2.254220411E-009   1.000022131E+004   3.000000000E+000   4.500000000E+006   4.499000000E+006   1.000000000E+001   1.000000005E+001   1.000000000E+001   2.417800060E+004   2.078707726E+007   2.364803408E-020   2.392733402E-026   3.898288158E-025   6.007599153E+003   4.785016324E-004   3.522072000E-004   3.936353521E-024   5.000470720E-023   1.106816714E-021   1.749123338E-017   7.126789490E-015   1.500000000E+001   1.024088325E+001   6.949870033E+001   4.631511071E-007   1.914592049E-022   4.564755909E-023   3.259604770E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284644253E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016324E-004   3.522072000E-004   1.749123338E-017 
  4.699843393E+005   3.309607860E-009   3.310343492E-009   1.000022131E+004   3.000000000E+000   4.500000000E+006   4.499000000E+006   1.000000000E+001   1.000000007E+001   1.000000000E+001   2.417800060E+004   2.078707726E+007   2.364803408E-020   2.392733402E-026   3.898288158E-025   6.007599153E+003   4.785016324E-004   3.522072000E-004   3.936353521E-024   5.000470720E-023   1.106816714E-021   1.749123342E-017   7.126789490E-015   1.500000000E+001   1.024088325E+001   6.949870033E+001   4.631511071E-007   1.914592049E-022   4.564755909E-023   3.259604770E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284644253E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016324E-004   3.522072000E-004   1.749123342E-017 
  7.289894453E+005   5.133509772E-009   5.134650805E-009   1.000022131E+004   3.000000000E+000   4.500000000E+006   4.499000000E+006   1.000000000E+001   1.000000011E+001   9.999999999E+000   2.417800060E+004   2.078707726E+007   2.364803408E-020   2.392733402E-026   3.898288158E-025   6.007599153E+003   4.785016324E-004   3.522072000E-004   3.936353521E-024   5.000470720E-023   1.106816714E-021   1.749123349E-017   7.126789490E-015   1.500000000E+001   1.024088324E+001   6.949870033E+001   4.631511071E-007   1.914592049E-022   4.564755909E-023   3.259604770E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284644253E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016324E-004   3.522072000E-004   1.749123349E-017 
  9.355875458E+005   6.588363987E-009   6.589828394E-009   1.000022131E+004   3.000000000E+000   4.500000000E+006   4.499000000E+006   1.000000000E+001   1.000000014E+001   9.999999999E+000   2.417800060E+004   2.078707726E+007   2.364803408E-020   2.392733402E-026   3.898288158E-025   6.007599153E+003   4.785016324E-004   3.522072000E-004   3.936353521E-024   5.000470720E-023   1.106816714E-021   1.749123355E-017   7.126789490E-015   1.500000000E+001   1.024088324E+001   6.949870033E+001   4.631511071E-007   1.914592049E-022   4.564755909E-023   3.259604770E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284644253E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016324E-004   3.522072000E-004   1.749123355E-017 
  1.271467778E+006   8.953616965E-009   8.955607100E-009   1.000022131E+004   3.000000000E+000   4.500000000E+006   4.499000000E+006   1.000000000E+001   1.000000019E+001   9.999999999E+000   2.417800060E+004   2.078707726E+007   2.364803408E-020   2.392733402E-026   3.898288158E-025   6.007599153E+003   4.785016324E-004   3.522072000E-004   3.936353521E-024   5.000470720E-023   1.106816714E-021   1.749123365E-017   7.126789490E-015   1.500000000E+001   1.024088324E+001   6.949870033E+001   4.631511071E-007   1.914592049E-022   4.564755908E-023   3.259604770E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284644253E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016324E-004   3.522072000E-004   1.749123365E-017 
  1.796782630E+006   1.265285972E-008   1.265567209E-008   1.000022131E+004   3.000000000E+000   4.500000000E+006   4.499000000E+006   1.000000000E+001   1.000000026E+001   9.999999998E+000   2.417800060E+004   2.078707726E+007   2.364803408E-020   2.392733402E-026   3.898288158E-025   6.007599153E+003   4.785016324E-004   3.522072000E-004   3.936353521E-024   5.000470720E-023   1.106816714E-021   1.749123379E-017   7.126789491E-015   1.500000000E+001   1.024088324E+001   6.949870033E+001   4.631511071E-007   1.914592049E-022   4.564755908E-023   3.259604770E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284644253E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016324E-004   3.522072000E-004   1.749123379E-017 
  2.597417888E+006   1.829089597E-008   1.829496152E-008   1.000022131E+004   3.000000000E+000   4.500000000E+006   4.499000000E+006   1.000000000E+001   1.000000038E+001   9.999999998E+000   2.417800060E+004   2.078707726E+007   2.364803408E-020   2.392733402E-026   3.898288158E-025   6.007599153E+003   4.785016324E-004   3.522072000E-004   3.936353521E-024   5.000470720E-023   1.106816714E-021   1.749123402E-017   7.126789491E-015   1.500000000E+001   1.024088324E+001   6.949870033E+001   4.631511071E-007   1.914592049E-022   4.564755908E-023   3.259604770E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284644253E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016324E-004   3.522072000E-004   1.749123402E-017 
  3.943917024E+006   2.777288026E-008   2.777905339E-008   1.000022131E+004   3.000000000E+000   4.500000000E+006   4.499000000E+006   1.000000000E+001   1.000000058E+001   9.999999996E+000   2.417800060E+004   2.078707726E+007   2.364803408E-020   2.392733402E-026   3.898288158E-025   6.007599153E+003   4.785016324E-004   3.522072000E-004   3.936353521E-024   5.000470720E-023   1.106816714E-021   1.749123440E-017   7.126789492E-015   1.500000000E+001   1.024088324E+001   6.949870033E+001   4.631511071E-007   1.914592049E-022   4.564755908E-023   3.259604770E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284644253E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001930033E+003   4.785016324E-004   3.522072000E-004   1.749123440E-017 
