     distance         timeN         timeI            nH         op_H2            Vn            Vi            Tn            Ti            Te        Vsound       Vmagnet          rhoN          rhoI        rhoNEG      DensityN      DensityI    DensityNEG           muN           muI         muNEG       -dVn/dz       -dVi/dz        Tgrain       Teff_gr    Nlayers_gr      n(grain)      MDens_gr MDens_gr_char        Rgrain     -DissH2_t     -DissH2_n     -DissH2_i     -DissH2_e       F_gr_H2     E_gr_H2_K         x(H2)          x(H)         x(H+)     sum(neut)     sum(ions)     sum(nega)        grad_V 
  1.000000000E+005   3.168880661E-009   3.168880661E-009   1.000023134E+004   3.000000000E+000   9.999989975E+005   9.999989975E+005   1.000000860E+001   1.000000860E+001   1.000000860E+001   2.417800903E+004   4.157035127E+005   2.364806199E-020   2.392735271E-026   3.898292066E-025   6.007605266E+003   4.785019999E-004   3.522075531E-004   3.936354161E-024   5.000470785E-023   1.106816714E-021   1.004994555E-005   1.004994555E-005   1.500000000E+001   1.000000860E+001   6.951414792E+001   4.630486488E-007   1.914593968E-022   4.563806785E-023   3.260038781E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284470586E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001936140E+003   4.785019999E-004   3.522075531E-004   1.004994555E-005 
  1.446115875E+005   4.582569656E-009   4.582569656E-009   1.000023583E+004   3.000000000E+000   9.999985487E+005   9.999985487E+005   1.000001245E+001   1.000001245E+001   1.000001245E+001   2.417801369E+004   4.157036060E+005   2.364807260E-020   2.392736345E-026   3.898293815E-025   6.007607962E+003   4.785022147E-004   3.522077112E-004   3.936354161E-024   5.000470785E-023   1.106816714E-021   1.007222700E-005   1.007222700E-005   1.500000000E+001   1.000001245E+001   6.951414792E+001   4.630488567E-007   1.914594828E-022   4.563808833E-023   3.260038781E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284471962E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001938834E+003   4.785022147E-004   3.522077112E-004   1.007222700E-005 
  1.892231750E+005   5.996259286E-009   5.996259286E-009   1.000024033E+004   3.000000000E+000   9.999980988E+005   9.999980988E+005   1.000001632E+001   1.000001632E+001   1.000001632E+001   2.417801837E+004   4.157036995E+005   2.364808324E-020   2.392737422E-026   3.898295569E-025   6.007610665E+003   4.785024299E-004   3.522078696E-004   3.936354161E-024   5.000470785E-023   1.106816714E-021   1.009450844E-005   1.009450844E-005   1.500000000E+001   1.000001632E+001   6.951414792E+001   4.630490650E-007   1.914595689E-022   4.563810886E-023   3.260038781E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284473341E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001941534E+003   4.785024299E-004   3.522078696E-004   1.009450844E-005 
  2.338347626E+005   7.409949553E-009   7.409949553E-009   1.000024483E+004   3.000000000E+000   9.999976480E+005   9.999976480E+005   1.000002020E+001   1.000002020E+001   1.000002020E+001   2.417802306E+004   4.157037932E+005   2.364809390E-020   2.392738500E-026   3.898297326E-025   6.007613373E+003   4.785026456E-004   3.522080284E-004   3.936354161E-024   5.000470785E-023   1.106816714E-021   1.011678984E-005   1.011678984E-005   1.500000000E+001   1.000002020E+001   6.951414792E+001   4.630492737E-007   1.914596552E-022   4.563812944E-023   3.260038781E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284474723E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001944240E+003   4.785026456E-004   3.522080284E-004   1.011678984E-005 
  2.784463501E+005   8.823640459E-009   8.823640459E-009   1.000024935E+004   3.000000000E+000   9.999971962E+005   9.999971962E+005   1.000002410E+001   1.000002410E+001   1.000002410E+001   2.417802777E+004   4.157038871E+005   2.364810458E-020   2.392739581E-026   3.898299088E-025   6.007616088E+003   4.785028618E-004   3.522081875E-004   3.936354161E-024   5.000470785E-023   1.106816714E-021   1.013907122E-005   1.013907122E-005   1.500000000E+001   1.000002410E+001   6.951414792E+001   4.630494830E-007   1.914597417E-022   4.563815006E-023   3.260038781E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284476108E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001946952E+003   4.785028618E-004   3.522081875E-004   1.013907122E-005 
  3.811846755E+005   1.207930458E-008   1.207930458E-008   1.000025980E+004   3.000000000E+000   9.999961519E+005   9.999961519E+005   1.000003311E+001   1.000003311E+001   1.000003311E+001   2.417803866E+004   4.157041042E+005   2.364812928E-020   2.392742080E-026   3.898303159E-025   6.007622361E+003   4.785033615E-004   3.522085553E-004   3.936354161E-024   5.000470785E-023   1.106816714E-021   1.019038405E-005   1.019038405E-005   1.500000000E+001   1.000003311E+001   6.951414792E+001   4.630499665E-007   1.914599417E-022   4.563819772E-023   3.260038781E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284479311E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001953220E+003   4.785033615E-004   3.522085553E-004   1.019038405E-005 
  5.439270462E+005   1.723643765E-008   1.723643765E-008   1.000027645E+004   3.000000000E+000   9.999944868E+005   9.999944868E+005   1.000004752E+001   1.000004752E+001   1.000004752E+001   2.417805609E+004   4.157044502E+005   2.364816866E-020   2.392746064E-026   3.898309650E-025   6.007632364E+003   4.785041583E-004   3.522091418E-004   3.936354161E-024   5.000470785E-023   1.106816714E-021   1.027166571E-005   1.027166571E-005   1.500000000E+001   1.000004752E+001   6.951414792E+001   4.630507375E-007   1.914602605E-022   4.563827371E-023   3.260038781E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284484421E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001963213E+003   4.785041583E-004   3.522091418E-004   1.027166571E-005 
  9.874818706E+005   3.129226351E-008   3.129226351E-008   1.000032250E+004   3.000000000E+000   9.999898817E+005   9.999898817E+005   1.000008766E+001   1.000008766E+001   1.000008766E+001   2.417810461E+004   4.157054075E+005   2.364827756E-020   2.392757083E-026   3.898327602E-025   6.007660031E+003   4.785063619E-004   3.522107638E-004   3.936354161E-024   5.000470785E-023   1.106816714E-021   1.049319727E-005   1.049319727E-005   1.500000000E+001   1.000008766E+001   6.951414792E+001   4.630528700E-007   1.914611422E-022   4.563848388E-023   3.260038781E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284498570E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.001990854E+003   4.785063619E-004   3.522107638E-004   1.049319727E-005 
  1.299586355E+006   4.118259357E-008   4.118259357E-008   1.000035549E+004   3.000000000E+000   9.999865824E+005   9.999865824E+005   1.000011666E+001   1.000011666E+001   1.000011666E+001   2.417813967E+004   4.157060932E+005   2.364835558E-020   2.392764978E-026   3.898340464E-025   6.007679852E+003   4.785079406E-004   3.522119258E-004   3.936354161E-024   5.000470785E-023   1.106816714E-021   1.064907487E-005   1.064907487E-005   1.500000000E+001   1.000011666E+001   6.951414792E+001   4.630543977E-007   1.914617739E-022   4.563863445E-023   3.260038781E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284508720E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.002010656E+003   4.785079406E-004   3.522119258E-004   1.064907487E-005 
  1.907824283E+006   6.045723993E-008   6.045723993E-008   1.000042119E+004   3.000000000E+000   9.999800128E+005   9.999800128E+005   1.000017503E+001   1.000017503E+001   1.000017503E+001   2.417821023E+004   4.157074588E+005   2.364851095E-020   2.392780697E-026   3.898366075E-025   6.007719321E+003   4.785110843E-004   3.522142398E-004   3.936354161E-024   5.000470785E-023   1.106816714E-021   1.095284950E-005   1.095284950E-005   1.500000000E+001   1.000017503E+001   6.951414792E+001   4.630574399E-007   1.914630317E-022   4.563893428E-023   3.260038781E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284528969E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.002050087E+003   4.785110843E-004   3.522142398E-004   1.095284950E-005 
  2.516062211E+006   7.973201469E-008   7.973201469E-008   1.000048874E+004   3.000000000E+000   9.999732585E+005   9.999732585E+005   1.000023590E+001   1.000023590E+001   1.000023590E+001   2.417828381E+004   4.157088627E+005   2.364867068E-020   2.392796860E-026   3.898392407E-025   6.007759900E+003   4.785143164E-004   3.522166188E-004   3.936354161E-024   5.000470785E-023   1.106816714E-021   1.125661873E-005   1.125661873E-005   1.500000000E+001   1.000023590E+001   6.951414792E+001   4.630605676E-007   1.914643250E-022   4.563924254E-023   3.260038781E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284549836E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.002090628E+003   4.785143164E-004   3.522166188E-004   1.125661873E-005 
  3.124300140E+006   9.900692143E-008   9.900692143E-008   1.000055814E+004   3.000000000E+000   9.999663194E+005   9.999663194E+005   1.000029933E+001   1.000029933E+001   1.000029933E+001   2.417836050E+004   4.157103051E+005   2.364883479E-020   2.392813464E-026   3.898419459E-025   6.007801590E+003   4.785176369E-004   3.522190629E-004   3.936354161E-024   5.000470785E-023   1.106816714E-021   1.156038240E-005   1.156038240E-005   1.500000000E+001   1.000029933E+001   6.951414792E+001   4.630637809E-007   1.914656536E-022   4.563955924E-023   3.260038781E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284571327E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.002132279E+003   4.785176369E-004   3.522190629E-004   1.156038240E-005 
  4.082269926E+006   1.293650196E-007   1.293650196E-007   1.000067119E+004   3.000000000E+000   9.999550158E+005   9.999550158E+005   1.000040462E+001   1.000040462E+001   1.000040462E+001   2.417848778E+004   4.157126548E+005   2.364910212E-020   2.392840513E-026   3.898463527E-025   6.007869503E+003   4.785230462E-004   3.522230445E-004   3.936354161E-024   5.000470785E-023   1.106816714E-021   1.203879610E-005   1.203879610E-005   1.500000000E+001   1.000040462E+001   6.951414792E+001   4.630690154E-007   1.914678179E-022   4.564007515E-023   3.260038781E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284606449E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.002200128E+003   4.785230462E-004   3.522230445E-004   1.203879610E-005 
  5.641140906E+006   1.787664567E-007   1.787664567E-007   1.000086495E+004   3.000000000E+000   9.999356421E+005   9.999356421E+005   1.000059073E+001   1.000059073E+001   1.000059073E+001   2.417871276E+004   4.157166820E+005   2.364956032E-020   2.392886874E-026   3.898539060E-025   6.007985905E+003   4.785323175E-004   3.522298688E-004   3.936354161E-024   5.000470785E-023   1.106816714E-021   1.281727034E-005   1.281727034E-005   1.500000000E+001   1.000059073E+001   6.951414792E+001   4.630779874E-007   1.914715276E-022   4.564095941E-023   3.260038781E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284666975E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.002316420E+003   4.785323175E-004   3.522298688E-004   1.281727034E-005 
  8.362689598E+006   2.650161785E-007   2.650161785E-007   1.000123234E+004   3.000000000E+000   9.998989099E+005   9.998989099E+005   1.000096317E+001   1.000096317E+001   1.000096317E+001   2.417916298E+004   4.157243179E+005   2.365042910E-020   2.392974779E-026   3.898682276E-025   6.008206614E+003   4.785498968E-004   3.522428083E-004   3.936354161E-024   5.000470785E-023   1.106816714E-021   1.417626543E-005   1.417626543E-005   1.500000000E+001   1.000096317E+001   6.951414792E+001   4.630949990E-007   1.914785615E-022   4.564263604E-023   3.260038781E-006  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000  -0.000000000E+000   1.284782872E-013   2.150087918E+004   4.999889346E-001   2.212951024E-005   1.352970057E-009   6.002536920E+003   4.785498968E-004   3.522428083E-004   1.417626543E-005 
