     distance         timeN            Tn            nH          N(H)         N(H2)         N(He)          N(C)         N(CH)        N(CH2)        N(CH3)        N(CH4)          N(O)         N(O2)         N(OH)        N(H2O)         N(CO)        N(CO2)         N(C2)        N(C2H)       N(C2H2)         N(C3)        N(C3H)       N(C3H2)      N(CH3OH)       N(H2CO)      N(HCO2H)          N(N)         N(NH)        N(NH2)        N(NH3)         N(CN)        N(HCN)        N(HNC)         N(N2)         N(NO)          N(S)         N(SH)        N(H2S)         N(CS)         N(SO)        N(SO2)        N(OCS)         N(Si)        N(SiH)       N(SiH2)       N(SiH3)       N(SiH4)        N(SiO)       N(SiO2)         N(Mg)         N(Fe)     N(C54H18)          N(G)       N(H2O*)        N(O2*)        N(CO*)       N(CO2*)       N(CH4*)       N(NH3*)        N(N2*)     N(CH3OH*)      N(H2CO*)     N(HCO2H*)       N(OCS*)       N(H2S*)        N(Fe*)      N(SiH4*)       N(SiO*)      N(SiO2*)        N(O**)       N(Si**)       N(Mg**)       N(Fe**)        N(C**)         N(H+)        N(H2+)        N(H3+)        N(He+)         N(C+)        N(CH+)       N(CH2+)       N(CH3+)       N(CH4+)       N(CH5+)         N(O+)        N(O2+)        N(OH+)       N(H2O+)       N(H3O+)        N(CO+)       N(HCO+)      N(HCO2+)        N(C2+)       N(C2H+)      N(C2H2+)      N(C2H3+)        N(C3+)       N(C3H+)      N(C3H2+)      N(C3H3+)         N(N+)        N(NH+)       N(NH2+)       N(NH3+)       N(NH4+)        N(CN+)       N(C2N+)       N(HCN+)      N(H2CN+)      N(H2NC+)        N(N2+)       N(N2H+)        N(NO+)       N(HNO+)         N(S+)        N(SH+)       N(H2S+)       N(H3S+)        N(CS+)       N(HCS+)        N(SO+)       N(HSO+)      N(HSO2+)      N(HOCS+)        N(Si+)       N(SiH+)      N(SiH2+)      N(SiH3+)      N(SiH4+)      N(SiH5+)       N(SiO+)      N(SiOH+)        N(Fe+)    N(C54H18+)         N(G+)    N(C54H18-)         N(G-) 
  1.000000000E+005   3.168880661E-009   1.000000860E+001   1.000023134E+004   2.213001109E+004   5.000002506E+008   9.998005011E+007   2.128001067E+002   3.566001787E-001   1.879000942E+000   7.424003721E-002   1.376000690E+001   2.172001089E+004   9.797004911E+003   2.446001226E+001   4.051002031E+002   8.218004119E+004   1.376000690E+001   4.438002225E-001   2.743001375E-001   2.939001473E-002   6.680003348E-007   1.680000842E-005   3.980001995E-004   9.998011265E-008   9.998025854E-008   9.998029350E-008   5.935002975E+004   4.787002399E-002   5.156002584E-002   1.770000887E-002   5.481002747E+001   7.069003543E+001   7.742003881E+001   2.158001082E+003   1.689000847E+001   1.449000726E+004   7.072003545E+001   4.620002316E+001   5.294002654E+001   1.134000568E+000   1.442000723E+000   9.998005012E-004   8.645004333E-009   2.200001103E-012   3.873001941E-013   1.000000501E-015   2.564001285E-015   1.438000721E-006   5.157002585E-008   9.998005011E-008   1.460000732E+001   1.074000538E+002   3.529001769E-002   1.030000516E+005   1.000305119E-007   8.268004144E+003   1.340000672E+004   1.550000777E+003   1.550000777E+004   9.999192980E-008   1.860000932E+003   6.199003107E+003   7.239003629E+003   2.070001038E+002   3.719001864E+003   9.998010704E-008   9.998005011E-008   9.998005011E-008   9.998005011E-008   1.400000702E+005   3.369001689E+004   3.699001854E+004   3.229001619E+004   1.630000817E+005   1.353000678E+000   4.569002291E-004   2.227001116E+000   1.841000923E-001   5.287002650E-001   4.726002369E-006   8.506004264E-006   4.913002463E-002   1.431000717E-006   1.976000990E-003   7.563003791E-006   3.942001976E-001   8.656004340E-005   1.165000584E-004   6.628003322E-001   3.153001580E-006   8.005004012E+000   2.033001019E-003   3.605001807E-009   4.330002171E-009   2.544001275E-004   3.744001877E-004   9.674004849E-010   4.182002096E-008   6.719003368E-008   9.208004616E-006   5.441002727E-003   5.089001919E-010   7.273003646E-009   2.129001067E-006   3.070001539E-005   8.223004122E-008   1.330000667E-002   2.879001443E-006   4.171002091E-001   3.086001547E-007   3.627001827E-007   4.251002131E-002   1.157000580E-001   9.128004575E-004   2.838001423E+001   2.829001418E+000   2.816001412E-002   8.086004053E-002   4.143002077E-006   4.045002028E-002   2.062001034E+000   8.591004306E-004   3.088001548E-004   2.441001224E-006   3.454001731E-010   2.641001324E-012   4.540002276E-013   2.849001428E-014   1.000000251E-015   1.000000751E-015   4.159002085E-014   1.199000601E-009   3.939001974E-001   3.002001505E-002   3.248001628E-004   3.521001765E+001   1.072000537E-002 
  1.446115875E+005   4.582569656E-009   1.000001245E+001   1.000023583E+004   3.200256752E+004   7.230584619E+008   1.445827700E+008   3.077336814E+002   5.156852950E-001   2.717253700E+000   1.073597204E-001   1.989856887E+001   3.140965958E+004   1.416760750E+004   3.537201996E+001   5.858219658E+002   1.188418888E+005   1.989856887E+001   6.417866908E-001   3.966698722E-001   4.250137639E-002   9.660061051E-007   2.429476432E-005   5.755545357E-004   1.445829008E-007   1.445832059E-007   1.445832790E-007   8.582703943E+004   6.922561714E-002   7.456178859E-002   2.559626955E-002   7.926166859E+001   1.022260053E+002   1.119583722E+002   3.120720322E+003   2.442491484E+001   2.095423423E+004   1.022693888E+002   6.681060188E+001   7.655742994E+001   1.639896592E+000   2.085300604E+000   1.445827700E-003   1.250168081E-008   3.181457232E-012   5.600810846E-013   1.446116924E-015   3.707843793E-015   2.079516136E-006   7.457624976E-008   1.445827700E-007   2.111330709E+001   1.553129576E+002   5.103346624E-002   1.489500431E+005   1.446882984E-007   1.195649473E+004   1.937796678E+004   2.241481232E+003   2.241481232E+004   1.446076135E-007   2.689777478E+003   8.964478810E+003   1.046844041E+004   2.993462032E+002   5.378108840E+003   1.445828891E-007   1.445827700E-007   1.445827700E-007   1.445827700E-007   2.024563693E+005   4.871967916E+004   5.349186501E+004   4.669511547E+004   2.357170586E+005   1.956596198E+000   6.607308226E-004   3.220502389E+000   2.662301257E-001   7.645620176E-001   6.834348582E-006   1.230067055E-005   7.104772447E-002   2.069393318E-006   2.857527041E-003   1.093698229E-005   5.700592914E-001   1.251758810E-004   1.684726216E-004   9.584862971E-001   4.559606661E-006   1.157616597E+001   2.939955706E-003   5.213251511E-009   6.261686280E-009   3.678921454E-004   5.414261763E-004   1.398973512E-009   6.047660974E-008   9.716459611E-008   1.331584463E-005   7.868322182E-003   7.359287704E-010   1.051760839E-008   3.078782931E-006   4.439578956E-005   1.189141946E-007   1.923335509E-002   4.163370624E-006   6.031753689E-001   4.462716827E-007   5.245066101E-007   6.147443043E-002   1.673157281E-001   1.320015528E-003   4.104079830E+001   4.091064777E+000   4.072265257E-002   1.169330145E-001   5.991262415E-006   5.849542957E-002   2.981893097E+000   1.242359049E-003   4.465609061E-004   3.529971411E-006   4.994887855E-010   3.819194796E-012   6.565370834E-013   4.119987116E-014   1.446116401E-015   1.446117447E-015   6.014400287E-014   1.733894192E-009   5.696254563E-001   4.341243005E-002   4.696987768E-004   5.091777689E+001   1.550237342E-002 
  1.892231750E+005   5.996259286E-009   1.000001632E+001   1.000024033E+004   4.187512839E+004   9.461167734E+008   1.891855100E+008   4.026672988E+002   6.747704828E-001   3.555506834E+000   1.404794185E-001   2.603713360E+001   4.109931264E+004   1.853821206E+004   4.628403255E+001   7.665438098E+002   1.555037529E+005   2.603713360E+001   8.397732481E-001   5.190396619E-001   5.561274394E-002   1.264012009E-006   3.178952359E-005   7.531089516E-004   1.891857339E-007   1.891862563E-007   1.891863815E-007   1.123040610E+005   9.058121988E-002   9.756356167E-002   3.349253378E-002   1.037133207E+002   1.337619894E+002   1.464967212E+002   4.083439994E+003   3.195982460E+001   2.741846409E+004   1.338187564E+002   8.742118986E+001   1.001748440E+002   2.145792842E+000   2.728600774E+000   1.891855100E-003   1.635835901E-008   4.162913803E-012   7.328620527E-013   1.892233547E-015   4.851686814E-015   2.721031840E-006   9.758248401E-008   1.891855100E-007   2.762660978E+001   2.032258829E+002   6.677692187E-002   1.949000553E+005   1.893661907E-007   1.564498696E+004   2.535592953E+004   2.932961997E+003   2.932961997E+004   1.892280457E-007   3.519554397E+003   1.172995576E+004   1.369787864E+004   3.916923442E+002   7.037216560E+003   1.891857138E-007   1.891855100E-007   1.891855100E-007   1.891855100E-007   2.649126965E+005   6.374934819E+004   6.999371889E+004   6.110022122E+004   3.084340681E+005   2.560191989E+000   8.645615077E-004   4.214004109E+000   3.483601960E-001   1.000423876E+000   8.942695742E-006   1.609533855E-005   9.296543415E-002   2.707786205E-006   3.739053488E-003   1.431096231E-005   7.459184641E-001   1.637917359E-004   2.204452082E-004   1.254172395E+000   5.966212373E-006   1.514732954E+001   3.846910801E-003   6.821501937E-009   8.193371258E-009   4.813842143E-004   7.084522399E-004   1.830546733E-009   7.913320691E-008   1.271391720E-007   1.742368650E-005   1.029564273E-002   9.629574258E-010   1.376221459E-008   4.028565221E-006   5.809156989E-005   1.555983645E-007   2.516670617E-002   5.447740382E-006   7.892506124E-001   5.839432725E-007   6.863131106E-007   8.043884807E-002   2.189314214E-001   1.727230781E-003   5.370158806E+001   5.353128704E+000   5.328529668E-002   1.530060046E-001   7.839523585E-006   7.654084697E-002   3.901785573E+000   1.625617840E-003   5.843217192E-004   4.618942088E-006   6.535774671E-010   4.997388797E-012   8.590740302E-013   5.390973375E-014   1.892232651E-015   1.892234442E-015   7.869799323E-014   2.268788023E-009   7.453507941E-001   5.680485107E-002   6.145974559E-004   6.662554318E+001   2.028474362E-002 
  2.338347626E+005   7.409949553E-009   1.000002020E+001   1.000024483E+004   5.174769370E+004   1.169175185E+009   2.337882701E+008   4.976009589E+002   8.338557422E-001   4.393760346E+000   1.735991315E-001   3.217570110E+001   5.078897005E+004   2.290881858E+004   5.719605007E+001   9.472657351E+002   1.921656335E+005   3.217570110E+001   1.037759894E+000   6.414095067E-001   6.872411739E-002   1.562018048E-006   3.928428623E-005   9.306634475E-004   2.337886120E-007   2.337894097E-007   2.337896009E-007   1.387810945E+005   1.119368322E-001   1.205653451E-001   4.138880156E-002   1.281649838E+002   1.652979877E+002   1.810350857E+002   5.046160100E+003   3.949473776E+001   3.388269687E+004   1.653681382E+002   1.080317871E+002   1.237922686E+002   2.651689320E+000   3.371901234E+000   2.337882701E-003   2.021503895E-008   5.144370815E-012   9.056430986E-013   2.338350371E-015   5.995530350E-015   3.362547833E-006   1.205887286E-007   2.337882701E-007   3.413991541E+001   2.511388298E+002   8.252038458E-002   2.408500882E+005   2.340641890E-007   1.933348086E+004   3.133389497E+004   3.624443074E+003   3.624443074E+004   2.338532267E-007   4.349331689E+003   1.449543395E+004   1.692731833E+004   4.840385267E+002   8.696325028E+003   2.337885813E-007   2.337882701E-007   2.337882701E-007   2.337882701E-007   3.273690519E+005   7.877902399E+004   8.649558021E+004   7.550533347E+004   3.811511104E+005   3.163788051E+000   1.068392285E-003   5.207506275E+000   4.304903032E-001   1.236285841E+000   1.105104385E-005   1.989000825E-005   1.148831537E-001   3.346179380E-006   4.620580332E-003   1.768494385E-005   9.217777161E-001   2.024076082E-004   2.724178182E-004   1.549858626E+000   7.372818719E-006   1.871849472E+001   4.753866304E-003   8.429753088E-009   1.012505711E-008   5.948763343E-004   8.754783788E-004   2.262120149E-009   9.778981248E-008   1.571137614E-007   2.153153021E-005   1.272296437E-002   1.189986158E-009   1.700682225E-008   4.978347939E-006   7.178735638E-005   1.922825510E-007   3.110005993E-002   6.732110718E-006   9.753259396E-001   7.216149244E-007   8.481196842E-007   9.940327426E-002   2.705471379E-001   2.134446218E-003   6.636238352E+001   6.615193199E+000   6.584794644E-002   1.890790110E-001   9.687785586E-006   9.458627249E-002   4.821678464E+000   2.008876803E-003   7.220825945E-004   5.707913255E-006   8.076662180E-010   6.175583329E-012   1.061611068E-012   6.661960206E-014   2.338349003E-015   2.338351738E-015   9.725199194E-014   2.803682094E-009   9.210762110E-001   7.019727813E-002   7.594962002E-004   8.233331655E+001   2.506711597E-002 
  2.784463501E+005   8.823640459E-009   1.000002410E+001   1.000024935E+004   6.162026347E+004   1.392233698E+009   2.783910502E+008   5.925346618E+002   9.929410734E-001   5.232014237E+000   2.067188595E-001   3.831427137E+001   6.047863184E+004   2.727942708E+004   6.810807250E+001   1.127987742E+003   2.288275306E+005   3.831427137E+001   1.235746630E+000   7.637794067E-001   8.183549676E-002   1.860024220E-006   4.677905225E-005   1.108218024E-003   2.783915351E-007   2.783926662E-007   2.783929373E-007   1.652581399E+005   1.332924542E-001   1.435671389E-001   4.928507291E-002   1.526166580E+002   1.968340002E+002   2.155734658E+002   6.008880640E+003   4.702965432E+001   4.034693257E+004   1.969175342E+002   1.286423937E+002   1.474097039E+002   3.157586027E+000   4.015201985E+000   2.783910502E-003   2.407172064E-008   6.125828271E-012   1.078424222E-012   2.784467396E-015   7.139374403E-015   4.004064115E-006   1.435949836E-007   2.783910502E-007   4.065322398E+001   2.990517983E+002   9.826385440E-002   2.868001418E+005   2.787822933E-007   2.302197643E+004   3.731186310E+004   4.315924464E+003   4.315924464E+004   2.784831565E-007   5.179109356E+003   1.726091339E+004   2.015675948E+004   5.763847509E+002   1.035543425E+004   2.783914916E-007   2.783910502E-007   2.783910502E-007   2.783910502E-007   3.898254354E+005   9.380870657E+004   1.029974490E+005   8.991045221E+004   4.538681855E+005   3.767384387E+000   1.272223154E-003   6.201008891E+000   5.126204476E-001   1.472147912E+000   1.315939291E-005   2.368467967E-005   1.368008832E-001   3.984572843E-006   5.502107574E-003   2.105892691E-005   1.097637047E+000   2.410234979E-004   3.243904517E-004   1.845544990E+000   8.779425699E-006   2.228966150E+001   5.660822216E-003   1.003800496E-008   1.205674383E-008   7.083685055E-004   1.042504593E-003   2.693693759E-009   1.164464265E-007   1.870883643E-007   2.563937578E-005   1.515028710E-002   1.417014968E-009   2.025143137E-008   5.928131086E-006   8.548314905E-005   2.289667539E-007   3.703341637E-002   8.016481634E-006   1.161401351E+000   8.592866384E-007   1.009926331E-006   1.183677090E-001   3.221628777E-001   2.541661839E-003   7.902318469E+001   7.877258263E+000   7.841060187E-002   2.251520336E-001   1.153604842E-005   1.126317062E-001   5.741571770E+000   2.392135940E-003   8.598435318E-004   6.796884913E-006   9.617550385E-010   7.353778393E-012   1.264148198E-012   7.932947611E-014   2.784465457E-015   2.784469334E-015   1.158059990E-013   3.338576408E-009   1.096801707E+000   8.358971122E-002   9.043950100E-004   9.804109701E+001   2.984949048E-002 
  3.811846755E+005   1.207930458E-008   1.000003311E+001   1.000025980E+004   8.435633050E+004   1.905927033E+009   3.811091696E+008   8.111625454E+002   1.359307160E+000   7.162473792E+000   2.829920459E-001   5.245111196E+001   8.279347033E+004   3.734473429E+004   9.323795047E+001   1.544182082E+003   3.132581672E+005   5.245111196E+001   1.691700835E+000   1.045591571E+000   1.120303910E-001   2.546318517E-006   6.403914832E-005   1.517117919E-003   3.811100783E-007   3.811121980E-007   3.811127061E-007   2.262335389E+005   1.824734542E-001   1.965391957E-001   6.746981699E-002   2.089277214E+002   2.694599640E+002   2.951137419E+002   8.225981076E+003   6.438221519E+001   5.523376543E+004   2.695743196E+002   1.761076579E+002   2.017995543E+002   4.322642512E+000   5.496693564E+000   3.811091696E-003   3.295347841E-008   8.386078947E-012   1.476331080E-012   3.811854068E-015   9.773593827E-015   5.481446148E-006   1.965773142E-007   3.811091696E-007   5.565306938E+001   4.093931268E+002   1.345203300E-001   3.926209689E+005   3.818423910E-007   3.151640942E+004   5.107884450E+004   5.908373804E+003   5.908373804E+004   3.812817841E-007   7.090048564E+003   2.362968336E+004   2.759401159E+004   7.890537918E+002   1.417628527E+004   3.811099967E-007   3.811091696E-007   3.811091696E-007   3.811091696E-007   5.336595694E+005   1.284213635E+005   1.410004819E+005   1.230847678E+005   6.213322129E+005   5.157438552E+000   1.741636124E-003   8.488999007E+000   7.017623337E-001   2.015327245E+000   1.801482232E-005   3.242363069E-005   1.872763903E-001   5.454763170E-006   7.532223636E-003   2.882905230E-005   1.502632873E+000   3.299540882E-004   4.440809989E-004   2.526496875E+000   1.201877587E-005   3.051389180E+001   7.749499318E-003   1.374173392E-008   1.650532811E-008   9.697356746E-004   1.427158163E-003   3.687587624E-009   1.594117370E-007   2.561184747E-007   3.509955225E-005   2.074029798E-002   1.939851617E-009   2.772361463E-008   8.115437308E-006   1.170239199E-004   3.134487599E-007   5.069765909E-002   1.097432786E-005   1.589924331E+000   1.176338165E-006   1.382559483E-006   1.620419164E-001   4.410315155E-001   3.479460392E-003   1.081804184E+002   1.078373515E+001   1.073418105E-001   3.082265198E-001   1.579251140E-005   1.541894970E-001   7.860043086E+000   3.274763829E-003   1.177100536E-003   9.304735777E-006   1.316614395E-009   1.006710659E-011   1.730581746E-012   1.085997224E-013   3.811850433E-015   3.811857699E-015   1.585350107E-013   4.570413026E-009   1.501489317E+000   1.144318591E-001   1.238090200E-003   1.342153817E+002   4.086307559E-002 
  5.439270462E+005   1.723643765E-008   1.000004752E+001   1.000027645E+004   1.203713857E+005   2.719642696E+009   5.438197534E+008   1.157479931E+003   1.939649171E+000   1.022041725E+001   4.038125474E-001   7.484456698E+001   1.181412787E+005   5.328867898E+004   1.330449207E+002   2.203454512E+003   4.470004735E+005   7.484456698E+001   2.413954857E+000   1.491995983E+000   1.598605976E-001   3.633442641E-006   9.137999457E-005   2.164835586E-003   5.438216036E-007   5.438259197E-007   5.438269542E-007   3.228215880E+005   2.603785917E-001   2.804495548E-001   9.627535144E-002   2.981272323E+002   3.845030843E+002   4.211094750E+002   1.173797787E+004   9.186953026E+001   7.881524532E+004   3.846662629E+002   2.512949851E+002   2.879557686E+002   6.168149634E+000   7.843449534E+000   5.438197534E-003   4.702262221E-008   1.196642786E-011   2.106635232E-012   5.439285393E-015   1.394632774E-014   7.821692393E-006   2.805039476E-007   5.438197534E-007   7.941356671E+001   5.841792510E+002   1.919523815E-001   5.602463953E+005   5.453127082E-007   4.497201161E+004   7.288642424E+004   8.430892356E+003   8.430892356E+004   5.441712239E-007   1.011707083E+004   3.371813014E+004   3.937498695E+004   1.125932076E+003   2.022870237E+004   5.438214375E-007   5.438197534E-007   5.438197534E-007   5.438197534E-007   7.614999548E+005   1.832495248E+005   2.011991666E+005   1.756345253E+005   8.866035188E+005   7.359353134E+000   2.485209497E-003   1.211328857E+001   1.001372441E+000   2.875750186E+000   2.570606276E-005   4.626656153E-005   2.672320913E-001   7.783617395E-006   1.074802793E-002   4.113731541E-005   2.144166301E+000   4.708245439E-004   6.336767483E-004   3.605158357E+000   1.715006684E-005   4.354147956E+001   1.105806720E-002   1.960862385E-008   2.355210575E-008   1.383754204E-003   2.036468450E-003   5.261964688E-009   2.274709149E-007   3.654655854E-007   5.008493988E-005   2.959515181E-002   2.768050467E-009   3.955992265E-008   1.158023860E-005   1.669860615E-004   4.472724377E-007   7.234249570E-002   1.565970265E-005   2.268725937E+000   1.678563472E-006   1.972828837E-006   2.312240220E-001   6.293253198E-001   4.964979705E-003   1.543669194E+002   1.538773837E+001   1.531702766E-001   4.398206167E-001   2.253495938E-005   2.200190941E-001   1.121580648E+001   4.672890080E-003   1.679651329E-003   1.327729564E-005   1.878729174E-009   1.436515272E-011   2.469435568E-012   1.549652408E-013   5.439277993E-015   5.439292787E-015   2.262198796E-013   6.521703184E-009   2.142534516E+000   1.632873474E-001   1.766679894E-003   1.915172386E+002   5.830913939E-002 
  9.874818706E+005   3.129226351E-008   1.000008766E+001   1.000032250E+004   2.185308355E+005   4.937434151E+009   9.872893329E+008   2.101371975E+003   3.521378037E+000   1.855487754E+001   7.331102228E-001   1.358781878E+002   2.144821395E+005   9.674408476E+004   2.415392787E+002   4.000309149E+003   8.115166771E+005   1.358781878E+002   4.382466553E+000   2.708676375E+000   2.902223794E-001   6.596412026E-006   1.658977875E-004   3.930197584E-003   9.872954310E-007   9.873096567E-007   9.873130664E-007   5.860734338E+005   4.727099456E-001   5.091482097E-001   1.747851690E-001   5.412415317E+002   6.980544403E+002   7.645123040E+002   2.130996580E+004   1.667865256E+002   1.430868417E+005   6.983506864E+002   4.562189156E+002   5.227755279E+002   1.119810066E+001   1.423956009E+001   9.872893330E-003   8.536823648E-008   2.172471027E-011   3.824536494E-012   9.874868308E-015   2.531916233E-014   1.420006062E-005   5.092469584E-007   9.872893329E-007   1.441730772E+002   1.060560856E+003   3.484841024E-001   1.017111435E+006   9.922100311E-007   8.164541113E+004   1.323232353E+005   1.530604587E+004   1.530604587E+005   9.884477608E-007   1.836725504E+004   6.121430861E+004   7.148417164E+004   2.044097739E+003   3.672463522E+004   9.872948837E-007   9.872893329E-007   9.872893329E-007   9.872893329E-007   1.382481562E+006   3.326843131E+005   3.652713785E+005   3.188594975E+005   1.609603533E+006   1.336069681E+001   4.511827334E-003   2.199133171E+001   1.817963254E+000   5.220842872E+000   4.666862761E-005   8.399562977E-005   4.851522797E-001   1.413093654E-005   1.951273977E-002   7.468362895E-005   3.892673085E+000   8.547686016E-004   1.150422158E-003   6.545062711E+000   3.113545976E-005   7.904832076E+001   2.007560726E-002   3.559890026E-008   4.275817976E-008   2.512166496E-003   3.697150692E-003   9.552947597E-009   4.129669920E-007   6.634924013E-007   9.092778733E-005   5.372915843E-002   5.025314321E-009   7.181991717E-008   2.102359462E-005   3.031584569E-004   8.120104203E-007   1.313357484E-001   2.842974586E-005   4.118807569E+000   3.047384358E-006   3.581614819E-006   4.197806515E-001   1.142522263E+000   9.013779787E-003   2.802487624E+002   2.793600243E+001   2.780762914E-001   7.984818509E-001   4.091157939E-005   3.994384228E-001   2.036197844E+001   8.483499359E-003   3.049359332E-003   2.410455353E-005   3.410779512E-009   2.607952719E-011   4.483190209E-012   2.813349979E-013   9.874843919E-015   9.874892680E-015   4.106957731E-013   1.183996709E-008   3.889710624E+000   2.964435464E-001   3.207357222E-003   3.476941129E+002   1.058585882E-001 
  1.299586355E+006   4.118259357E-008   1.000011666E+001   1.000035549E+004   2.876003706E+005   6.497974936E+009   1.299335068E+009   2.765538133E+003   4.634355724E+000   2.441938981E+001   9.648193184E-001   1.788242702E+002   2.822720312E+005   1.273213209E+005   3.178809338E+002   5.264659293E+003   1.068007160E+006   1.788242702E+002   5.767602553E+000   3.564789050E+000   3.819509667E-001   8.681294514E-006   2.183319578E-004   5.172388049E-003   1.299345630E-006   1.299370269E-006   1.299376175E-006   7.713096248E+005   6.221161203E-001   6.700711753E-001   2.300283128E-001   7.123080124E+002   9.186836964E+002   1.006146439E+003   2.804525982E+004   2.195015933E+002   1.883113136E+005   9.190735749E+002   6.004128840E+002   6.880055862E+002   1.473740715E+001   1.874015971E+001   1.299335068E-002   1.123499866E-007   2.859108972E-011   5.033331385E-012   1.299594988E-014   3.332161547E-014   1.868817591E-005   6.702011348E-007   1.299335068E-006   1.897408681E+002   1.395765016E+003   4.586270710E-001   1.338582837E+006   1.307857837E-006   1.074505135E+005   1.741457283E+005   2.014372230E+004   2.014372230E+005   1.301341493E-006   2.417246676E+004   8.056189325E+004   9.407768112E+004   2.690161623E+003   4.833193757E+004   1.299344682E-006   1.299335068E-006   1.299335068E-006   1.299335068E-006   1.819432982E+006   4.378335512E+005   4.807201857E+005   4.196392213E+005   2.118339829E+006   1.758352018E+001   5.937849507E-003   2.894198036E+001   2.392554371E+000   6.870958697E+000   6.141885911E-005   1.105435496E-004   6.384910172E-001   1.859720427E-005   2.567999695E-002   9.828836884E-005   5.123003439E+000   1.124929423E-003   1.514028161E-003   8.613715574E+000   4.097622994E-005   1.040325787E+002   2.642076609E-002   4.685039934E-008   5.627246296E-008   3.306169647E-003   4.865683632E-003   1.257228191E-008   5.434906229E-007   8.731978718E-007   1.196667064E-004   7.071096325E-002   6.613628223E-009   9.451954342E-008   2.766837728E-005   3.989756610E-004   1.068656958E-006   1.728461333E-001   3.741533971E-005   5.420610691E+000   4.010550130E-006   4.713631167E-006   5.524578290E-001   1.503631400E+000   1.186270304E-002   3.688250573E+002   3.676554218E+001   3.659659484E-001   1.050852507E+000   5.384222033E-005   5.256861723E-001   2.679764863E+001   1.116482053E-002   4.013149320E-003   3.172311363E-005   4.488801085E-009   3.432230361E-011   5.900161241E-012   3.702546118E-013   1.299590764E-014   1.299599209E-014   5.405015559E-013   1.558214390E-008   5.119104654E+000   3.901384151E-001   4.221084513E-003   4.575873950E+002   1.393165826E-001 
  1.907824283E+006   6.045723993E-008   1.000017503E+001   1.000042119E+004   4.222056724E+005   9.539215373E+009   1.907461506E+009   4.059890063E+003   6.803368404E+000   3.584837137E+001   1.416382699E+000   2.625192071E+002   4.143835158E+005   1.869113860E+005   4.666584161E+002   7.728672295E+003   1.567865439E+006   2.625192071E+002   8.467007565E+000   5.233213554E+000   5.607150796E-001   1.274439174E-005   3.205176365E-004   7.593215437E-003   1.907484268E-006   1.907537369E-006   1.907550096E-006   1.132304865E+006   9.132844798E-001   9.836838893E-001   3.376882244E-001   1.045688789E+003   1.348654269E+003   1.477052108E+003   4.117125355E+004   3.222346953E+002   2.764464615E+005   1.349226622E+003   8.814235005E+002   1.010012124E+003   2.163494047E+001   2.751109714E+001   1.907461506E-002   1.649330338E-007   4.197254764E-011   7.389076228E-012   1.907843077E-014   4.891709644E-014   2.743478341E-005   9.838746736E-007   1.907461506E-006   2.785450889E+002   2.049023462E+003   6.732778211E-001   1.965078367E+006   1.925829060E-006   1.577404654E+005   2.556509720E+005   2.957156766E+004   2.957156766E+005   1.911785585E-006   3.548588119E+004   1.182671922E+005   1.381087602E+005   3.949235165E+003   7.095268395E+004   1.907482225E-006   1.907461506E-006   1.907461506E-006   1.907461506E-006   2.670980305E+006   6.427523319E+005   7.057111533E+005   6.160425288E+005   3.109784212E+006   2.581311680E+001   8.716935031E-003   4.248766527E+001   3.512339100E+000   1.008676634E+001   9.016466375E-005   1.622811319E-004   9.373233026E-001   2.730123440E-005   3.769897916E-002   1.442901717E-004   7.520717400E+000   1.651428970E-003   2.222637185E-003   1.264518390E+001   6.015429214E-005   1.527228381E+002   3.878644971E-002   6.877774296E-008   8.260960518E-008   4.853552782E-003   7.142964471E-003   1.845647391E-008   7.978599723E-007   1.281879762E-006   1.756741903E-004   1.038057417E-001   9.708990420E-009   1.387574268E-007   4.061797906E-005   5.857078239E-004   1.568819360E-006   2.537431289E-001   5.492680218E-005   7.957613464E+000   5.887603728E-006   6.919747152E-006   8.110240910E-001   2.207374437E+000   1.741479159E-002   5.414458646E+002   5.397288058E+001   5.372486098E-001   1.542681910E+000   7.904193862E-005   7.717225237E-001   3.933972420E+001   1.639027985E-002   5.891419415E-003   4.657044945E-005   6.589689980E-009   5.038613560E-011   8.661607559E-012   5.435444920E-013   1.907833973E-014   1.907852174E-014   7.934719363E-013   2.287503847E-008   7.514993871E+000   5.727344910E-001   6.196674296E-003   6.717515466E+002   2.045207776E-001 
