    V   J   Energy(K)   log(N/g)
    0     0   0.000000E+000   6.413741E+001 
    0     1   1.705020E+002   5.707166E+001 
    0     2   5.098500E+002   4.271858E+001 
    0     3   1.015153E+003   4.241991E+001 
    0     4   1.681678E+003   4.179255E+001 
    0     5   2.503870E+003   4.040946E+001 
    0     6   3.474434E+003   3.915427E+001 
    0     7   4.586377E+003   3.812073E+001 
    0     8   5.829758E+003   3.717568E+001 
    1     0   5.987124E+003   3.415521E+001 
    1     1   6.149208E+003   3.400984E+001 
    1     2   6.471607E+003   3.383000E+001 
    1     3   6.951587E+003   3.382466E+001 
    0     9   7.196995E+003   3.636489E+001 
    1     4   7.584601E+003   3.367697E+001 
    1     5   8.365297E+003   3.369497E+001 
    0    10   8.677322E+003   3.557654E+001 
    1     6   9.286624E+003   3.371595E+001 
    0    11   1.026179E+004   3.491325E+001 
    1     7   1.034152E+004   3.384210E+001 
    1     8   1.152183E+004   3.394687E+001 
    2     0   1.163573E+004   3.273617E+001 
    2     1   1.178951E+004   3.282156E+001 
    0    12   1.194031E+004   3.423014E+001 
    2     2   1.209524E+004   3.261816E+001 
    2     3   1.255050E+004   3.263875E+001 
    1     9   1.281752E+004   3.398069E+001 
    2     4   1.315072E+004   3.242085E+001 
    0    13   1.370318E+004   3.370672E+001 
    2     5   1.389070E+004   3.240639E+001 
    1    10   1.422111E+004   3.391076E+001 
    2     6   1.476414E+004   3.228506E+001 
    0    14   1.554025E+004   3.310774E+001 
    1    11   1.572229E+004   3.371163E+001 
    2     7   1.576338E+004   3.230131E+001 
    2     8   1.688055E+004   3.232093E+001 
    3     0   1.695284E+004   3.184720E+001 
    3     1   1.709837E+004   3.188429E+001 
    1    12   1.731122E+004   3.342600E+001 
    3     2   1.738779E+004   3.171847E+001 
    0    15   1.744391E+004   3.271777E+001 
    3     3   1.781869E+004   3.179146E+001 
    2     9   1.810741E+004   3.238076E+001 
    3     4   1.838652E+004   3.151226E+001 
    1    13   1.897972E+004   3.305766E+001 
    3     5   1.908649E+004   3.150662E+001 
    0    16   1.940345E+004   3.216720E+001 
    2    10   1.943491E+004   3.242444E+001 
    3     6   1.991225E+004   3.133250E+001 
    1    14   2.071785E+004   3.264760E+001 
    2    11   2.085383E+004   3.236089E+001 
    3     7   2.085653E+004   3.130563E+001 
    0    17   2.141168E+004   3.188535E+001 
    3     8   2.191171E+004   3.126549E+001 
    4     0   2.194278E+004   3.105641E+001 
    4     1   2.208004E+004   3.104493E+001 
    4     2   2.235326E+004   3.095132E+001 
    2    12   2.235535E+004   3.229622E+001 
    1    15   2.251712E+004   3.222576E+001 
    4     3   2.275983E+004   3.118194E+001 
    3     9   2.306999E+004   3.128310E+001 
    4     4   2.329564E+004   3.074654E+001 
    0    18   2.345990E+004   3.133156E+001 
    2    13   2.393080E+004   3.200277E+001 
    4     5   2.395581E+004   3.084164E+001 
    3    10   2.432262E+004   3.126167E+001 
    1    16   2.436840E+004   3.177571E+001 
    4     6   2.473404E+004   3.054550E+001 
    0    19   2.553963E+004   3.113738E+001 
    2    14   2.557053E+004   3.179536E+001 
    4     7   2.562381E+004   3.054842E+001 
    3    11   2.565988E+004   3.127174E+001 
    1    17   2.626369E+004   3.137847E+001 
    5     0   2.660677E+004   3.038242E+001 
    4     8   2.661704E+004   3.041503E+001 
    5     1   2.673596E+004   3.035021E+001 
    5     2   2.699289E+004   3.029622E+001 
    3    12   2.707418E+004   3.124889E+001 
    2    15   2.726625E+004   3.128063E+001 
    5     3   2.737523E+004   3.022895E+001 
    0    20   2.764451E+004   3.051993E+001 
    4     9   2.770677E+004   3.040789E+001 
    5     4   2.787879E+004   3.004147E+001 
    1    18   2.819486E+004   3.091297E+001 
    5     5   2.849899E+004   3.003970E+001 
    3    13   2.855661E+004   3.112583E+001 
    4    10   2.888376E+004   3.033509E+001 
    2    16   2.900940E+004   3.100652E+001 
    5     6   2.922954E+004   2.980868E+001 
    0    21   2.976661E+004   3.041255E+001 
    5     7   3.006431E+004   2.976625E+001 
    3    14   3.009785E+004   3.095952E+001 
    4    11   3.013990E+004   3.036962E+001 
    1    19   3.015462E+004   3.061871E+001 
    2    17   3.079235E+004   3.014612E+001 
    6     0   3.094320E+004   2.973876E+001 
    5     8   3.099552E+004   2.966375E+001 
    6     1   3.106412E+004   2.968325E+001 
    6     2   3.130464E+004   2.951860E+001 
    4    12   3.146651E+004   3.030715E+001 
    6     3   3.166233E+004   2.950394E+001 
    3    15   3.169026E+004   3.066006E+001 
    0    22   3.190031E+004   2.957751E+001 
    5     9   3.201575E+004   2.964230E+001 
    6     4   3.213322E+004   2.931422E+001 
    1    20   3.213454E+004   2.999822E+001 
    2    18   3.260639E+004   2.991025E+001 
    6     5   3.271272E+004   3.051007E+001 
    4    13   3.285516E+004   3.021493E+001 
    5    10   3.311646E+004   2.962858E+001 
    3    16   3.332489E+004   3.029417E+001 
    6     6   3.339496E+004   2.916060E+001 
    0    23   3.403759E+004   2.963128E+001 
    1    21   3.412953E+004   2.977372E+001 
    6     7   3.417363E+004   2.915761E+001 
    5    11   3.428978E+004   2.956426E+001 
    4    14   3.429681E+004   3.004634E+001 
    2    19   3.444505E+004   2.630268E+001 
    7     0   3.494622E+004   2.992790E+001 
    3    17   3.499413E+004   2.974147E+001 
    6     8   3.504117E+004   2.914230E+001 
    7     1   3.505878E+004   2.896282E+001 
    7     2   3.528236E+004   2.893416E+001 
    5    12   3.552731E+004   2.959963E+001 
    7     3   3.561473E+004   2.889501E+001 
    4    15   3.578419E+004   2.993228E+001 
    6     9   3.599047E+004   2.914565E+001 
    7     4   3.605189E+004   2.887414E+001 
    1    22   3.613139E+004   2.901655E+001 
    0    24   3.617459E+004   2.821947E+001 
    2    20   3.629979E+004   2.924196E+001 
    7     5   3.658964E+004   2.883379E+001 
    3    18   3.668984E+004   2.944836E+001 
    5    13   3.682003E+004   2.940591E+001 
    6    10   3.701302E+004   2.909547E+001 
    7     6   3.722192E+004   2.876062E+001 
    4    16   3.730808E+004   2.950101E+001 
    7     7   3.794263E+004   2.878160E+001 
    6    11   3.810113E+004   2.909435E+001 
    1    23   3.813447E+004   2.881861E+001 
    5    14   3.815979E+004   2.937111E+001 
    2    21   3.816475E+004   2.903794E+001 
    0    25   3.830484E+004   2.861435E+001 
    3    19   3.840503E+004   2.682985E+001 
    8     0   3.860553E+004   2.866151E+001 
    8     1   3.870915E+004   2.865079E+001 
    7     8   3.874438E+004   2.773752E+001 
    4    17   3.886111E+004   2.935094E+001 
    8     2   3.891514E+004   2.863098E+001 
    8     3   3.922109E+004   2.842534E+001 
