     distance         timeN            Tn      C+(158m)   C+(2324.7A)   C+(2323.5A)   C+(2328.1A)   C+(2326.9A)   C+(2325.4A)    Si+(34.8m)     C(609.8m)     C(370.4m)      C(9850A)      C(9824A)    Si(129.7m)     Si(68.5m)      O(63.2m)     O(145.3m)      O(6300A)      O(6363A)     S+(6731A)     S+(6716A)    N+(205.3m)    N+(121.8m)     N+(6527A)     N+(6548A)     N+(6583A)      N(5200A)      N(5197A)      S(25.2m) 
  1.000000000E+005   1.056293554E-009   1.000002392E+001   6.677430516E-026   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   4.081457807E-048   4.182553185E-022   6.694029259E-023   0.000000000E+000   0.000000000E+000   9.013592380E-035   2.258609581E-043   6.914768284E-028   9.002418453E-033   3.542546705E-042   1.134225561E-042   0.000000000E+000   0.000000000E+000   1.186492374E-031   9.185229530E-037   1.255492589E-049   2.362646079E-046   6.956755801E-046   0.000000000E+000   0.000000000E+000   1.602834527E-042 
  1.999449465E+005   2.112006642E-009   1.000004812E+001   2.002509663E-025   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.224029559E-047   1.254307828E-021   2.007481958E-022   0.000000000E+000   0.000000000E+000   2.703111225E-034   6.773522705E-043   2.073709188E-027   2.699807846E-032   7.083143115E-042   2.267826691E-042   0.000000000E+000   0.000000000E+000   3.558192115E-031   2.754600336E-036   6.426465067E-049   1.209362973E-045   3.560940823E-045   0.000000000E+000   0.000000000E+000   4.806964274E-042 
  2.998898931E+005   3.167720796E-009   1.000007261E+001   3.337307936E-025   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   2.039997071E-047   2.090365164E-021   3.345581587E-022   5.251581911E-035   1.771728998E-035   4.504915454E-034   1.128879883E-042   3.456022161E-027   4.499521813E-032   1.603137068E-041   5.132801881E-042   0.000000000E+000   0.000000000E+000   5.929934902E-031   4.590763898E-036   1.713943247E-048   3.225380483E-045   9.497056959E-045   0.000000000E+000   0.000000000E+000   8.011547822E-042 
  4.727099360E+005   4.993213977E-009   1.000011566E+001   5.645453465E-025   2.041757008E-066   1.097941640E-066   2.414789464E-066   3.359493534E-066   3.210274635E-038   3.451130090E-047   3.536047258E-021   5.659409126E-022   1.433236731E-034   4.835318424E-035   7.620634782E-034   1.909727031E-042   5.846445265E-027   7.611856414E-032   4.125268151E-041   1.320796865E-041   0.000000000E+000   0.000000000E+000   1.003114276E-030   7.765977157E-036   3.599019566E-048   6.772807376E-045   1.994237199E-044   0.000000000E+000   0.000000000E+000   1.355384976E-041 
  6.103798677E+005   6.447419845E-009   1.000015061E+001   7.484211822E-025   3.668238190E-066   1.972571388E-066   4.338431507E-066   6.035694961E-066   5.767607003E-038   4.575435525E-047   4.687700653E-021   7.502669413E-022   1.433236731E-034   4.835318424E-035   1.010275872E-033   2.531836798E-042   7.750854648E-027   1.009149533E-031   5.153595856E-041   1.650038979E-041   0.000000000E+000   0.000000000E+000   1.329829498E-030   1.029556936E-035   4.262123029E-048   8.020667228E-045   2.361666597E-044   0.000000000E+000   0.000000000E+000   1.796989655E-041 
  8.336152339E+005   8.805456785E-009   1.000020850E+001   1.046594079E-024   3.668238190E-066   1.972571388E-066   4.338431507E-066   6.035694961E-066   5.767607003E-038   6.398882499E-047   6.555156939E-021   1.049165128E-021   1.433236731E-034   4.835318424E-035   1.412780912E-033   3.540758620E-042   1.083924690E-026   1.411292406E-031   5.561826137E-041   1.780743034E-041   0.000000000E+000   0.000000000E+000   1.859624977E-030   1.439773534E-035   4.531806656E-048   8.528170793E-045   2.511099828E-044   0.000000000E+000   0.000000000E+000   2.513256400E-041 
  1.182167262E+006   1.248722562E-008   1.000030201E+001   1.512185228E-024   3.668238190E-066   1.972571388E-066   4.338431507E-066   6.035694961E-066   5.767607003E-038   9.246857775E-047   9.470990845E-021   1.515876734E-021   1.168949430E-033   3.943690943E-034   2.041294928E-033   5.116448219E-042   1.566222951E-026   2.039344835E-031   5.561826137E-041   1.780743034E-041   0.000000000E+000   0.000000000E+000   2.686875866E-030   2.080364924E-035   4.705612702E-048   8.855247333E-045   2.607406746E-044   0.000000000E+000   0.000000000E+000   3.632102962E-041 
  1.716379219E+006   1.813015409E-008   1.000045295E+001   2.225863019E-024   3.668238190E-066   1.972571388E-066   4.338431507E-066   6.035694961E-066   5.767607003E-038   1.361408350E-046   1.394010219E-020   2.231242158E-021   3.863703591E-033   1.303499747E-033   3.004733118E-033   7.532419451E-042   2.305638397E-026   3.002332754E-031   6.291447259E-041   2.014347555E-041   0.000000000E+000   0.000000000E+000   3.954885286E-030   3.062404739E-035   4.705612702E-048   8.855247333E-045   2.607406746E-044   0.000000000E+000   0.000000000E+000   5.348133413E-041 
  2.607742163E+006   2.754577373E-008   1.000072635E+001   3.416919300E-024   1.419959905E-065   7.635742656E-066   1.679388980E-065   2.336392677E-065   2.232578857E-037   2.090755311E-046   2.139743470E-020   3.425028551E-021   6.861291468E-033   2.314797572E-033   4.612687493E-033   1.156642469E-041   3.540019754E-026   4.610281326E-031   7.508861476E-041   2.404129946E-041   0.000000000E+000   0.000000000E+000   6.070961367E-030   4.701660959E-035   4.705612702E-048   8.855247333E-045   2.607406746E-044   0.000000000E+000   0.000000000E+000   8.214958208E-041 
  3.499105107E+006   3.696148824E-008   1.000102844E+001   4.608306219E-024   2.473095992E-065   1.329891392E-065   2.924934809E-065   4.069215858E-065   3.888397014E-037   2.820984677E-046   2.885526037E-020   4.619029317E-021   8.922155479E-033   3.010072366E-033   6.221187118E-033   1.560425361E-041   4.775247593E-026   6.219787204E-031   7.508861476E-041   2.404129946E-041   0.000000000E+000   0.000000000E+000   8.187483533E-030   6.341820608E-035   1.341529944E-047   2.524555294E-044   7.433493675E-044   0.000000000E+000   0.000000000E+000   1.108657459E-040 
