     distance         timeN            Tn            nH          n(H)         n(H2)         n(He)          n(C)         n(CH)        n(CH2)        n(CH3)        n(CH4)          n(O)         n(O2)         n(OH)        n(H2O)         n(CO)        n(CO2)         n(C2)        n(C2H)       n(C2H2)         n(C3)        n(C3H)       n(C3H2)      n(CH3OH)       n(H2CO)      n(HCO2H)          n(N)         n(NH)        n(NH2)        n(NH3)         n(CN)        n(HCN)        n(HNC)         n(N2)         n(NO)          n(S)         n(SH)        n(H2S)         n(CS)         n(SO)        n(SO2)        n(OCS)         n(Si)        n(SiH)       n(SiH2)       n(SiH3)       n(SiH4)        n(SiO)       n(SiO2)         n(Mg)         n(Fe)     n(C54H18)          n(G)       n(H2O*)        n(O2*)        n(CO*)       n(CO2*)       n(CH4*)       n(NH3*)        n(N2*)     n(CH3OH*)      n(H2CO*)     n(HCO2H*)       n(OCS*)       n(H2S*)        n(Fe*)      n(SiH4*)       n(SiO*)      n(SiO2*)        n(O**)       n(Si**)       n(Mg**)       n(Fe**)        n(C**)         n(H+)        n(H2+)        n(H3+)        n(He+)         n(C+)        n(CH+)       n(CH2+)       n(CH3+)       n(CH4+)       n(CH5+)         n(O+)        n(O2+)        n(OH+)       n(H2O+)       n(H3O+)        n(CO+)       n(HCO+)      n(HCO2+)        n(C2+)       n(C2H+)      n(C2H2+)      n(C2H3+)        n(C3+)       n(C3H+)      n(C3H2+)      n(C3H3+)         n(N+)        n(NH+)       n(NH2+)       n(NH3+)       n(NH4+)        n(CN+)       n(C2N+)       n(HCN+)      n(H2CN+)      n(H2NC+)        n(N2+)       n(N2H+)        n(NO+)       n(HNO+)         n(S+)        n(SH+)       n(H2S+)       n(H3S+)        n(CS+)       n(HCS+)        n(SO+)       n(HSO+)      n(HSO2+)      n(HOCS+)        n(Si+)       n(SiH+)      n(SiH2+)      n(SiH3+)      n(SiH4+)      n(SiH5+)       n(SiO+)      n(SiOH+)        n(Fe+)    n(C54H18+)         n(G+)    n(C54H18-)         n(G-) 
  1.000000000E+005   1.056293554E-009   1.000002392E+001   1.000023134E+004   2.213002219E-001   5.000005013E+003   9.998010023E+002   2.128002133E-003   3.566003575E-006   1.879001884E-005   7.425007444E-007   1.376001379E-004   2.172002177E-001   9.797009821E-002   2.446002452E-004   4.051004061E-003   8.218008239E-001   1.376001379E-004   4.438004449E-006   2.743002750E-006   2.939002946E-007   6.680006697E-012   1.680001684E-010   3.980003990E-009   9.998014192E-013   9.998023918E-013   9.998026249E-013   5.935005950E-001   4.787004799E-007   5.157005170E-007   1.770001774E-007   5.481005495E-004   7.069007087E-004   7.742007761E-004   2.159002164E-002   1.689001693E-004   1.449001453E-001   7.073007091E-004   4.620004632E-004   5.294005307E-004   1.134001137E-005   1.442001446E-005   9.999010024E-009   8.645008667E-014   2.200002206E-017   3.873003883E-018   1.000001003E-020   2.563002569E-020   1.438001442E-011   5.157005170E-013   9.998010023E-013   1.460001464E-004   1.074001077E-003   3.526003535E-007   1.030001033E+000   1.000137414E-012   8.268008289E-002   1.340001343E-001   1.550001554E-002   1.550001554E-001   9.998802369E-013   1.860001865E-002   6.199006214E-002   7.239007257E-002   2.070002075E-003   3.719003728E-002   9.998013818E-013   9.998010023E-013   9.998010023E-013   9.998010023E-013   1.400001404E+000   3.369003377E-001   3.699003708E-001   3.229003237E-001   1.630001634E+000   1.353001356E-005   4.569004581E-009   2.227002233E-005   1.841001846E-006   5.287005300E-006   4.727004739E-011   8.506008527E-011   4.913004925E-007   1.431001435E-011   1.976001981E-008   7.563007582E-011   3.942003952E-006   8.657008679E-010   1.165001168E-009   6.628006645E-006   3.153003161E-011   8.005008025E-005   2.033002038E-008   3.605003614E-014   4.330004341E-014   2.544002550E-009   3.744003753E-009   9.675009699E-015   4.182004192E-013   6.719006736E-013   9.209009232E-011   5.442005456E-008   5.091004682E-015   7.275007293E-014   2.129002134E-011   3.071003079E-010   8.223008243E-013   1.330001333E-007   2.879002886E-011   4.171004181E-006   3.086003094E-012   3.628003643E-012   4.252004263E-007   1.157001160E-006   9.129009152E-009   2.838002845E-004   2.829002836E-005   2.816002823E-007   8.086008106E-007   4.143004153E-011   4.045004055E-007   2.062002067E-005   8.591008612E-009   3.089003097E-009   2.441002447E-011   3.454003463E-015   2.641002648E-017   4.540004551E-018   2.849002856E-019   1.000000836E-020   1.000001169E-020   4.160004171E-019   1.199001202E-014   3.939003949E-006   3.002003010E-007   3.245003253E-009   3.521003530E-004   1.071001074E-007 
  1.999449465E+005   2.112006642E-009   1.000004812E+001   1.000024141E+004   2.213004447E-001   5.000010047E+003   9.998020090E+002   2.128004276E-003   3.566007166E-006   1.879003776E-005   7.425014920E-007   1.376002765E-004   2.172004365E-001   9.797019687E-002   2.446004915E-004   4.051008140E-003   8.218016514E-001   1.376002765E-004   4.438008918E-006   2.743005512E-006   2.939005906E-007   6.680013423E-012   1.680003376E-010   3.980007998E-009   9.998028426E-013   9.998047872E-013   9.998052533E-013   5.935011926E-001   4.787009619E-007   5.157010363E-007   1.770003557E-007   5.481011014E-004   7.069014205E-004   7.742015557E-004   2.159004338E-002   1.689003394E-004   1.449002912E-001   7.073014213E-004   4.620009284E-004   5.294010638E-004   1.134002279E-005   1.442002898E-005   9.999020093E-009   8.645017372E-014   2.200004421E-017   3.873007783E-018   1.000002010E-020   2.563005150E-020   1.438002890E-011   5.157010363E-013   9.998020090E-013   1.460002934E-004   1.074002158E-003   3.526007085E-007   1.030002070E+000   1.000474650E-012   8.268016614E-002   1.340002693E-001   1.550003115E-002   1.550003115E-001   9.999604351E-013   1.860003738E-002   6.199012457E-002   7.239014546E-002   2.070004160E-003   3.719007473E-002   9.998027678E-013   9.998020090E-013   9.998020090E-013   9.998020090E-013   1.400002813E+000   3.369006770E-001   3.699007433E-001   3.229006488E-001   1.630003275E+000   1.353002719E-005   4.569009182E-009   2.227004475E-005   1.841003699E-006   5.287010624E-006   4.727009498E-011   8.506017093E-011   4.913009872E-007   1.431002876E-011   1.976003971E-008   7.563015197E-011   3.942007921E-006   8.657017397E-010   1.165002341E-009   6.628013319E-006   3.153006336E-011   8.005016086E-005   2.033004085E-008   3.605007244E-014   4.330008701E-014   2.544005112E-009   3.744007523E-009   9.675019441E-015   4.182008403E-013   6.719013501E-013   9.209018505E-011   5.442010935E-008   5.091009387E-015   7.275014619E-014   2.129004278E-011   3.071006171E-010   8.223016523E-013   1.330002673E-007   2.879005785E-011   4.171008381E-006   3.086006201E-012   3.628007302E-012   4.252008544E-007   1.157002325E-006   9.129018344E-009   2.838005703E-004   2.829005685E-005   2.816005659E-007   8.086016248E-007   4.143008325E-011   4.045008128E-007   2.062004143E-005   8.591017263E-009   3.089006207E-009   2.441004905E-011   3.454006941E-015   2.641005307E-017   4.540009123E-018   2.849005725E-019   1.000001676E-020   1.000002343E-020   4.160008360E-019   1.199002409E-014   3.939007915E-006   3.002006032E-007   3.245006520E-009   3.521007075E-004   1.071002152E-007 
  2.998898931E+005   3.167720796E-009   1.000007261E+001   1.000025153E+004   2.213006686E-001   5.000015107E+003   9.998030208E+002   2.128006430E-003   3.566010774E-006   1.879005677E-005   7.425022434E-007   1.376004157E-004   2.172006562E-001   9.797029601E-002   2.446007390E-004   4.051012240E-003   8.218024830E-001   1.376004157E-004   4.438013409E-006   2.743008288E-006   2.939008880E-007   6.680020183E-012   1.680005076E-010   3.980012025E-009   9.998042711E-013   9.998071877E-013   9.998078868E-013   5.935017932E-001   4.787014463E-007   5.157015581E-007   1.770005348E-007   5.481016560E-004   7.069021358E-004   7.742023392E-004   2.159006523E-002   1.689005103E-004   1.449004378E-001   7.073021370E-004   4.620013959E-004   5.294015995E-004   1.134003426E-005   1.442004357E-005   9.999030211E-009   8.645026120E-014   2.200006647E-017   3.873011702E-018   1.000003021E-020   2.563007744E-020   1.438004345E-011   5.157015581E-013   9.998030208E-013   1.460004411E-004   1.074003245E-003   3.526010653E-007   1.030003112E+000   1.000811892E-012   8.268024981E-002   1.340004049E-001   1.550004683E-002   1.550004683E-001   1.000040639E-012   1.860005620E-002   6.199018730E-002   7.239021872E-002   2.070006254E-003   3.719011237E-002   9.998041588E-013   9.998030208E-013   9.998030208E-013   9.998030208E-013   1.400004230E+000   3.369010179E-001   3.699011176E-001   3.229009756E-001   1.630004925E+000   1.353004088E-005   4.569013806E-009   2.227006729E-005   1.841005562E-006   5.287015974E-006   4.727014282E-011   8.506025700E-011   4.913014844E-007   1.431004324E-011   1.976005970E-008   7.563022850E-011   3.942011910E-006   8.657026158E-010   1.165003520E-009   6.628020026E-006   3.153009526E-011   8.005024186E-005   2.033006142E-008   3.605010893E-014   4.330013083E-014   2.544007686E-009   3.744011312E-009   9.675029232E-015   4.182012635E-013   6.719020301E-013   9.209027824E-011   5.442016442E-008   5.091014118E-015   7.275021981E-014   2.129006433E-011   3.071009279E-010   8.223024844E-013   1.330004018E-007   2.879008699E-011   4.171012602E-006   3.086009324E-012   3.628010980E-012   4.252012847E-007   1.157003496E-006   9.129027582E-009   2.838008575E-004   2.829008547E-005   2.816008508E-007   8.086024431E-007   4.143012518E-011   4.045012221E-007   2.062006230E-005   8.591025957E-009   3.089009333E-009   2.441007375E-011   3.454010436E-015   2.641007979E-017   4.540013717E-018   2.849008608E-019   1.000002521E-020   1.000003521E-020   4.160012570E-019   1.199003623E-014   3.939011901E-006   3.002009070E-007   3.245009804E-009   3.521010638E-004   1.071003236E-007 
  4.727099360E+005   4.993213977E-009   1.000011566E+001   1.000026914E+004   2.213010585E-001   5.000023915E+003   9.998047820E+002   2.128010178E-003   3.566017056E-006   1.879008987E-005   7.425035514E-007   1.376006581E-004   2.172010389E-001   9.797046859E-002   2.446011699E-004   4.051019376E-003   8.218039306E-001   1.376006581E-004   4.438021227E-006   2.743013120E-006   2.939014057E-007   6.680031950E-012   1.680008035E-010   3.980019036E-009   9.998067528E-013   9.998113502E-013   9.998124522E-013   5.935028387E-001   4.787022896E-007   5.157024666E-007   1.770008466E-007   5.481026215E-004   7.069033811E-004   7.742037030E-004   2.159010326E-002   1.689008078E-004   1.449006931E-001   7.073033830E-004   4.620022097E-004   5.294025321E-004   1.134005424E-005   1.442006897E-005   9.999047825E-009   8.645041349E-014   2.200010523E-017   3.873018524E-018   1.000004783E-020   2.563012259E-020   1.438006878E-011   5.157024666E-013   9.998047820E-013   1.460006983E-004   1.074005137E-003   3.526016865E-007   1.030004926E+000   1.001395051E-012   8.268039546E-002   1.340006409E-001   1.550007414E-002   1.550007414E-001   1.000179336E-012   1.860008896E-002   6.199029650E-002   7.239034624E-002   2.070009901E-003   3.719017788E-002   9.998065759E-013   9.998047820E-013   9.998047820E-013   9.998047820E-013   1.400006696E+000   3.369016114E-001   3.699017692E-001   3.229015444E-001   1.630007796E+000   1.353006471E-005   4.569021855E-009   2.227010652E-005   1.841008805E-006   5.287025288E-006   4.727022609E-011   8.506040685E-011   4.913023499E-007   1.431006844E-011   1.976009451E-008   7.563036173E-011   3.942018854E-006   8.657041410E-010   1.165005573E-009   6.628031702E-006   3.153015081E-011   8.005038288E-005   2.033009724E-008   3.605017244E-014   4.330020711E-014   2.544012168E-009   3.744017907E-009   9.675046275E-015   4.182020001E-013   6.719032137E-013   9.209044046E-011   5.442026029E-008   5.091022358E-015   7.275034796E-014   2.129010183E-011   3.071014688E-010   8.223039330E-013   1.330006361E-007   2.879013771E-011   4.171019950E-006   3.086014760E-012   3.628017381E-012   4.252020337E-007   1.157005534E-006   9.129043664E-009   2.838013574E-004   2.829013531E-005   2.816013469E-007   8.086038675E-007   4.143019816E-011   4.045019347E-007   2.062009862E-005   8.591041090E-009   3.089014775E-009   2.441011675E-011   3.454016520E-015   2.641012632E-017   4.540021715E-018   2.849013627E-019   1.000003995E-020   1.000005571E-020   4.160019898E-019   1.199005735E-014   3.939018840E-006   3.002014358E-007   3.245015520E-009   3.521016841E-004   1.071005123E-007 
  6.103798677E+005   6.447419845E-009   1.000015061E+001   1.000028328E+004   2.213013714E-001   5.000030985E+003   9.998061957E+002   2.128013187E-003   3.566022098E-006   1.879011644E-005   7.425046012E-007   1.376008527E-004   2.172013460E-001   9.797060712E-002   2.446015158E-004   4.051025104E-003   8.218050927E-001   1.376008527E-004   4.438027502E-006   2.743016998E-006   2.939018213E-007   6.680041396E-012   1.680010411E-010   3.980024664E-009   9.998087405E-013   9.998146769E-013   9.998160997E-013   5.935036779E-001   4.787029665E-007   5.157031958E-007   1.770010969E-007   5.481033965E-004   7.069043806E-004   7.742047977E-004   2.159013379E-002   1.689010467E-004   1.449008979E-001   7.073043831E-004   4.620028630E-004   5.294032807E-004   1.134007027E-005   1.442008936E-005   9.999061964E-009   8.645053573E-014   2.200013633E-017   3.873024001E-018   1.000006197E-020   2.563015883E-020   1.438008911E-011   5.157031958E-013   9.998061957E-013   1.460009048E-004   1.074006656E-003   3.526021850E-007   1.030006383E+000   1.001859615E-012   8.268051236E-002   1.340008304E-001   1.550009605E-002   1.550009605E-001   1.000289834E-012   1.860011526E-002   6.199038415E-002   7.239044860E-002   2.070012828E-003   3.719023046E-002   9.998085121E-013   9.998061957E-013   9.998061957E-013   9.998061957E-013   1.400008676E+000   3.369020878E-001   3.699022923E-001   3.229020010E-001   1.630010101E+000   1.353008384E-005   4.569028316E-009   2.227013801E-005   1.841011409E-006   5.287032763E-006   4.727029292E-011   8.506052712E-011   4.913030446E-007   1.431008868E-011   1.976012245E-008   7.563046867E-011   3.942024428E-006   8.657053652E-010   1.165007220E-009   6.628041073E-006   3.153019539E-011   8.005049607E-005   2.033012598E-008   3.605022341E-014   4.330026833E-014   2.544015765E-009   3.744023201E-009   9.675059956E-015   4.182025914E-013   6.719041637E-013   9.209057068E-011   5.442033724E-008   5.091028976E-015   7.275045083E-014   2.129013193E-011   3.071019031E-010   8.223050957E-013   1.330008242E-007   2.879017842E-011   4.171025847E-006   3.086019124E-012   3.628022519E-012   4.252026349E-007   1.157007170E-006   9.129056572E-009   2.838017587E-004   2.829017531E-005   2.816017451E-007   8.086050109E-007   4.143025674E-011   4.045025067E-007   2.062012778E-005   8.591053238E-009   3.089019142E-009   2.441015127E-011   3.454021404E-015   2.641016366E-017   4.540028134E-018   2.849017655E-019   1.000005179E-020   1.000007214E-020   4.160025781E-019   1.199007430E-014   3.939024410E-006   3.002018603E-007   3.245020108E-009   3.521021819E-004   1.071006637E-007 
  8.336152339E+005   8.805456785E-009   1.000020850E+001   1.000030641E+004   2.213018832E-001   5.000042550E+003   9.998085082E+002   2.128018109E-003   3.566030346E-006   1.879015990E-005   7.425063186E-007   1.376011710E-004   2.172018484E-001   9.797083372E-002   2.446020815E-004   4.051034474E-003   8.218069934E-001   1.376011710E-004   4.438037767E-006   2.743023343E-006   2.939025011E-007   6.680056846E-012   1.680014297E-010   3.980033869E-009   9.998119837E-013   9.998200912E-013   9.998220345E-013   5.935050506E-001   4.787040737E-007   5.157043886E-007   1.770015063E-007   5.481046643E-004   7.069060157E-004   7.742065884E-004   2.159018373E-002   1.689014373E-004   1.449012331E-001   7.073060191E-004   4.620039316E-004   5.294045051E-004   1.134009650E-005   1.442012271E-005   9.999085091E-009   8.645073568E-014   2.200018722E-017   3.873032959E-018   1.000008510E-020   2.563021811E-020   1.438012237E-011   5.157043886E-013   9.998085082E-013   1.460012424E-004   1.074009140E-003   3.526030006E-007   1.030008765E+000   1.002612944E-012   8.268070360E-002   1.340011403E-001   1.550013190E-002   1.550013190E-001   1.000469033E-012   1.860015828E-002   6.199052753E-002   7.239061603E-002   2.070017616E-003   3.719031648E-002   9.998116717E-013   9.998085082E-013   9.998085082E-013   9.998085082E-013   1.400011914E+000   3.369028670E-001   3.699031478E-001   3.229027478E-001   1.630013871E+000   1.353011514E-005   4.569038885E-009   2.227018952E-005   1.841015667E-006   5.287044992E-006   4.727040225E-011   8.506072386E-011   4.913041809E-007   1.431012178E-011   1.976016816E-008   7.563064359E-011   3.942033546E-006   8.657073677E-010   1.165009915E-009   6.628056404E-006   3.153026832E-011   8.005068122E-005   2.033017301E-008   3.605030680E-014   4.330036849E-014   2.544021649E-009   3.744031861E-009   9.675082333E-015   4.182035586E-013   6.719057178E-013   9.209078368E-011   5.442046311E-008   5.091039811E-015   7.275061909E-014   2.129018118E-011   3.071026134E-010   8.223069976E-013   1.330011318E-007   2.879024501E-011   4.171035495E-006   3.086026262E-012   3.628030924E-012   4.252036184E-007   1.157009846E-006   9.129077687E-009   2.838024151E-004   2.829024075E-005   2.816023964E-007   8.086068811E-007   4.143035257E-011   4.045034423E-007   2.062017547E-005   8.591073109E-009   3.089026287E-009   2.441020773E-011   3.454029393E-015   2.641022475E-017   4.540038635E-018   2.849024245E-019   1.000007120E-020   1.000009899E-020   4.160035403E-019   1.199010203E-014   3.939033521E-006   3.002025547E-007   3.245027613E-009   3.521029963E-004   1.071009114E-007 
  1.182167262E+006   1.248722562E-008   1.000030201E+001   1.000034303E+004   2.213026935E-001   5.000060856E+003   9.998121687E+002   2.128025900E-003   3.566043402E-006   1.879022870E-005   7.425090370E-007   1.376016747E-004   2.172026436E-001   9.797119240E-002   2.446029771E-004   4.051049305E-003   8.218100022E-001   1.376016747E-004   4.438054015E-006   2.743033385E-006   2.939035771E-007   6.680081303E-012   1.680020447E-010   3.980048441E-009   9.998170973E-013   9.998285949E-013   9.998313507E-013   5.935072235E-001   4.787058263E-007   5.157062766E-007   1.770021543E-007   5.481066710E-004   7.069086038E-004   7.742094229E-004   2.159026277E-002   1.689020557E-004   1.449017636E-001   7.073086086E-004   4.620056230E-004   5.294064434E-004   1.134013802E-005   1.442017551E-005   9.999121699E-009   8.645105219E-014   2.200026776E-017   3.873047139E-018   1.000012172E-020   2.563031195E-020   1.438017502E-011   5.157062766E-013   9.998121687E-013   1.460017770E-004   1.074013072E-003   3.526042915E-007   1.030012536E+000   1.003789235E-012   8.268100631E-002   1.340016309E-001   1.550018865E-002   1.550018865E-001   1.000748881E-012   1.860022638E-002   6.199075449E-002   7.239088107E-002   2.070025194E-003   3.719045264E-002   9.998166550E-013   9.998121687E-013   9.998121687E-013   9.998121687E-013   1.400017040E+000   3.369041004E-001   3.699045021E-001   3.229039300E-001   1.630019839E+000   1.353016468E-005   4.569055615E-009   2.227027105E-005   1.841022407E-006   5.287064349E-006   4.727057531E-011   8.506103529E-011   4.913059797E-007   1.431017417E-011   1.976024050E-008   7.563092049E-011   3.942047978E-006   8.657105374E-010   1.165014180E-009   6.628080670E-006   3.153038376E-011   8.005097430E-005   2.033024744E-008   3.605043879E-014   4.330052702E-014   2.544030963E-009   3.744045569E-009   9.675117756E-015   4.182050896E-013   6.719081778E-013   9.209112084E-011   5.442066235E-008   5.091056981E-015   7.275088545E-014   2.129025912E-011   3.071037377E-010   8.223100082E-013   1.330016188E-007   2.879035042E-011   4.171050766E-006   3.086037560E-012   3.628044227E-012   4.252051751E-007   1.157014082E-006   9.129111110E-009   2.838034542E-004   2.829034432E-005   2.816034274E-007   8.086098416E-007   4.143050426E-011   4.045049232E-007   2.062025097E-005   8.591104562E-009   3.089037597E-009   2.441029710E-011   3.454042039E-015   2.641032144E-017   4.540055257E-018   2.849034675E-019   1.000010200E-020   1.000014141E-020   4.160050635E-019   1.199014593E-014   3.939047942E-006   3.002036538E-007   3.245039493E-009   3.521042854E-004   1.071013035E-007 
  1.716379219E+006   1.813015409E-008   1.000045295E+001   1.000040032E+004   2.213039614E-001   5.000089502E+003   9.998178968E+002   2.128038092E-003   3.566063833E-006   1.879033635E-005   7.425132910E-007   1.376024631E-004   2.172038880E-001   9.797175370E-002   2.446043784E-004   4.051072514E-003   8.218147105E-001   1.376024631E-004   4.438079442E-006   2.743049101E-006   2.939052609E-007   6.680119575E-012   1.680030073E-010   3.980071244E-009   9.998250528E-013   9.998417461E-013   9.998457473E-013   5.935106239E-001   4.787085689E-007   5.157092312E-007   1.770031684E-007   5.481098112E-004   7.069126538E-004   7.742138585E-004   2.159038647E-002   1.689030234E-004   1.449025938E-001   7.073126609E-004   4.620082700E-004   5.294094765E-004   1.134020299E-005   1.442025812E-005   9.999178987E-009   8.645154749E-014   2.200039381E-017   3.873069328E-018   1.000017901E-020   2.563045879E-020   1.438025741E-011   5.157092312E-013   9.998178968E-013   1.460026135E-004   1.074019225E-003   3.526063117E-007   1.030018437E+000   1.005592252E-012   8.268148000E-002   1.340023987E-001   1.550027746E-002   1.550027746E-001   1.001177922E-012   1.860033295E-002   6.199110965E-002   7.239129581E-002   2.070037054E-003   3.719066572E-002   9.998244105E-013   9.998178968E-013   9.998178968E-013   9.998178968E-013   1.400025061E+000   3.369060306E-001   3.699066214E-001   3.229057800E-001   1.630029178E+000   1.353024219E-005   4.569081794E-009   2.227039864E-005   1.841032955E-006   5.287094639E-006   4.727084613E-011   8.506152263E-011   4.913087945E-007   1.431025615E-011   1.976035371E-008   7.563135379E-011   3.942070563E-006   8.657154977E-010   1.165020855E-009   6.628118644E-006   3.153056440E-011   8.005143293E-005   2.033036391E-008   3.605064535E-014   4.330077510E-014   2.544045539E-009   3.744067019E-009   9.675173186E-015   4.182074855E-013   6.719120273E-013   9.209164845E-011   5.442097414E-008   5.091083899E-015   7.275130225E-014   2.129038110E-011   3.071054972E-010   8.223147193E-013   1.330023808E-007   2.879051537E-011   4.171074663E-006   3.086055241E-012   3.628065045E-012   4.252076112E-007   1.157020711E-006   9.129163413E-009   2.838050801E-004   2.829050640E-005   2.816050407E-007   8.086144743E-007   4.143074162E-011   4.045072407E-007   2.062036911E-005   8.591153782E-009   3.089055294E-009   2.441043695E-011   3.454061828E-015   2.641047275E-017   4.540081268E-018   2.849050998E-019   1.000015039E-020   1.000020761E-020   4.160074470E-019   1.199021463E-014   3.939070510E-006   3.002053737E-007   3.245058084E-009   3.521063027E-004   1.071019171E-007 
  2.607742163E+006   2.754577373E-008   1.000072635E+001   1.000049910E+004   2.213061472E-001   5.000138889E+003   9.998277722E+002   2.128059111E-003   3.566099056E-006   1.879052194E-005   7.425206250E-007   1.376038222E-004   2.172060333E-001   9.797272139E-002   2.446067944E-004   4.051112528E-003   8.218228278E-001   1.376038222E-004   4.438123278E-006   2.743076194E-006   2.939081639E-007   6.680185556E-012   1.680046667E-010   3.980110556E-009   9.998386446E-013   9.998640076E-013   9.998700868E-013   5.935164861E-001   4.787132972E-007   5.157143250E-007   1.770049168E-007   5.481152250E-004   7.069196361E-004   7.742215056E-004   2.159059972E-002   1.689046917E-004   1.449040250E-001   7.073196472E-004   4.620128333E-004   5.294147056E-004   1.134031500E-005   1.442040056E-005   9.999277751E-009   8.645240139E-014   2.200061111E-017   3.873107583E-018   1.000027779E-020   2.563071195E-020   1.438039944E-011   5.157143250E-013   9.998277722E-013   1.460040556E-004   1.074029833E-003   3.526097945E-007   1.030028611E+000   1.008601129E-012   8.268229667E-002   1.340037222E-001   1.550043056E-002   1.550043056E-001   1.001894148E-012   1.860051667E-002   6.199172194E-002   7.239201083E-002   2.070057500E-003   3.719103306E-002   9.998376690E-013   9.998277722E-013   9.998277722E-013   9.998277722E-013   1.400038889E+000   3.369093583E-001   3.699102750E-001   3.229089694E-001   1.630045278E+000   1.353037583E-005   4.569126927E-009   2.227061861E-005   1.841051139E-006   5.287146861E-006   4.727131302E-011   8.506236281E-011   4.913136472E-007   1.431039750E-011   1.976054889E-008   7.563210080E-011   3.942109500E-006   8.657240492E-010   1.165032363E-009   6.628184111E-006   3.153087584E-011   8.005222361E-005   2.033056472E-008   3.605100145E-014   4.330120280E-014   2.544070667E-009   3.744104000E-009   9.675268750E-015   4.182116159E-013   6.719186639E-013   9.209255806E-011   5.442151167E-008   5.091130430E-015   7.275202083E-014   2.129059139E-011   3.071085305E-010   8.223228413E-013   1.330036944E-007   2.879079975E-011   4.171115861E-006   3.086085722E-012   3.628100933E-012   4.252118111E-007   1.157032139E-006   9.129253583E-009   2.838078833E-004   2.829078583E-005   2.816078222E-007   8.086224611E-007   4.143115085E-011   4.045112361E-007   2.062057278E-005   8.591238639E-009   3.089085806E-009   2.441067806E-011   3.454095944E-015   2.641073361E-017   4.540126111E-018   2.849079139E-019   1.000023430E-020   1.000032124E-020   4.160115562E-019   1.199033306E-014   3.939109417E-006   3.002083389E-007   3.245090134E-009   3.521097806E-004   1.071029750E-007 
  3.499105107E+006   3.696148824E-008   1.000102844E+001   1.000060185E+004   2.213084210E-001   5.000190263E+003   9.998380449E+002   2.128080976E-003   3.566135695E-006   1.879071501E-005   7.425282540E-007   1.376052360E-004   2.172082650E-001   9.797372800E-002   2.446093076E-004   4.051154151E-003   8.218312716E-001   1.376052360E-004   4.438168877E-006   2.743104378E-006   2.939111836E-007   6.680254191E-012   1.680063928E-010   3.980151449E-009   9.998526338E-013   9.998866668E-013   9.998948241E-013   5.935225842E-001   4.787182157E-007   5.157196237E-007   1.770067354E-007   5.481208566E-004   7.069268993E-004   7.742294603E-004   2.159082155E-002   1.689064271E-004   1.449055138E-001   7.073269145E-004   4.620175803E-004   5.294201450E-004   1.134043152E-005   1.442054872E-005   9.999380489E-009   8.645328964E-014   2.200083716E-017   3.873147377E-018   1.000038054E-020   2.563097529E-020   1.438054720E-011   5.157196237E-013   9.998380449E-013   1.460055557E-004   1.074040868E-003   3.526134173E-007   1.030039194E+000   1.011610566E-012   8.268314618E-002   1.340050990E-001   1.550058981E-002   1.550058981E-001   1.002610809E-012   1.860070778E-002   6.199235888E-002   7.239275462E-002   2.070078769E-003   3.719141517E-002   9.998513248E-013   9.998380449E-013   9.998380449E-013   9.998380449E-013   1.400053274E+000   3.369128199E-001   3.699140756E-001   3.229122872E-001   1.630062026E+000   1.353051485E-005   4.569173876E-009   2.227084743E-005   1.841070055E-006   5.287201184E-006   4.727179870E-011   8.506323679E-011   4.913186952E-007   1.431054453E-011   1.976075192E-008   7.563287787E-011   3.942150003E-006   8.657329447E-010   1.165044334E-009   6.628252212E-006   3.153119980E-011   8.005304610E-005   2.033077361E-008   3.605137187E-014   4.330164770E-014   2.544096806E-009   3.744142469E-009   9.675368158E-015   4.182159126E-013   6.719255675E-013   9.209350426E-011   5.442207082E-008   5.091178986E-015   7.275276832E-014   2.129081014E-011   3.071116859E-010   8.223312902E-013   1.330050610E-007   2.879109557E-011   4.171158717E-006   3.086117430E-012   3.628138263E-012   4.252161799E-007   1.157044027E-006   9.129347381E-009   2.838107993E-004   2.829107651E-005   2.816107156E-007   8.086307693E-007   4.143157654E-011   4.045153922E-007   2.062078464E-005   8.591326909E-009   3.089117544E-009   2.441092886E-011   3.454131433E-015   2.641100497E-017   4.540172758E-018   2.849108412E-019   1.000032219E-020   1.000043885E-020   4.160158307E-019   1.199045625E-014   3.939149889E-006   3.002114233E-007   3.245123474E-009   3.521133983E-004   1.071040754E-007 
