     distance         timeN            Tn         E(H2)       E(13CO)         E(OH)        E(NH3)       E(r,CO)       E(v,CO)         E(CO)    E(r,o-H2O)    E(r,p-H2O)      E(v,H2O)        E(H2O)         E(C+)        E(Si+)          E(C)         E(Si)          E(O)         E(S+)         E(N+)        E(Fe+) 
  1.000000000E+005   1.056293554E-009   1.000002392E+001   2.967218595E-030   1.967865791E-020   8.669166270E-029   1.100860778E-029   6.804499899E-020   4.121328193E-162   6.804499899E-020   3.293264184E-022   8.064529714E-023   1.094992761E-128   4.099717156E-022   2.913137570E-029   6.482784958E-050   6.891070105E-026   4.420066084E-036   1.048565385E-027   0.000000000E+000   2.241221383E-035   3.549982249E-045 
  1.800422741E+005   1.901775700E-009   1.000004328E+001   3.686675633E-030   1.967874677E-020   8.669398388E-029   1.100873225E-029   6.804535884E-020   4.123831450E-162   6.804535884E-020   3.293288209E-022   8.064609105E-023   1.095495211E-128   4.099749119E-022   2.913191384E-029   6.483311336E-050   6.891107842E-026   4.420165192E-036   1.048613578E-027   0.000000000E+000   2.241253741E-035   3.550368182E-045 
  2.600845482E+005   2.747258528E-009   1.000006282E+001   4.406150892E-030   1.967883631E-020   8.669632693E-029   1.100885783E-029   6.804572186E-020   4.126360607E-162   6.804572186E-020   3.293312437E-022   8.064689195E-023   1.096002782E-128   4.099781357E-022   2.913245709E-029   6.483842842E-050   6.891145914E-026   4.420265244E-036   1.048662235E-027   0.000000000E+000   2.241286394E-035   3.550757889E-045 
  3.807925460E+005   4.022292808E-009   1.000009265E+001   5.491138622E-030   1.967897265E-020   8.669990210E-029   1.100904933E-029   6.804627537E-020   4.130224170E-162   6.804627537E-020   3.293349363E-022   8.064811309E-023   1.096777999E-128   4.099830494E-022   2.913328609E-029   6.484654160E-050   6.891203970E-026   4.420417929E-036   1.048736496E-027   0.000000000E+000   2.241336199E-035   3.551352783E-045 
  5.015005438E+005   5.297328656E-009   1.000012293E+001   6.576159024E-030   1.967911056E-020   8.670352788E-029   1.100924339E-029   6.804683621E-020   4.134147880E-162   6.804683621E-020   3.293386760E-022   8.064935039E-023   1.097565098E-128   4.099880263E-022   2.913412694E-029   6.485477353E-050   6.891262803E-026   4.420572797E-036   1.048811829E-027   0.000000000E+000   2.241386686E-035   3.551956415E-045 
  6.900017009E+005   7.288465272E-009   1.000017108E+001   8.270573675E-030   1.967932911E-020   8.670929250E-029   1.100955163E-029   6.804772687E-020   4.140397374E-162   6.804772687E-020   3.293446111E-022   8.065131533E-023   1.098818362E-128   4.099959265E-022   2.913546401E-029   6.486786927E-050   6.891356248E-026   4.420819068E-036   1.048931645E-027   0.000000000E+000   2.241466909E-035   3.552916767E-045 
  9.964050392E+005   1.052501025E-008   1.000025170E+001   1.102475761E-029   1.967969277E-020   8.671893409E-029   1.101006643E-029   6.804921389E-020   4.150880298E-162   6.804921389E-020   3.293545103E-022   8.065459583E-023   1.100919523E-128   4.100091061E-022   2.913770086E-029   6.488979325E-050   6.891512296E-026   4.421231086E-036   1.049132157E-027   0.000000000E+000   2.241600962E-035   3.554524696E-045 
  1.485958769E+006   1.569619840E-008   1.000038670E+001   1.542524912E-029   1.968029592E-020   8.673505571E-029   1.101092519E-029   6.805169331E-020   4.168492176E-162   6.805169331E-020   3.293709901E-022   8.066006555E-023   1.104446590E-128   4.100310556E-022   2.914144251E-029   6.492650728E-050   6.891772590E-026   4.421920329E-036   1.049467733E-027   0.000000000E+000   2.241824791E-035   3.557217833E-045 
  2.232727961E+006   2.358442303E-008   1.000060795E+001   2.213817391E-029   1.968127030E-020   8.676142037E-029   1.101232468E-029   6.805573098E-020   4.197513574E-162   6.805573098E-020   3.293977634E-022   8.066897247E-023   1.110250468E-128   4.100667359E-022   2.914756488E-029   6.498668522E-050   6.892196710E-026   4.423048243E-036   1.050017266E-027   0.000000000E+000   2.242190043E-035   3.561633453E-045 
  2.979497152E+006   3.147271315E-008   1.000084875E+001   2.885138337E-029   1.968231337E-020   8.679004484E-029   1.101383803E-029   6.806009353E-020   4.229322733E-162   6.806009353E-020   3.294266126E-022   8.067859568E-023   1.116600358E-128   4.101052082E-022   2.915421614E-029   6.505219604E-050   6.892655251E-026   4.424273758E-036   1.050614838E-027   0.000000000E+000   2.242585625E-035   3.566442184E-045 
