     distance         timeN            Tn          Mass     Mass_cons    Moment_kin    Moment_the    Moment_mag    Moment_vis        Moment      Mom_cons    Energy_kin    Energy_the    Energy_int    Energy_mag    Energy_vis        Energy    Energ_gain    Energ_cons 
  1.000000000E+005   1.056293554E-009   1.000002392E+001   7.094428049E-012   0.000000000E+000   2.128326281E-005   8.294153028E-010   3.978881555E-010   2.149661279E-009   2.128663977E-005   0.000000000E+000   3.192486221E+001   6.220608535E-003   2.648305691E-002   2.387326540E-003   6.448977373E-003   3.196640218E+001  -2.704312459E-015  -8.459858711E-017 
  1.800422741E+005   1.901775700E-009   1.000004328E+001   7.094428049E-012   3.529756085E-015   2.128324565E-005   8.294175767E-010   3.978887969E-010   2.166813224E-009   2.128663977E-005   4.297510517E-015   3.192481075E+001   6.220620575E-003   2.648305691E-002   2.387328464E-003   6.500427915E-003   3.196640218E+001  -7.033516216E-015   4.781226191E-015 
  2.600845482E+005   2.747258528E-009   1.000006282E+001   7.094428049E-012  -7.059512170E-015   2.128322843E-005   8.294198690E-010   3.978894409E-010   2.184033307E-009   2.128663977E-005  -7.162517528E-015   3.192475908E+001   6.220632733E-003   2.648305691E-002   2.387330396E-003   6.552082769E-003   3.196640218E+001  -1.136275487E-014  -7.246076730E-015 
  3.807925460E+005   4.022292808E-009   1.000009265E+001   7.094428049E-012  -1.058926826E-014   2.128320233E-005   8.294233607E-010   3.978904168E-010   2.210130966E-009   2.128663977E-005  -1.098252688E-014   3.192468077E+001   6.220651292E-003   2.648305691E-002   2.387333324E-003   6.630367411E-003   3.196640218E+001  -1.789154328E-014  -1.134018048E-014 
  5.015005438E+005   5.297328656E-009   1.000012293E+001   7.094428049E-012  -7.173375270E-015   2.128317607E-005   8.294268947E-010   3.978913986E-010   2.236383588E-009   2.128663977E-005  -6.207515191E-015   3.192460200E+001   6.220670122E-003   2.648305691E-002   2.387336269E-003   6.709116694E-003   3.196640218E+001  -2.442041279E-014  -4.431526682E-015 
  6.900017009E+005   7.288465272E-009   1.000017108E+001   7.094428049E-012  -7.059512170E-015   2.128313476E-005   8.294324990E-010   3.978929433E-010   2.277690398E-009   2.128663977E-005  -4.934178742E-015   3.192447806E+001   6.220700079E-003   2.648305691E-002   2.387340903E-003   6.833023233E-003   3.196640218E+001  -3.461625224E-014  -2.749979711E-015 
  9.964050392E+005   1.052501025E-008   1.000025170E+001   7.094428049E-012  -1.594083393E-014   2.128306680E-005   8.294418343E-010   3.978954845E-010   2.345639822E-009   2.128663977E-005  -1.543920445E-014   3.192427418E+001   6.220750229E-003   2.648305691E-002   2.387348526E-003   7.036847603E-003   3.196640218E+001  -5.118974200E-014  -1.449348369E-014 
  1.485958769E+006   1.569619840E-008   1.000038670E+001   7.094428049E-012  -1.605469703E-014   2.128295614E-005   8.294573442E-010   3.978996221E-010   2.456277566E-009   2.128663977E-005  -1.543920445E-014   3.192394221E+001   6.220834208E-003   2.648305691E-002   2.387360939E-003   7.368719133E-003   3.196640218E+001  -7.767108542E-014  -1.454392252E-014 
  2.232727961E+006   2.358442303E-008   1.000060795E+001   7.094428049E-012  -1.799036972E-014   2.128278243E-005   8.294824654E-010   3.979061173E-010   2.629954524E-009   2.128663977E-005  -1.925921380E-014   3.192342109E+001   6.220971839E-003   2.648305691E-002   2.387380425E-003   7.889677583E-003   3.196640218E+001  -1.180688676E-013  -2.036437869E-014 
  2.979497152E+006   3.147271315E-008   1.000084875E+001   7.094428049E-012  -1.639628633E-014   2.128260279E-005   8.295094390E-010   3.979128346E-010   2.809561901E-009   2.128663977E-005  -1.941838085E-014   3.192288218E+001   6.221121626E-003   2.648305691E-002   2.387400576E-003   8.428415870E-003   3.196640218E+001  -1.584704202E-013  -2.251736612E-014 
