     distance         timeN            Tn            nH          x(H)         x(H2)         x(He)          x(C)         x(CH)        x(CH2)        x(CH3)        x(CH4)          x(O)         x(O2)         x(OH)        x(H2O)         x(CO)        x(CO2)         x(C2)        x(C2H)       x(C2H2)         x(C3)        x(C3H)       x(C3H2)      x(CH3OH)       x(H2CO)      x(HCO2H)          x(N)         x(NH)        x(NH2)        x(NH3)         x(CN)        x(HCN)        x(HNC)         x(N2)         x(NO)          x(S)         x(SH)        x(H2S)         x(CS)         x(SO)        x(SO2)        x(OCS)         x(Si)        x(SiH)       x(SiH2)       x(SiH3)       x(SiH4)        x(SiO)       x(SiO2)         x(Mg)         x(Fe)     x(C54H18)          x(G)       x(H2O*)        x(O2*)        x(CO*)       x(CO2*)       x(CH4*)       x(NH3*)        x(N2*)     x(CH3OH*)      x(H2CO*)     x(HCO2H*)       x(OCS*)       x(H2S*)        x(Fe*)      x(SiH4*)       x(SiO*)      x(SiO2*)        x(O**)       x(Si**)       x(Mg**)       x(Fe**)        x(C**)         x(H+)        x(H2+)        x(H3+)        x(He+)         x(C+)        x(CH+)       x(CH2+)       x(CH3+)       x(CH4+)       x(CH5+)         x(O+)        x(O2+)        x(OH+)       x(H2O+)       x(H3O+)        x(CO+)       x(HCO+)      x(HCO2+)        x(C2+)       x(C2H+)      x(C2H2+)      x(C2H3+)        x(C3+)       x(C3H+)      x(C3H2+)      x(C3H3+)         x(N+)        x(NH+)       x(NH2+)       x(NH3+)       x(NH4+)        x(CN+)       x(C2N+)       x(HCN+)      x(H2CN+)      x(H2NC+)        x(N2+)       x(N2H+)        x(NO+)       x(HNO+)         x(S+)        x(SH+)       x(H2S+)       x(H3S+)        x(CS+)       x(HCS+)        x(SO+)       x(HSO+)      x(HSO2+)      x(HOCS+)        x(Si+)       x(SiH+)      x(SiH2+)      x(SiH3+)      x(SiH4+)      x(SiH5+)       x(SiO+)      x(SiOH+)        x(Fe+)    x(C54H18+)         x(G+)    x(C54H18-)         x(G-) 
  1.000000000E+005   1.056293554E-009   1.000002392E+001   1.000001267E+006   2.645999300E-007   4.999998677E-001   9.997997354E-002   1.025999729E-009   1.276999662E-014   1.076999715E-013   1.082999713E-013   1.428999622E-009   1.814999520E-005   1.067999717E-005   3.989998944E-010   4.202998888E-007   8.258997815E-005   1.149999696E-009   1.108999707E-012   6.536998270E-012   7.660997973E-012   2.181999423E-022   3.371999108E-019   4.314998858E-016   9.998001523E-017   9.998011249E-017   9.998013580E-017   6.252998345E-005   1.051999722E-013   7.890997912E-015   1.699999585E-014   1.318999651E-009   1.163999692E-008   1.430999621E-008   6.625998247E-007   2.264999401E-009   1.327999649E-005   2.106999442E-007   2.882999237E-007   6.022998406E-008   2.610999309E-007   5.940998428E-007   1.249999669E-011   9.286997542E-019   3.038999196E-024   2.329999383E-023   1.331999648E-023   3.573999054E-022   1.387999633E-015   1.074999716E-016   9.997997354E-017   1.479999608E-008   1.344999644E-007   4.086998918E-011   1.029999727E-004   1.036472970E-016   8.267997812E-006   1.339999645E-005   1.549999590E-006   1.549999590E-005   1.002231454E-016   1.859999508E-006   6.198998360E-006   7.238998084E-006   2.069999452E-007   3.718999016E-006   9.998382041E-017   9.997997354E-017   9.997997354E-017   9.997997354E-017   1.399999630E-004   3.368999109E-005   3.698999021E-005   3.228999146E-005   1.629999569E-004   1.750999537E-011   4.568998836E-015   2.417999360E-011   1.709999549E-012   4.681998762E-012   9.220997578E-019   4.929998697E-018   4.873998710E-014   1.902999497E-018   2.385999369E-015   7.481998061E-017   1.229999675E-011   7.978996965E-016   1.119999682E-015   2.676999292E-010   2.781999282E-017   4.342998851E-010   2.264999401E-015   3.695999018E-022   8.356997802E-022   3.613999044E-016   1.295999657E-014   2.039999462E-022   1.408999781E-020   3.607999045E-020   2.562999322E-016   2.592999314E-014   5.216459680E-024   2.701999285E-022   1.560999587E-019   6.709998225E-017   1.338999659E-019   9.724997427E-013   5.191998667E-018   1.792999526E-010   1.237999672E-019   1.192997514E-018   2.361999375E-013   1.626999569E-010   2.490999341E-015   2.055999456E-009   1.126999702E-010   5.343998586E-012   3.003999205E-010   2.784999267E-017   2.258999402E-012   4.001998941E-009   3.385999104E-010   6.516998276E-011   3.251999139E-014   4.455998821E-021   1.242999671E-022   3.856998979E-024   2.275999398E-023   9.999830661E-027   2.570000987E-025   5.410998068E-025   3.204999152E-018   1.989999473E-010   8.004997882E-011   2.085999451E-013   8.062997866E-009   5.242998614E-012 
  1.800422741E+005   1.901775700E-009   1.000004328E+001   1.000002073E+006   2.645999300E-007   4.999998677E-001   9.997997354E-002   1.025999729E-009   1.276999662E-014   1.076999715E-013   1.082999713E-013   1.428999622E-009   1.814999520E-005   1.067999717E-005   3.989998944E-010   4.202998888E-007   8.258997815E-005   1.149999696E-009   1.108999707E-012   6.536998270E-012   7.660997973E-012   2.181999423E-022   3.371999108E-019   4.314998858E-016   9.998004860E-017   9.998022371E-017   9.998026568E-017   6.252998345E-005   1.051999722E-013   7.890997912E-015   1.699999613E-014   1.318999651E-009   1.163999692E-008   1.430999621E-008   6.625998247E-007   2.264999401E-009   1.327999649E-005   2.106999442E-007   2.882999237E-007   6.022998406E-008   2.610999309E-007   5.940998428E-007   1.249999669E-011   9.286997542E-019   3.038999196E-024   2.329999383E-023   1.331999648E-023   3.573999054E-022   1.387999633E-015   1.074999716E-016   9.997997354E-017   1.479999608E-008   1.344999644E-007   4.086998918E-011   1.029999727E-004   1.065827143E-016   8.267997812E-006   1.339999645E-005   1.549999590E-006   1.549999590E-005   1.004177862E-016   1.859999508E-006   6.198998360E-006   7.238998084E-006   2.069999452E-007   3.718999016E-006   9.998689953E-017   9.997997354E-017   9.997997354E-017   9.997997354E-017   1.399999630E-004   3.368999109E-005   3.698999021E-005   3.228999146E-005   1.629999569E-004   1.750999537E-011   4.568998872E-015   2.417999360E-011   1.709999550E-012   4.681998762E-012   9.220997593E-019   4.929998699E-018   4.873998710E-014   1.902999497E-018   2.385999369E-015   7.481998094E-017   1.229999675E-011   7.978996226E-016   1.119999665E-015   2.676999292E-010   2.781999296E-017   4.342998851E-010   2.264999401E-015   3.695999014E-022   8.356997812E-022   3.613999044E-016   1.295999657E-014   2.039999464E-022   1.408999904E-020   3.607999045E-020   2.562999322E-016   2.592999314E-014   5.230436127E-024   2.701999287E-022   1.560999587E-019   6.709998225E-017   1.338999669E-019   9.724997427E-013   5.191998700E-018   1.792999526E-010   1.237999672E-019   1.192995777E-018   2.361999375E-013   1.626999569E-010   2.490999341E-015   2.055999456E-009   1.126999702E-010   5.343998586E-012   3.003999205E-010   2.784999271E-017   2.258999402E-012   4.001998941E-009   3.385999104E-010   6.516998276E-011   3.251999139E-014   4.455998821E-021   1.242999671E-022   3.856998979E-024   2.275999398E-023   9.999697238E-027   2.570002321E-025   5.410997668E-025   3.204999152E-018   1.989999473E-010   8.004997882E-011   2.085999453E-013   8.062997866E-009   5.242998615E-012 
  2.600845482E+005   2.747258528E-009   1.000006282E+001   1.000002882E+006   2.645999300E-007   4.999998677E-001   9.997997354E-002   1.025999728E-009   1.276999662E-014   1.076999715E-013   1.082999713E-013   1.428999622E-009   1.814999520E-005   1.067999717E-005   3.989998944E-010   4.202998888E-007   8.258997815E-005   1.149999696E-009   1.108999707E-012   6.536998270E-012   7.660997973E-012   2.181999423E-022   3.371999108E-019   4.314998858E-016   9.998008198E-017   9.998033492E-017   9.998039555E-017   6.252998345E-005   1.051999722E-013   7.890997912E-015   1.699999641E-014   1.318999651E-009   1.163999692E-008   1.430999621E-008   6.625998247E-007   2.264999401E-009   1.327999649E-005   2.106999442E-007   2.882999237E-007   6.022998406E-008   2.610999309E-007   5.940998428E-007   1.249999669E-011   9.286997541E-019   3.038999196E-024   2.329999383E-023   1.331999648E-023   3.573999054E-022   1.387999633E-015   1.074999716E-016   9.997997354E-017   1.479999608E-008   1.344999644E-007   4.086998918E-011   1.029999727E-004   1.095181389E-016   8.267997812E-006   1.339999645E-005   1.549999590E-006   1.549999590E-005   1.006124276E-016   1.859999508E-006   6.198998360E-006   7.238998084E-006   2.069999452E-007   3.718999016E-006   9.998997866E-017   9.997997354E-017   9.997997354E-017   9.997997354E-017   1.399999630E-004   3.368999109E-005   3.698999021E-005   3.228999146E-005   1.629999569E-004   1.750999537E-011   4.568998908E-015   2.417999360E-011   1.709999551E-012   4.681998763E-012   9.220997607E-019   4.929998700E-018   4.873998710E-014   1.902999498E-018   2.385999369E-015   7.481998126E-017   1.229999675E-011   7.978995487E-016   1.119999648E-015   2.676999292E-010   2.781999311E-017   4.342998851E-010   2.264999401E-015   3.695999011E-022   8.356997822E-022   3.613999044E-016   1.295999657E-014   2.039999466E-022   1.409000027E-020   3.607999045E-020   2.562999322E-016   2.592999314E-014   5.244412776E-024   2.701999292E-022   1.560999587E-019   6.709998225E-017   1.338999680E-019   9.724997427E-013   5.191998733E-018   1.792999526E-010   1.237999672E-019   1.192994040E-018   2.361999375E-013   1.626999569E-010   2.490999341E-015   2.055999456E-009   1.126999702E-010   5.343998586E-012   3.003999205E-010   2.784999274E-017   2.258999402E-012   4.001998941E-009   3.385999104E-010   6.516998276E-011   3.251999140E-014   4.455998821E-021   1.242999671E-022   3.856998979E-024   2.275999397E-023   9.999563816E-027   2.570003655E-025   5.410997268E-025   3.204999152E-018   1.989999473E-010   8.004997883E-011   2.085999456E-013   8.062997866E-009   5.242998616E-012 
  3.807925460E+005   4.022292808E-009   1.000009265E+001   1.000004109E+006   2.645999300E-007   4.999998677E-001   9.997997354E-002   1.025999728E-009   1.276999662E-014   1.076999715E-013   1.082999713E-013   1.428999622E-009   1.814999520E-005   1.067999717E-005   3.989998944E-010   4.202998888E-007   8.258997815E-005   1.149999696E-009   1.108999707E-012   6.536998270E-012   7.660997973E-012   2.181999423E-022   3.371999108E-019   4.314998858E-016   9.998013230E-017   9.998050265E-017   9.998059141E-017   6.252998345E-005   1.051999722E-013   7.890997912E-015   1.699999682E-014   1.318999651E-009   1.163999692E-008   1.430999621E-008   6.625998247E-007   2.264999401E-009   1.327999649E-005   2.106999442E-007   2.882999237E-007   6.022998406E-008   2.610999309E-007   5.940998428E-007   1.249999669E-011   9.286997541E-019   3.038999196E-024   2.329999383E-023   1.331999648E-023   3.573999054E-022   1.387999633E-015   1.074999716E-016   9.997997354E-017   1.479999608E-008   1.344999644E-007   4.086998918E-011   1.029999727E-004   1.139449289E-016   8.267997812E-006   1.339999645E-005   1.549999590E-006   1.549999590E-005   1.009059579E-016   1.859999508E-006   6.198998360E-006   7.238998084E-006   2.069999452E-007   3.718999016E-006   9.999462217E-017   9.997997354E-017   9.997997355E-017   9.997997354E-017   1.399999630E-004   3.368999109E-005   3.698999021E-005   3.228999146E-005   1.629999569E-004   1.750999536E-011   4.568998961E-015   2.417999360E-011   1.709999552E-012   4.681998763E-012   9.220997629E-019   4.929998702E-018   4.873998710E-014   1.902999499E-018   2.385999369E-015   7.481998175E-017   1.229999675E-011   7.978994372E-016   1.119999623E-015   2.676999292E-010   2.781999333E-017   4.342998851E-010   2.264999401E-015   3.695999005E-022   8.356997838E-022   3.613999044E-016   1.295999657E-014   2.039999469E-022   1.409000213E-020   3.607999045E-020   2.562999322E-016   2.592999314E-014   5.265490697E-024   2.701999304E-022   1.560999587E-019   6.709998225E-017   1.338999696E-019   9.724997427E-013   5.191998782E-018   1.792999526E-010   1.237999672E-019   1.192991421E-018   2.361999375E-013   1.626999569E-010   2.490999341E-015   2.055999456E-009   1.126999702E-010   5.343998586E-012   3.003999205E-010   2.784999279E-017   2.258999402E-012   4.001998941E-009   3.385999104E-010   6.516998276E-011   3.251999140E-014   4.455998821E-021   1.242999671E-022   3.856998979E-024   2.275999397E-023   9.999362612E-027   2.570005666E-025   5.410996665E-025   3.204999152E-018   1.989999473E-010   8.004997883E-011   2.085999459E-013   8.062997866E-009   5.242998617E-012 
  5.015005438E+005   5.297328656E-009   1.000012293E+001   1.000005343E+006   2.645999300E-007   4.999998677E-001   9.997997354E-002   1.025999728E-009   1.276999662E-014   1.076999715E-013   1.082999713E-013   1.428999622E-009   1.814999520E-005   1.067999717E-005   3.989998944E-010   4.202998888E-007   8.258997815E-005   1.149999696E-009   1.108999707E-012   6.536998270E-012   7.660997973E-012   2.181999423E-022   3.371999108E-019   4.314998858E-016   9.998018262E-017   9.998067037E-017   9.998078727E-017   6.252998345E-005   1.051999722E-013   7.890997912E-015   1.699999724E-014   1.318999651E-009   1.163999692E-008   1.430999621E-008   6.625998247E-007   2.264999401E-009   1.327999649E-005   2.106999442E-007   2.882999237E-007   6.022998406E-008   2.610999309E-007   5.940998428E-007   1.249999669E-011   9.286997540E-019   3.038999196E-024   2.329999383E-023   1.331999648E-023   3.573999054E-022   1.387999633E-015   1.074999716E-016   9.997997354E-017   1.479999608E-008   1.344999644E-007   4.086998918E-011   1.029999727E-004   1.183717359E-016   8.267997812E-006   1.339999645E-005   1.549999590E-006   1.549999590E-005   1.011994894E-016   1.859999508E-006   6.198998360E-006   7.238998084E-006   2.069999452E-007   3.718999016E-006   9.999926570E-017   9.997997354E-017   9.997997355E-017   9.997997354E-017   1.399999630E-004   3.368999109E-005   3.698999021E-005   3.228999146E-005   1.629999569E-004   1.750999536E-011   4.568999015E-015   2.417999360E-011   1.709999554E-012   4.681998764E-012   9.220997651E-019   4.929998704E-018   4.873998710E-014   1.902999499E-018   2.385999369E-015   7.481998225E-017   1.229999675E-011   7.978993257E-016   1.119999597E-015   2.676999292E-010   2.781999355E-017   4.342998851E-010   2.264999401E-015   3.695999000E-022   8.356997854E-022   3.613999044E-016   1.295999657E-014   2.039999472E-022   1.409000398E-020   3.607999045E-020   2.562999322E-016   2.592999314E-014   5.286569103E-024   2.701999322E-022   1.560999587E-019   6.709998225E-017   1.338999712E-019   9.724997427E-013   5.191998831E-018   1.792999526E-010   1.237999672E-019   1.192988802E-018   2.361999375E-013   1.626999569E-010   2.490999341E-015   2.055999456E-009   1.126999702E-010   5.343998586E-012   3.003999205E-010   2.784999284E-017   2.258999402E-012   4.001998941E-009   3.385999104E-010   6.516998276E-011   3.251999140E-014   4.455998821E-021   1.242999671E-022   3.856998979E-024   2.275999397E-023   9.999161412E-027   2.570007678E-025   5.410996061E-025   3.204999152E-018   1.989999473E-010   8.004997883E-011   2.085999463E-013   8.062997866E-009   5.242998619E-012 
  6.900017009E+005   7.288465272E-009   1.000017108E+001   1.000007284E+006   2.645999300E-007   4.999998677E-001   9.997997354E-002   1.025999728E-009   1.276999662E-014   1.076999715E-013   1.082999713E-013   1.428999622E-009   1.814999520E-005   1.067999717E-005   3.989998944E-010   4.202998888E-007   8.258997815E-005   1.149999696E-009   1.108999707E-012   6.536998270E-012   7.660997973E-012   2.181999423E-022   3.371999108E-019   4.314998858E-016   9.998026121E-017   9.998093229E-017   9.998109313E-017   6.252998345E-005   1.051999722E-013   7.890997912E-015   1.699999790E-014   1.318999651E-009   1.163999692E-008   1.430999621E-008   6.625998247E-007   2.264999401E-009   1.327999649E-005   2.106999442E-007   2.882999237E-007   6.022998406E-008   2.610999309E-007   5.940998428E-007   1.249999669E-011   9.286997539E-019   3.038999195E-024   2.329999383E-023   1.331999648E-023   3.573999054E-022   1.387999633E-015   1.074999716E-016   9.997997354E-017   1.479999608E-008   1.344999644E-007   4.086998917E-011   1.029999727E-004   1.252848020E-016   8.267997812E-006   1.339999645E-005   1.549999590E-006   1.549999590E-005   1.016578791E-016   1.859999508E-006   6.198998360E-006   7.238998084E-006   2.069999452E-007   3.718999016E-006   1.000065172E-016   9.997997354E-017   9.997997355E-017   9.997997354E-017   1.399999630E-004   3.368999109E-005   3.698999021E-005   3.228999146E-005   1.629999569E-004   1.750999536E-011   4.568999098E-015   2.417999361E-011   1.709999556E-012   4.681998765E-012   9.220997686E-019   4.929998707E-018   4.873998710E-014   1.902999500E-018   2.385999369E-015   7.481998302E-017   1.229999675E-011   7.978991516E-016   1.119999557E-015   2.676999292E-010   2.781999389E-017   4.342998851E-010   2.264999401E-015   3.695998992E-022   8.356997878E-022   3.613999044E-016   1.295999657E-014   2.039999476E-022   1.409000688E-020   3.607999045E-020   2.562999322E-016   2.592999314E-014   5.319486771E-024   2.701999360E-022   1.560999587E-019   6.709998226E-017   1.338999736E-019   9.724997427E-013   5.191998909E-018   1.792999526E-010   1.237999672E-019   1.192984711E-018   2.361999376E-013   1.626999569E-010   2.490999341E-015   2.055999456E-009   1.126999702E-010   5.343998586E-012   3.003999205E-010   2.784999292E-017   2.258999402E-012   4.001998941E-009   3.385999104E-010   6.516998276E-011   3.251999140E-014   4.455998821E-021   1.242999671E-022   3.856998980E-024   2.275999397E-023   9.998847219E-027   2.570010819E-025   5.410995119E-025   3.204999152E-018   1.989999473E-010   8.004997884E-011   2.085999469E-013   8.062997867E-009   5.242998621E-012 
  9.964050392E+005   1.052501025E-008   1.000025170E+001   1.000010477E+006   2.645999300E-007   4.999998677E-001   9.997997354E-002   1.025999728E-009   1.276999662E-014   1.076999715E-013   1.082999713E-013   1.428999622E-009   1.814999520E-005   1.067999717E-005   3.989998944E-010   4.202998888E-007   8.258997814E-005   1.149999696E-009   1.108999707E-012   6.536998270E-012   7.660997973E-012   2.181999423E-022   3.371999108E-019   4.314998858E-016   9.998038896E-017   9.998135803E-017   9.998159030E-017   6.252998345E-005   1.051999722E-013   7.890997912E-015   1.699999896E-014   1.318999651E-009   1.163999692E-008   1.430999621E-008   6.625998247E-007   2.264999401E-009   1.327999649E-005   2.106999442E-007   2.882999237E-007   6.022998406E-008   2.610999309E-007   5.940998428E-007   1.249999669E-011   9.286997538E-019   3.038999195E-024   2.329999383E-023   1.331999648E-023   3.573999054E-022   1.387999633E-015   1.074999716E-016   9.997997354E-017   1.479999608E-008   1.344999644E-007   4.086998917E-011   1.029999727E-004   1.365218865E-016   8.267997812E-006   1.339999645E-005   1.549999590E-006   1.549999590E-005   1.024029846E-016   1.859999508E-006   6.198998360E-006   7.238998084E-006   2.069999452E-007   3.718999016E-006   1.000183044E-016   9.997997354E-017   9.997997355E-017   9.997997354E-017   1.399999630E-004   3.368999109E-005   3.698999021E-005   3.228999146E-005   1.629999569E-004   1.750999536E-011   4.568999232E-015   2.417999361E-011   1.709999560E-012   4.681998767E-012   9.220997742E-019   4.929998712E-018   4.873998710E-014   1.902999502E-018   2.385999369E-015   7.481998427E-017   1.229999675E-011   7.978988686E-016   1.119999491E-015   2.676999292E-010   2.781999444E-017   4.342998851E-010   2.264999401E-015   3.695998979E-022   8.356997918E-022   3.613999044E-016   1.295999657E-014   2.039999483E-022   1.409001159E-020   3.607999045E-020   2.562999322E-016   2.592999314E-014   5.372996282E-024   2.701999449E-022   1.560999587E-019   6.709998226E-017   1.338999777E-019   9.724997427E-013   5.191999034E-018   1.792999526E-010   1.237999672E-019   1.192978063E-018   2.361999376E-013   1.626999570E-010   2.490999341E-015   2.055999456E-009   1.126999702E-010   5.343998586E-012   3.003999205E-010   2.784999305E-017   2.258999403E-012   4.001998941E-009   3.385999104E-010   6.516998276E-011   3.251999140E-014   4.455998822E-021   1.242999671E-022   3.856998980E-024   2.275999396E-023   9.998336525E-027   2.570015925E-025   5.410993588E-025   3.204999152E-018   1.989999474E-010   8.004997885E-011   2.085999478E-013   8.062997867E-009   5.242998625E-012 
  1.485958769E+006   1.569619840E-008   1.000038670E+001   1.000015676E+006   2.645999300E-007   4.999998677E-001   9.997997354E-002   1.025999728E-009   1.276999662E-014   1.076999715E-013   1.082999713E-013   1.428999622E-009   1.814999520E-005   1.067999717E-005   3.989998945E-010   4.202998888E-007   8.258997814E-005   1.149999696E-009   1.108999706E-012   6.536998270E-012   7.660997973E-012   2.181999423E-022   3.371999108E-019   4.314998858E-016   9.998059306E-017   9.998203826E-017   9.998238466E-017   6.252998345E-005   1.051999722E-013   7.890997912E-015   1.700000066E-014   1.318999651E-009   1.163999692E-008   1.430999621E-008   6.625998247E-007   2.264999401E-009   1.327999649E-005   2.106999442E-007   2.882999237E-007   6.022998406E-008   2.610999309E-007   5.940998428E-007   1.249999669E-011   9.286997536E-019   3.038999195E-024   2.329999383E-023   1.331999648E-023   3.573999054E-022   1.387999633E-015   1.074999716E-016   9.997997354E-017   1.479999608E-008   1.344999644E-007   4.086998916E-011   1.029999727E-004   1.544760931E-016   8.267997813E-006   1.339999645E-005   1.549999590E-006   1.549999590E-005   1.035934872E-016   1.859999508E-006   6.198998360E-006   7.238998084E-006   2.069999452E-007   3.718999016E-006   1.000371376E-016   9.997997354E-017   9.997997355E-017   9.997997354E-017   1.399999630E-004   3.368999109E-005   3.698999021E-005   3.228999146E-005   1.629999569E-004   1.750999536E-011   4.568999443E-015   2.417999361E-011   1.709999565E-012   4.681998770E-012   9.220997831E-019   4.929998721E-018   4.873998711E-014   1.902999505E-018   2.385999369E-015   7.481998626E-017   1.229999675E-011   7.978984165E-016   1.119999387E-015   2.676999293E-010   2.781999532E-017   4.342998852E-010   2.264999401E-015   3.695998957E-022   8.356997981E-022   3.613999044E-016   1.295999657E-014   2.039999494E-022   1.409001911E-020   3.607999045E-020   2.562999322E-016   2.592999314E-014   5.458498435E-024   2.701999664E-022   1.560999587E-019   6.709998227E-017   1.338999841E-019   9.724997427E-013   5.191999235E-018   1.792999526E-010   1.237999672E-019   1.192967440E-018   2.361999376E-013   1.626999570E-010   2.490999341E-015   2.055999456E-009   1.126999702E-010   5.343998586E-012   3.003999206E-010   2.784999326E-017   2.258999403E-012   4.001998941E-009   3.385999104E-010   6.516998276E-011   3.251999140E-014   4.455998822E-021   1.242999671E-022   3.856998980E-024   2.275999396E-023   9.997520615E-027   2.570024083E-025   5.410991141E-025   3.204999152E-018   1.989999474E-010   8.004997886E-011   2.085999493E-013   8.062997867E-009   5.242998631E-012 
  2.232727961E+006   2.358442303E-008   1.000060795E+001   1.000023838E+006   2.645999300E-007   4.999998677E-001   9.997997354E-002   1.025999728E-009   1.276999662E-014   1.076999715E-013   1.082999713E-013   1.428999622E-009   1.814999520E-005   1.067999717E-005   3.989998945E-010   4.202998888E-007   8.258997814E-005   1.149999696E-009   1.108999706E-012   6.536998270E-012   7.660997973E-012   2.181999423E-022   3.371999108E-019   4.314998858E-016   9.998090440E-017   9.998307590E-017   9.998359638E-017   6.252998345E-005   1.051999721E-013   7.890997912E-015   1.700000326E-014   1.318999651E-009   1.163999692E-008   1.430999621E-008   6.625998247E-007   2.264999401E-009   1.327999649E-005   2.106999442E-007   2.882999237E-007   6.022998406E-008   2.610999309E-007   5.940998428E-007   1.249999669E-011   9.286997533E-019   3.038999195E-024   2.329999383E-023   1.331999648E-023   3.573999054E-022   1.387999633E-015   1.074999716E-016   9.997997354E-017   1.479999608E-008   1.344999644E-007   4.086998915E-011   1.029999727E-004   1.818641656E-016   8.267997813E-006   1.339999645E-005   1.549999590E-006   1.549999590E-005   1.054095282E-016   1.859999508E-006   6.198998360E-006   7.238998084E-006   2.069999452E-007   3.718999016E-006   1.000658665E-016   9.997997354E-017   9.997997355E-017   9.997997354E-017   1.399999630E-004   3.368999109E-005   3.698999021E-005   3.228999146E-005   1.629999569E-004   1.750999536E-011   4.568999756E-015   2.417999361E-011   1.709999574E-012   4.681998775E-012   9.220997967E-019   4.929998734E-018   4.873998711E-014   1.902999509E-018   2.385999369E-015   7.481998931E-017   1.229999675E-011   7.978977270E-016   1.119999228E-015   2.676999293E-010   2.781999667E-017   4.342998852E-010   2.264999401E-015   3.695998925E-022   8.356998078E-022   3.613999044E-016   1.295999657E-014   2.039999512E-022   1.409003059E-020   3.607999046E-020   2.562999322E-016   2.592999314E-014   5.588944710E-024   2.702000163E-022   1.560999587E-019   6.709998228E-017   1.338999939E-019   9.724997427E-013   5.191999540E-018   1.792999526E-010   1.237999673E-019   1.192951237E-018   2.361999377E-013   1.626999570E-010   2.490999341E-015   2.055999456E-009   1.126999702E-010   5.343998586E-012   3.003999206E-010   2.784999357E-017   2.258999403E-012   4.001998941E-009   3.385999104E-010   6.516998276E-011   3.251999140E-014   4.455998822E-021   1.242999671E-022   3.856998980E-024   2.275999395E-023   9.996276132E-027   2.570036526E-025   5.410987408E-025   3.204999152E-018   1.989999474E-010   8.004997889E-011   2.085999515E-013   8.062997867E-009   5.242998641E-012 
  2.979497152E+006   3.147271315E-008   1.000084875E+001   1.000032279E+006   2.645999300E-007   4.999998677E-001   9.997997354E-002   1.025999728E-009   1.276999662E-014   1.076999715E-013   1.082999713E-013   1.428999622E-009   1.814999520E-005   1.067999717E-005   3.989998945E-010   4.202998888E-007   8.258997814E-005   1.149999696E-009   1.108999706E-012   6.536998270E-012   7.660997973E-012   2.181999422E-022   3.371999108E-019   4.314998858E-016   9.998121574E-017   9.998411354E-017   9.998480811E-017   6.252998345E-005   1.051999721E-013   7.890997912E-015   1.700000585E-014   1.318999651E-009   1.163999692E-008   1.430999621E-008   6.625998247E-007   2.264999401E-009   1.327999649E-005   2.106999442E-007   2.882999237E-007   6.022998406E-008   2.610999309E-007   5.940998428E-007   1.249999669E-011   9.286997529E-019   3.038999194E-024   2.329999383E-023   1.331999648E-023   3.573999054E-022   1.387999633E-015   1.074999716E-016   9.997997354E-017   1.479999608E-008   1.344999644E-007   4.086998914E-011   1.029999727E-004   2.092529794E-016   8.267997813E-006   1.339999645E-005   1.549999590E-006   1.549999590E-005   1.072256182E-016   1.859999508E-006   6.198998360E-006   7.238998084E-006   2.069999452E-007   3.718999016E-006   1.000945962E-016   9.997997354E-017   9.997997356E-017   9.997997354E-017   1.399999630E-004   3.368999109E-005   3.698999021E-005   3.228999146E-005   1.629999569E-004   1.750999535E-011   4.569000059E-015   2.417999362E-011   1.709999583E-012   4.681998779E-012   9.220998104E-019   4.929998746E-018   4.873998711E-014   1.902999513E-018   2.385999369E-015   7.481999235E-017   1.229999675E-011   7.978970374E-016   1.119999068E-015   2.676999293E-010   2.781999802E-017   4.342998852E-010   2.264999401E-015   3.695998892E-022   8.356998175E-022   3.613999044E-016   1.295999657E-014   2.039999529E-022   1.409004208E-020   3.607999046E-020   2.562999322E-016   2.592999314E-014   5.719419661E-024   2.702000868E-022   1.560999588E-019   6.709998230E-017   1.339000037E-019   9.724997428E-013   5.191999846E-018   1.792999526E-010   1.237999673E-019   1.192935034E-018   2.361999377E-013   1.626999570E-010   2.490999341E-015   2.055999456E-009   1.126999702E-010   5.343998586E-012   3.003999206E-010   2.784999388E-017   2.258999403E-012   4.001998941E-009   3.385999104E-010   6.516998276E-011   3.251999140E-014   4.455998823E-021   1.242999672E-022   3.856998980E-024   2.275999394E-023   9.995031782E-027   2.570048967E-025   5.410983675E-025   3.204999152E-018   1.989999474E-010   8.004997891E-011   2.085999538E-013   8.062997867E-009   5.242998650E-012 
