    V   J   Energy(K)   log(N/g)
    0     0   0.000000E+000   4.554436E+001 
    0     1   1.705020E+002   4.453509E+001 
    0     2   5.098500E+002   4.176434E+001 
    0     3   1.015153E+003   3.996118E+001 
    0     4   1.681678E+003   3.845382E+001 
    0     5   2.503870E+003   3.715313E+001 
    0     6   3.474434E+003   3.593428E+001 
    0     7   4.586377E+003   3.485323E+001 
    0     8   5.829758E+003   3.394492E+001 
    1     0   5.987124E+003   3.345947E+001 
    1     1   6.149208E+003   3.335283E+001 
    1     2   6.471607E+003   3.323389E+001 
    1     3   6.951587E+003   3.301683E+001 
    0     9   7.196995E+003   3.321219E+001 
    1     4   7.584601E+003   3.278979E+001 
    1     5   8.365297E+003   3.251972E+001 
    0    10   8.677322E+003   3.260293E+001 
    1     6   9.286624E+003   3.224282E+001 
    0    11   1.026179E+004   3.207937E+001 
    1     7   1.034152E+004   3.196296E+001 
    1     8   1.152183E+004   3.167469E+001 
    2     0   1.163573E+004   3.160120E+001 
    2     1   1.178951E+004   3.156702E+001 
    0    12   1.194031E+004   3.162158E+001 
    2     2   1.209524E+004   3.149113E+001 
    2     3   1.255050E+004   3.139230E+001 
    1     9   1.281752E+004   3.140012E+001 
    2     4   1.315072E+004   3.125534E+001 
    0    13   1.370318E+004   3.118959E+001 
    2     5   1.389070E+004   3.111184E+001 
    1    10   1.422111E+004   3.110252E+001 
    2     6   1.476414E+004   3.092882E+001 
    0    14   1.554025E+004   3.079942E+001 
    1    11   1.572229E+004   3.082138E+001 
    2     7   1.576338E+004   3.075429E+001 
    2     8   1.688055E+004   3.054492E+001 
    3     0   1.695284E+004   3.052774E+001 
    3     1   1.709837E+004   3.051111E+001 
    1    12   1.731122E+004   3.051781E+001 
    3     2   1.738779E+004   3.044648E+001 
    0    15   1.744391E+004   3.038337E+001 
    3     3   1.781869E+004   3.038339E+001 
    2     9   1.810741E+004   3.034395E+001 
    3     4   1.838652E+004   3.027323E+001 
    1    13   1.897972E+004   3.022104E+001 
    3     5   1.908649E+004   3.017141E+001 
    0    16   1.940345E+004   3.005356E+001 
    2    10   1.943491E+004   3.012330E+001 
    3     6   1.991225E+004   3.002498E+001 
    1    14   2.071785E+004   2.990186E+001 
    2    11   2.085383E+004   2.986851E+001 
    3     7   2.085653E+004   2.989090E+001 
    0    17   2.141168E+004   2.957505E+001 
    3     8   2.191171E+004   2.971730E+001 
    4     0   2.194278E+004   2.971851E+001 
    4     1   2.208004E+004   2.970949E+001 
    4     2   2.235326E+004   2.965047E+001 
    2    12   2.235535E+004   2.964552E+001 
    1    15   2.251712E+004   2.956048E+001 
    4     3   2.275983E+004   2.959266E+001 
    3     9   2.306999E+004   2.951615E+001 
    4     4   2.329564E+004   2.949351E+001 
    0    18   2.345990E+004   2.931029E+001 
    2    13   2.393080E+004   2.938374E+001 
    4     5   2.395581E+004   2.941071E+001 
    3    10   2.432262E+004   2.930462E+001 
    1    16   2.436840E+004   2.927700E+001 
    4     6   2.473404E+004   2.924443E+001 
    0    19   2.553963E+004   2.881384E+001 
    2    14   2.557053E+004   2.913292E+001 
    4     7   2.562381E+004   2.909883E+001 
    3    11   2.565988E+004   2.909386E+001 
    1    17   2.626369E+004   2.889179E+001 
    5     0   2.660677E+004   2.897632E+001 
    4     8   2.661704E+004   2.892002E+001 
    5     1   2.673596E+004   2.897816E+001 
    5     2   2.699289E+004   2.889382E+001 
    3    12   2.707418E+004   2.887627E+001 
    2    15   2.726625E+004   2.882245E+001 
    5     3   2.737523E+004   2.883790E+001 
    0    20   2.764451E+004   2.860102E+001 
    4     9   2.770677E+004   2.874517E+001 
    5     4   2.787879E+004   2.872117E+001 
    1    18   2.819486E+004   2.862072E+001 
    5     5   2.849899E+004   2.863051E+001 
    3    13   2.855661E+004   2.861410E+001 
    4    10   2.888376E+004   2.849916E+001 
    2    16   2.900940E+004   2.854100E+001 
    5     6   2.922954E+004   2.842107E+001 
    0    21   2.976661E+004   2.807621E+001 
    5     7   3.006431E+004   2.825702E+001 
    3    14   3.009785E+004   2.836324E+001 
    4    11   3.013990E+004   2.827491E+001 
    1    19   3.015462E+004   2.820650E+001 
    2    17   3.079235E+004   2.817859E+001 
    6     0   3.094320E+004   2.810804E+001 
    5     8   3.099552E+004   2.808079E+001 
    6     1   3.106412E+004   2.810033E+001 
    6     2   3.130464E+004   2.800476E+001 
    4    12   3.146651E+004   2.806956E+001 
    6     3   3.166233E+004   2.790831E+001 
    3    15   3.169026E+004   2.803554E+001 
    0    22   3.190031E+004   2.789937E+001 
    5     9   3.201575E+004   2.786917E+001 
    6     4   3.213322E+004   2.785494E+001 
    1    20   3.213454E+004   2.796947E+001 
    2    18   3.260639E+004   2.793210E+001 
    6     5   3.271272E+004   2.770188E+001 
    4    13   3.285516E+004   2.777838E+001 
    5    10   3.311646E+004   2.772331E+001 
    3    16   3.332489E+004   2.783333E+001 
    6     6   3.339496E+004   2.757037E+001 
    0    23   3.403759E+004   2.741560E+001 
    1    21   3.412953E+004   2.765258E+001 
    6     7   3.417363E+004   2.746079E+001 
    5    11   3.428978E+004   2.754918E+001 
    4    14   3.429681E+004   2.765517E+001 
    2    19   3.444505E+004   2.763104E+001 
    7     0   3.494622E+004   2.730776E+001 
    3    17   3.499413E+004   2.756902E+001 
    6     8   3.504117E+004   2.735056E+001 
    7     1   3.505878E+004   2.729307E+001 
    7     2   3.528236E+004   2.724814E+001 
    5    12   3.552731E+004   2.740555E+001 
    7     3   3.561473E+004   2.720140E+001 
    4    15   3.578419E+004   2.742607E+001 
    6     9   3.599047E+004   2.722407E+001 
    7     4   3.605189E+004   2.712973E+001 
    1    22   3.613139E+004   2.720902E+001 
    0    24   3.617459E+004   2.713225E+001 
    2    20   3.629979E+004   2.724675E+001 
    7     5   3.658964E+004   2.704628E+001 
    3    18   3.668984E+004   2.723919E+001 
    5    13   3.682003E+004   2.719395E+001 
    6    10   3.701302E+004   2.709166E+001 
    7     6   3.722192E+004   2.696216E+001 
    4    16   3.730808E+004   2.716962E+001 
    7     7   3.794263E+004   2.685965E+001 
    6    11   3.810113E+004   2.694785E+001 
    1    23   3.813447E+004   2.690677E+001 
    5    14   3.815979E+004   2.703090E+001 
    2    21   3.816475E+004   2.695312E+001 
    0    25   3.830484E+004   2.684127E+001 
    3    19   3.840503E+004   2.696752E+001 
    8     0   3.860553E+004   2.672852E+001 
    8     1   3.870915E+004   2.670728E+001 
    7     8   3.874438E+004   2.676670E+001 
    4    17   3.886111E+004   2.693054E+001 
    8     2   3.891514E+004   2.667775E+001 
    8     3   3.922109E+004   2.662985E+001 
