    V   J   Energy(K)   log(N/g)
    0     0   0.000000E+000   5.357416E+001 
    0     1   1.705020E+002   5.123953E+001 
    0     2   5.098500E+002   4.395451E+001 
    0     3   1.015153E+003   4.293706E+001 
    0     4   1.681678E+003   4.189052E+001 
    0     5   2.503870E+003   4.062643E+001 
    0     6   3.474434E+003   3.895144E+001 
    0     7   4.586377E+003   3.680562E+001 
    0     8   5.829758E+003   3.419019E+001 
    1     0   5.987124E+003   2.821987E+001 
    1     1   6.149208E+003   2.762485E+001 
    1     2   6.471607E+003   2.765443E+001 
    1     3   6.951587E+003   2.708982E+001 
    0     9   7.196995E+003   3.119275E+001 
    1     4   7.584601E+003   2.660793E+001 
    1     5   8.365297E+003   2.580343E+001 
    0    10   8.677322E+003   2.814930E+001 
    1     6   9.286624E+003   2.544908E+001 
    0    11   1.026179E+004   2.597667E+001 
    1     7   1.034152E+004   2.470990E+001 
    1     8   1.152183E+004   2.456334E+001 
    2     0   1.163573E+004   2.391794E+001 
    2     1   1.178951E+004   2.366367E+001 
    0    12   1.194031E+004   2.493612E+001 
    2     2   1.209524E+004   2.353466E+001 
    2     3   1.255050E+004   2.333212E+001 
    1     9   1.281752E+004   2.456049E+001 
    2     4   1.315072E+004   2.300934E+001 
    0    13   1.370318E+004   2.412826E+001 
    2     5   1.389070E+004   2.289707E+001 
    1    10   1.422111E+004   2.429946E+001 
    2     6   1.476414E+004   2.272874E+001 
    0    14   1.554025E+004   2.352625E+001 
    1    11   1.572229E+004   2.408866E+001 
    2     7   1.576338E+004   2.266652E+001 
    2     8   1.688055E+004   2.267719E+001 
    3     0   1.695284E+004   2.223290E+001 
    3     1   1.709837E+004   2.227291E+001 
    1    12   1.731122E+004   2.377484E+001 
    3     2   1.738779E+004   2.209770E+001 
    0    15   1.744391E+004   2.305452E+001 
    3     3   1.781869E+004   2.202741E+001 
    2     9   1.810741E+004   2.273349E+001 
    3     4   1.838652E+004   2.186642E+001 
    1    13   1.897972E+004   2.340716E+001 
    3     5   1.908649E+004   2.179640E+001 
    0    16   1.940345E+004   2.258077E+001 
    2    10   1.943491E+004   2.276758E+001 
    3     6   1.991225E+004   2.168492E+001 
    1    14   2.071785E+004   2.299256E+001 
    2    11   2.085383E+004   2.271182E+001 
    3     7   2.085653E+004   2.162586E+001 
    0    17   2.141168E+004   2.220835E+001 
    3     8   2.191171E+004   2.159947E+001 
    4     0   2.194278E+004   2.136494E+001 
    4     1   2.208004E+004   2.137088E+001 
    4     2   2.235326E+004   2.126205E+001 
    2    12   2.235535E+004   2.265100E+001 
    1    15   2.251712E+004   2.257678E+001 
    4     3   2.275983E+004   2.133482E+001 
    3     9   2.306999E+004   2.161467E+001 
    4     4   2.329564E+004   2.107520E+001 
    0    18   2.345990E+004   2.177480E+001 
    2    13   2.393080E+004   2.237404E+001 
    4     5   2.395581E+004   2.107405E+001 
    3    10   2.432262E+004   2.159001E+001 
    1    16   2.436840E+004   2.212212E+001 
    4     6   2.473404E+004   2.091082E+001 
    0    19   2.553963E+004   2.145470E+001 
    2    14   2.557053E+004   2.217341E+001 
    4     7   2.562381E+004   2.082888E+001 
    3    11   2.565988E+004   2.160669E+001 
    1    17   2.626369E+004   2.172715E+001 
    5     0   2.660677E+004   2.070396E+001 
    4     8   2.661704E+004   2.075396E+001 
    5     1   2.673596E+004   2.068725E+001 
    5     2   2.699289E+004   2.056040E+001 
    3    12   2.707418E+004   2.157859E+001 
    2    15   2.726625E+004   2.169302E+001 
    5     3   2.737523E+004   2.051503E+001 
    0    20   2.764451E+004   2.102092E+001 
    4     9   2.770677E+004   2.073281E+001 
    5     4   2.787879E+004   2.037043E+001 
    1    18   2.819486E+004   2.125115E+001 
    5     5   2.849899E+004   2.032857E+001 
    3    13   2.855661E+004   2.146959E+001 
    4    10   2.888376E+004   2.066195E+001 
    2    16   2.900940E+004   2.143254E+001 
    5     6   2.922954E+004   2.019311E+001 
    0    21   2.976661E+004   2.072374E+001 
    5     7   3.006431E+004   2.007238E+001 
    3    14   3.009785E+004   2.129221E+001 
    4    11   3.013990E+004   2.069726E+001 
    1    19   3.015462E+004   2.095176E+001 
    2    17   3.079235E+004   2.066832E+001 
    6     0   3.094320E+004   2.006287E+001 
    5     8   3.099552E+004   2.002763E+001 
    6     1   3.106412E+004   2.003283E+001 
    6     2   3.130464E+004   1.982369E+001 
    4    12   3.146651E+004   2.063706E+001 
    6     3   3.166233E+004   1.980705E+001 
    3    15   3.169026E+004   2.102940E+001 
    0    22   3.190031E+004   2.024492E+001 
    5     9   3.201575E+004   1.997013E+001 
    6     4   3.213322E+004   1.963871E+001 
    1    20   3.213454E+004   2.033777E+001 
    2    18   3.260639E+004   2.048297E+001 
    6     5   3.271272E+004   2.029352E+001 
    4    13   3.285516E+004   2.054308E+001 
    5    10   3.311646E+004   1.996286E+001 
    3    16   3.332489E+004   2.062908E+001 
    6     6   3.339496E+004   1.949549E+001 
    0    23   3.403759E+004   1.993503E+001 
    1    21   3.412953E+004   2.009813E+001 
    6     7   3.417363E+004   1.948411E+001 
    5    11   3.428978E+004   1.993320E+001 
    4    14   3.429681E+004   2.039133E+001 
    2    19   3.444505E+004   1.863980E+001 
    7     0   3.494622E+004   1.958102E+001 
    3    17   3.499413E+004   2.020024E+001 
    6     8   3.504117E+004   1.947471E+001 
    7     1   3.505878E+004   1.928964E+001 
    7     2   3.528236E+004   1.925519E+001 
    5    12   3.552731E+004   1.992927E+001 
    7     3   3.561473E+004   1.922576E+001 
    4    15   3.578419E+004   2.026869E+001 
    6     9   3.599047E+004   1.947008E+001 
    7     4   3.605189E+004   1.918958E+001 
    1    22   3.613139E+004   1.934091E+001 
    0    24   3.617459E+004   1.937791E+001 
    2    20   3.629979E+004   1.957883E+001 
    7     5   3.658964E+004   1.916035E+001 
    3    18   3.668984E+004   1.978221E+001 
    5    13   3.682003E+004   1.974520E+001 
    6    10   3.701302E+004   1.942226E+001 
    7     6   3.722192E+004   1.912205E+001 
    4    16   3.730808E+004   1.983843E+001 
    7     7   3.794263E+004   1.910967E+001 
    6    11   3.810113E+004   1.941921E+001 
    1    23   3.813447E+004   1.914321E+001 
    5    14   3.815979E+004   1.969582E+001 
    2    21   3.816475E+004   1.936305E+001 
    0    25   3.830484E+004   1.895439E+001 
    3    19   3.840503E+004   1.866839E+001 
    8     0   3.860553E+004   1.898587E+001 
    8     1   3.870915E+004   1.897512E+001 
    7     8   3.874438E+004   1.881541E+001 
    4    17   3.886111E+004   1.968190E+001 
    8     2   3.891514E+004   1.895546E+001 
    8     3   3.922109E+004   1.889306E+001 
