	V	J	Energy(K)	log(N/g)
	0.0000	0.0000	0.0000	51.535
	0.0000	1.0000	170.50	49.745
	0.0000	2.0000	509.85	41.534
	0.0000	3.0000	1015.2	39.886
	0.0000	4.0000	1681.7	38.269
	0.0000	5.0000	2503.9	36.850
	0.0000	6.0000	3474.4	35.782
	0.0000	7.0000	4586.4	34.890
	0.0000	8.0000	5829.8	34.127
	1.0000	0.0000	5987.1	33.795
	1.0000	1.0000	6149.2	33.665
	1.0000	2.0000	6471.6	33.502
	1.0000	3.0000	6951.6	33.264
	0.0000	9.0000	7197.0	33.448
	1.0000	4.0000	7584.6	33.015
	1.0000	5.0000	8365.3	32.731
	0.0000	10.000	8677.3	32.852
	1.0000	6.0000	9286.6	32.447
	0.0000	11.000	10262	32.322
	1.0000	7.0000	10342	32.150
	1.0000	8.0000	11522	31.869
	2.0000	0.0000	11636	31.786
	2.0000	1.0000	11790	31.746
	0.0000	12.000	11940	31.845
	2.0000	2.0000	12095	31.662
	2.0000	3.0000	12551	31.549
	1.0000	9.0000	12818	31.586
	2.0000	4.0000	13151	31.419
	0.0000	13.000	13703	31.411
	2.0000	5.0000	13891	31.261
	1.0000	10.000	14221	31.302
	2.0000	6.0000	14764	31.087
	0.0000	14.000	15540	31.002
	1.0000	11.000	15722	31.020
	2.0000	7.0000	15763	30.902
	2.0000	8.0000	16881	30.708
	3.0000	0.0000	16953	30.689
	3.0000	1.0000	17098	30.660
	1.0000	12.000	17311	30.710
	3.0000	2.0000	17388	30.591
	0.0000	15.000	17444	30.610
	3.0000	3.0000	17819	30.518
	2.0000	9.0000	18107	30.497
	3.0000	4.0000	18387	30.420
	1.0000	13.000	18980	30.426
	3.0000	5.0000	19086	30.310
	0.0000	16.000	19403	30.256
	2.0000	10.000	19435	30.286
	3.0000	6.0000	19912	30.177
	1.0000	14.000	20718	30.084
	2.0000	11.000	20854	30.041
	3.0000	7.0000	20857	30.037
	0.0000	17.000	21412	29.851
	3.0000	8.0000	21912	29.879
	4.0000	0.0000	21943	29.874
	4.0000	1.0000	22080	29.859
	4.0000	2.0000	22353	29.810
	2.0000	12.000	22355	29.812
	1.0000	15.000	22517	29.788
	4.0000	3.0000	22760	29.749
	3.0000	9.0000	23070	29.683
	4.0000	4.0000	23296	29.660
	0.0000	18.000	23460	29.552
	2.0000	13.000	23931	29.574
	4.0000	5.0000	23956	29.572
	3.0000	10.000	24323	29.484
	1.0000	16.000	24368	29.464
	4.0000	6.0000	24734	29.430
	0.0000	19.000	25540	29.151
	2.0000	14.000	25571	29.312
	4.0000	7.0000	25624	29.289
	3.0000	11.000	25660	29.285
	1.0000	17.000	26264	29.151
	5.0000	0.0000	26607	29.176
	4.0000	8.0000	26617	29.131
	5.0000	1.0000	26736	29.172
	5.0000	2.0000	26993	29.108
	3.0000	12.000	27074	29.069
	2.0000	15.000	27266	29.057
	5.0000	3.0000	27375	29.051
	0.0000	20.000	27645	28.895
	4.0000	9.0000	27707	28.968
	5.0000	4.0000	27879	28.952
	1.0000	18.000	28195	28.852
	5.0000	5.0000	28499	28.866
	3.0000	13.000	28557	28.843
	4.0000	10.000	28884	28.747
	2.0000	16.000	29009	28.761
	5.0000	6.0000	29230	28.695
	0.0000	21.000	29767	28.478
	5.0000	7.0000	30064	28.551
	3.0000	14.000	30098	28.596
	4.0000	11.000	30140	28.551
	1.0000	19.000	30155	28.516
	2.0000	17.000	30792	28.467
	6.0000	0.0000	30943	28.427
	5.0000	8.0000	30996	28.395
	6.0000	1.0000	31064	28.425
	6.0000	2.0000	31305	28.341
	4.0000	12.000	31467	28.350
	6.0000	3.0000	31662	28.270
	3.0000	15.000	31690	28.328
	0.0000	22.000	31900	28.252
	5.0000	9.0000	32016	28.218
	6.0000	4.0000	32133	28.202
	1.0000	20.000	32135	28.262
	2.0000	18.000	32606	28.209
	6.0000	5.0000	32713	28.084
	4.0000	13.000	32855	28.109
	5.0000	10.000	33116	28.065
	3.0000	16.000	33325	28.115
	6.0000	6.0000	33395	27.962
	0.0000	23.000	34038	27.852
	1.0000	21.000	34130	27.981
	6.0000	7.0000	34174	27.857
	5.0000	11.000	34290	27.898
	4.0000	14.000	34297	27.964
	2.0000	19.000	34445	27.941
	7.0000	0.0000	34946	27.796
	3.0000	17.000	34994	27.877
	6.0000	8.0000	35041	27.749
	7.0000	1.0000	35059	27.722
	7.0000	2.0000	35282	27.682
	5.0000	12.000	35527	27.757
	7.0000	3.0000	35615	27.636
	4.0000	15.000	35784	27.753
	6.0000	9.0000	35990	27.626
	7.0000	4.0000	36052	27.570
	1.0000	22.000	36131	27.615
	0.0000	24.000	36175	27.564
	2.0000	20.000	36300	27.625
	7.0000	5.0000	36590	27.491
	3.0000	18.000	36690	27.602
	5.0000	13.000	36820	27.566
	6.0000	10.000	37013	27.499
	7.0000	6.0000	37222	27.410
	4.0000	16.000	37308	27.534
	7.0000	7.0000	37943	27.313
	6.0000	11.000	38101	27.362
	1.0000	23.000	38134	27.340
	5.0000	14.000	38160	27.414
	2.0000	21.000	38165	27.363
	0.0000	25.000	38305	27.294
	3.0000	19.000	38405	27.360
	8.0000	0.0000	38606	27.208
	8.0000	1.0000	38709	27.190
	7.0000	8.0000	38744	27.226
	4.0000	17.000	38861	27.318
	8.0000	2.0000	38915	27.163
	8.0000	3.0000	39221	27.118
